,军事学硕士在校学生数,农学硕士在校学生数,医学硕士在校学生数,历史学硕士在校学生数,哲学硕士在校学生数,工学硕士在校学生数,教育学硕士在校学生数,文学硕士在校学生数,普通高校军事学硕士在校学生数,普通高校农学硕士在校学生数,普通高校医学硕士在校学生数,普通高校历史学硕士在校学生数,普通高校哲学硕士在校学生数,普通高校工学硕士在校学生数,普通高校教育学硕士在校学生数,普通高校文学硕士在校学生数,普通高校法学硕士在校学生数,普通高校理学硕士在校学生数,普通高校硕士在校学生数,普通高校管理学硕士在校学生数,普通高校经济学硕士在校学生数,法学硕士在校学生数,理学硕士在校学生数,硕士在校学生数,科研机构军事学硕士在校学生数,科研机构农学硕士在校学生数,科研机构医学硕士在校学生数,科研机构历史学硕士在校学生数,科研机构哲学硕士在校学生数,科研机构工学硕士在校学生数,科研机构教育学硕士在校学生数,科研机构文学硕士在校学生数,科研机构法学硕士在校学生数,科研机构理学硕士在校学生数,科研机构硕士在校学生数,科研机构管理学硕士在校学生数,科研机构经济学硕士在校学生数,管理学硕士在校学生数,经济学硕士在校学生数
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0318,2.2818,6.4088,0.8548,0.7523,24.8748,2.0302,5.1155,0.0312,2.2155,6.263,0.8407,0.7291,23.8528,2.0231,5.0826,4.8133,6.5722,63.0847,7.3551,3.3061,4.906,7.3612,65.4286,0.0006,0.0663,0.1458,0.0141,0.0232,1.022,0.0071,0.0329,0.0927,0.789,2.3439,0.0702,0.08,7.4253,3.3861
2005年,0.0424,2.8675,8.0107,1.061,0.9237,29.0024,2.6826,6.5457,0.0418,2.7771,7.8425,1.045,0.8942,27.8544,2.6754,6.5048,5.6713,7.8697,76.0659,8.9701,3.9196,5.7752,8.7451,78.7293,0.0006,0.0904,0.1682,0.016,0.0295,1.148,0.0072,0.0409,0.1039,0.8754,2.6634,0.0972,0.0861,9.0673,4.0057
2006年,0.0505,3.3461,9.4353,1.2112,1.0469,32.544,3.326,7.5469,0.0498,3.2336,9.2481,1.1931,1.0149,31.3657,3.3175,7.4998,6.233,8.9436,86.8231,10.4419,4.2821,6.3464,9.8845,89.6615,0.0007,0.1125,0.1872,0.0181,0.032,1.1783,0.0085,0.0471,0.1134,0.9409,2.8384,0.1098,0.0899,10.5517,4.372
2007年,0.0572,3.6792,10.5519,1.2754,1.1726,34.3601,3.7376,8.5119,0.0564,3.5495,10.3612,1.2583,1.1427,33.0741,3.7263,8.4614,6.9673,9.7871,94.2508,11.3895,4.477,7.0736,10.7657,97.2539,0.0008,0.1297,0.1907,0.0171,0.0299,1.286,0.0113,0.0505,0.1063,0.9786,3.0031,0.1119,0.0903,11.5014,4.5673
2008年,0.0583,3.5893,11.5101,1.3006,1.2087,36.3581,4.061,9.4988,0.0576,3.447,11.349,1.2832,1.1756,35.0353,4.047,9.447,7.9154,10.7186,101.5982,12.4208,4.7017,8.0297,11.7015,104.6429,0.0007,0.1423,0.1611,0.0174,0.0331,1.3228,0.014,0.0518,0.1143,0.9829,3.0447,0.1063,0.098,12.5271,4.7997
2009年,0.0612,3.5652,10.5559,1.3627,1.2497,37.235,4.3377,10.4324,0.0607,3.4207,10.4018,1.3458,1.2139,35.9221,4.3241,10.3781,7.4148,11.6934,112.7285,9.1793,4.9325,7.5273,12.6956,115.8623,0.0005,0.1445,0.1541,0.0169,0.0358,1.3129,0.0136,0.0543,0.1125,1.0022,3.1338,0.1173,0.0952,9.2966,5.0277
2010年,0.0616,3.4534,10.5654,1.3977,1.2469,38.3916,4.4212,11.0082,0.0612,3.3083,10.41,1.3799,1.2137,37.101,4.4081,10.952,7.5761,12.3318,124.6352,9.3967,4.9936,7.7016,13.3462,127.9466,0.0004,0.1451,0.1554,0.0178,0.0332,1.2906,0.0131,0.0562,0.1255,1.0144,3.3114,0.1223,0.0956,9.519,5.0892
2011年,0.0648,4.4396,15.2497,1.4236,1.1947,47.632,6.6684,12.4694,0.0645,4.2576,15.0714,1.4059,1.1663,46.1474,6.6568,12.411,10.5691,12.4579,134.0435,18.3795,5.4561,10.7695,13.4463,137.4584,0.0003,0.182,0.1783,0.0177,0.0284,1.4846,0.0116,0.0584,0.2004,0.9884,3.4149,0.1646,0.1002,18.5441,5.5563
2012年,0.0675,4.6888,15.8065,1.3693,1.147,49.9954,7.2682,8.3498,0.0672,4.4926,15.6206,1.3481,1.1213,48.8862,7.2682,8.3302,10.4434,12.5052,140.9806,20.2305,5.9993,10.6359,13.1112,143.6008,0.0003,0.1962,0.1859,0.0212,0.0257,1.1092,0.0,0.0196,0.1925,0.606,2.6202,0.1282,0.1,20.3587,6.0993
2013年,0.071,5.1208,16.4199,1.3705,1.0879,52.5743,7.9791,8.3224,0.0698,4.9152,16.2263,1.3458,1.0616,51.3999,7.9791,8.3039,10.3992,12.5311,146.7905,21.3133,6.3697,10.5998,13.1314,149.567,0.0012,0.2056,0.1936,0.0247,0.0263,1.1744,0.0,0.0185,0.2006,0.6003,2.7765,0.1719,0.1239,21.4852,6.4936
2014年,0.0553,5.3055,17.0674,1.3548,1.0652,54.0542,8.2745,8.2013,0.0551,5.1196,16.9123,1.3277,1.0378,53.3649,8.2745,8.1845,10.4359,13.2077,151.6988,22.0895,6.4668,10.6465,13.3418,153.5013,0.0002,0.1859,0.1551,0.0271,0.0274,0.6893,0.0,0.0168,0.2106,0.1341,1.8025,0.1975,0.1232,22.287,6.59
