,中外合作经营零售业企业所有者权益合计,中外合资经营零售业企业所有者权益合计,其他外商投资零售业企业所有者权益合计,其他有限责任公司零售业企业所有者权益合计,其他港澳台商投资零售业企业所有者权益合计,其他联营零售业企业所有者权益合计,其他零售业企业所有者权益合计,内资零售业企业所有者权益合计,国有与集体联营零售业企业所有者权益合计,国有独资公司零售业企业所有者权益合计,国有联营零售业企业所有者权益合计,国有零售业企业所有者权益合计,外商投资股份有限公司零售业企业所有者权益合计,外商投资零售业企业所有者权益合计,外资零售业企业所有者权益合计,有限责任公司零售业企业所有者权益合计,港澳台商合作经营零售业企业所有者权益合计,港澳台商合资经营零售业企业所有者权益合计,港澳台商投资股份有限公司零售业企业所有者权益合计,港澳台商投资零售业企业所有者权益合计,港澳台商独资经营零售业企业所有者权益合计,私营合伙零售业企业所有者权益合计,私营有限责任公司零售业企业所有者权益合计,私营独资零售业企业所有者权益合计,私营股份有限公司零售业企业所有者权益合计,私营零售业企业所有者权益合计,联营零售业企业所有者权益合计,股份合作零售业企业所有者权益合计,股份有限公司零售业企业所有者权益合计,集体联营零售业企业所有者权益合计,集体零售业企业所有者权益合计,零售业所有者权益合计
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,18.383,45.0695,0.0,220.8988,0.0,3.7195,0.1565,1185.4166,8.2396,16.8016,28.8307,225.3744,-0.0134,64.6049,1.1658,237.7003,2.4747,29.4796,1.806,34.4439,0.6836,1.5168,90.508,6.22,8.2324,106.4771,40.3687,24.4405,487.4421,-0.4212,63.4569,1284.4654
2003年,11.68505,59.78727,0.0,301.53616,0.0,4.00155,1.48657,1370.01577,8.27092,16.06959,5.96899,252.55216,-0.05747,77.93811,6.52326,317.60575,3.66318,28.23012,0.0,37.69832,5.85056,3.68159,138.72516,9.46604,11.68451,163.5573,18.9848,25.76369,532.71469,0.74334,57.35081,1485.64457
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2156.00786
2005年,15.44622,88.11102,0.0,513.28114,0.0,4.51517,5.33154,2081.22165,9.09769,50.82413,5.79016,208.47126,0.3326,121.36497,17.47513,564.10527,8.54017,67.87587,0.73321,79.74981,2.60056,11.93545,382.33326,22.61523,36.8242,453.70804,21.02675,20.35802,755.54146,1.62373,52.67931,2282.3
2006年,10.4987,94.9758,0.0,587.0681,0.0,1.2698,9.0995,2429.9727,9.9836,73.1939,9.811,245.7628,0.7078,142.1662,35.9839,660.262,9.0399,81.602,0.1947,114.9472,24.1107,5.7594,486.8528,31.6351,47.4604,571.7077,23.6102,20.5731,844.1722,2.5459,54.7853,2687.1
2007年,10.90833,129.20342,0.0,757.96872,0.0,2.46397,23.26966,2793.94737,10.47695,53.29664,4.75684,221.04269,-1.05202,195.65554,56.59581,811.26536,10.74095,88.50837,-0.85279,152.17043,53.7739,10.60442,595.47724,54.11564,49.31604,709.51334,20.8369,25.72376,920.28024,3.13914,62.01542,3141.8
2008年,19.7256,168.3372,0.0,1084.3168,0.0,2.6784,34.8071,4320.3304,7.1938,50.9071,8.4968,426.0418,21.549,320.1242,110.5123,1135.2238,11.6213,106.0535,5.079,273.2631,150.5094,29.2019,900.5095,164.1774,70.3243,1164.2131,20.5282,30.0969,1417.6813,2.1592,91.7382,4913.7177
2009年,31.48508,180.11248,0.0,1301.46305,0.0,1.59933,50.92351,5025.66721,2.28372,54.81829,8.03449,428.88973,14.0609,464.98671,239.32825,1356.28134,28.43822,135.83733,12.74292,311.26739,134.24892,32.36194,1026.37358,194.12169,91.30742,1344.16463,14.12824,36.10265,1678.22269,2.2107,116.95442,5801.92131
2010年,33.7,185.3,0.0,1716.3,0.0,5.2,44.0,6006.9,4.1,82.2,11.7,553.8,42.1,508.4,247.3,1798.4,24.1,159.9,22.9,419.8,213.0,42.0,1384.7,261.9,137.9,1826.5,24.2,42.8,1610.8,3.1,106.5,6935.2
2011年,46.8468,214.5273,-0.333,2345.6821,50.4881,5.3844,130.9644,7653.0284,2.6661,87.9934,10.511,773.0387,11.9571,625.6038,352.6056,2433.6755,22.8932,208.0936,11.1378,627.6591,335.0464,37.8255,1701.7439,257.3257,139.5773,2136.4724,21.3594,66.3435,1981.2465,2.7979,109.928,8906.2912
2012年,27.82915,220.25528,3.61365,2780.09837,50.29731,5.25749,224.06784,9136.8592,4.87622,102.84953,10.76759,809.08084,9.23265,630.36046,369.42973,2882.9479,84.4062,251.70782,24.7687,844.0393,432.85927,43.35925,2117.94596,415.49964,306.58081,2883.38566,23.89277,60.29935,2122.52726,2.99147,130.65758,10611.25896
2013年,27.96747,258.53445,2.38327,3710.47413,55.04599,1.90075,90.38718,10741.29947,3.17645,275.9152,1.83831,351.331,25.0248,740.20546,426.29547,3986.38933,19.88978,285.0271,63.90891,960.47963,536.60785,19.13074,3041.25946,186.49449,243.85207,3490.73676,10.05606,19.11654,2672.13249,3.14055,121.15011,12441.9846
2014年,24.13145,278.67935,2.83484,4968.91022,43.86674,1.31412,82.61239,12636.0232,3.54033,329.94358,0.87984,399.65908,24.17349,832.05893,502.2398,5298.8538,23.01403,353.20005,54.17114,1082.40733,608.15537,19.84065,3415.57854,200.37528,242.90117,3878.69564,8.69695,20.17408,2820.86709,2.96266,126.46417,14550.4895
