,专用设备制造业私营工业企业应交所得税,交通运输设备制造业私营工业企业应交所得税,仪器仪表及文化办公用机械制造业私营工业企业应交所得税,其他矿采选业私营工业企业应交所得税,其它制造业私营工业企业应交所得税,化学原料及化学制品制造业私营工业企业应交所得税,化学纤维制造业私营工业企业应交所得税,医药制造业私营工业企业应交所得税,印刷业、记录媒介的复制私营工业企业应交所得税,塑料制品业私营工业企业应交所得税,家具制造业私营工业企业应交所得税,文教体育用品制造业私营工业企业应交所得税,普通机械制造业私营工业企业应交所得税,有色金属冶炼及压延加工业私营工业企业应交所得税,有色金属矿采选业私营工业企业应交所得税,服装及其他纤维制品制造业私营工业企业应交所得税,木材加工及竹、藤、棕、草制品业私营工业企业应交所得税,木材及竹材采运业私营工业企业应交所得税,橡胶制品业私营工业企业应交所得税,烟草加工业私营工业企业应交所得税,煤气生产和供应业私营工业企业应交所得税,煤炭采选业私营工业企业应交所得税,电力、蒸汽、热水的生产和供应业私营工业企业应交所得税,电子及通信设备制造业私营工业企业应交所得税,电气机械及器材制造业私营工业企业应交所得税,皮革、毛皮、羽绒及其制品业私营工业企业应交所得税,石油加工及炼焦业私营工业企业应交所得税,石油和天然气开采业私营工业企业应交所得税,私营工业企业应交所得税,纺织业私营工业企业应交所得税,自来水的生产和供应业私营工业企业应交所得税,造纸及纸制品业私营工业企业应交所得税,金属制品业私营工业企业应交所得税,非金属矿物制造业私营工业企业应交所得税,非金属矿采选业私营工业企业应交所得税,食品制造业私营工业企业应交所得税,食品加工业私营工业企业应交所得税,饮料制造业私营工业企业应交所得税,黑色金属冶炼及压延加工业私营工业企业应交所得税,黑色金属矿采选业私营工业企业应交所得税
2001年,2.24621,3.18321,0.99554,0.00286,1.16979,4.1142,0.83262,1.64104,0.80009,2.42816,0.7894,1.02663,4.48473,1.14186,0.25242,2.64286,1.43488,0.0017,0.63099,0.00489,0.02527,0.28523,0.2362,2.0838,5.43407,1.49637,0.44418,0.00196,62.38404,5.5275,0.05544,1.34499,3.79747,4.24362,0.25938,1.17235,2.57959,0.69668,2.51395,0.36191
2002年,3.43992,4.97164,0.80254,0.00304,2.00958,6.42225,0.4387,2.04406,0.96347,4.12544,1.78178,1.2083,7.5571,1.90259,0.31092,3.97334,1.62898,,0.86538,0.00253,0.02477,0.71507,0.38027,3.11657,7.61427,2.07432,1.49471,,94.08305,8.66073,0.05192,2.03253,6.43402,6.30014,0.69932,1.75336,3.72832,0.96106,3.06723,0.52288
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
