,专用设备制造业私营工业企业财务费用,交通运输设备制造业私营工业企业财务费用,仪器仪表及文化办公用机械制造业私营工业企业财务费用,其他矿采选业私营工业企业财务费用,其它制造业私营工业企业财务费用,化学原料及化学制品制造业私营工业企业财务费用,化学纤维制造业私营工业企业财务费用,医药制造业私营工业企业财务费用,印刷业、记录媒介的复制私营工业企业财务费用,塑料制品业私营工业企业财务费用,家具制造业私营工业企业财务费用,文教体育用品制造业私营工业企业财务费用,普通机械制造业私营工业企业财务费用,有色金属冶炼及压延加工业私营工业企业财务费用,有色金属矿采选业私营工业企业财务费用,服装及其他纤维制品制造业私营工业企业财务费用,木材加工及竹、藤、棕、草制品业私营工业企业财务费用,木材及竹材采运业私营工业企业财务费用,橡胶制品业私营工业企业财务费用,烟草加工业私营工业企业财务费用,煤气生产和供应业私营工业企业财务费用,煤炭采选业私营工业企业财务费用,电力、蒸汽、热水的生产和供应业私营工业企业财务费用,电子及通信设备制造业私营工业企业财务费用,电气机械及器材制造业私营工业企业财务费用,皮革、毛皮、羽绒及其制品业私营工业企业财务费用,石油加工及炼焦业私营工业企业财务费用,石油和天然气开采业私营工业企业财务费用,私营工业企业财务费用,纺织业私营工业企业财务费用,自来水的生产和供应业私营工业企业财务费用,造纸及纸制品业私营工业企业财务费用,金属制品业私营工业企业财务费用,非金属矿物制造业私营工业企业财务费用,非金属矿采选业私营工业企业财务费用,食品制造业私营工业企业财务费用,食品加工业私营工业企业财务费用,饮料制造业私营工业企业财务费用,黑色金属冶炼及压延加工业私营工业企业财务费用,黑色金属矿采选业私营工业企业财务费用
2001年,2.72805,4.51499,0.63274,0.00626,1.36296,6.37073,0.85003,2.09432,1.00092,3.77751,1.41902,0.99743,6.07447,3.80986,0.47278,3.78193,2.52779,0.0003,1.16532,0.00742,0.02647,0.54668,0.69967,1.42739,6.11051,2.17777,1.47917,-9e-05,103.73028,12.0812,0.09082,3.4397,5.82612,10.37827,0.48343,2.57722,6.50955,2.187,3.56625,0.52832
2002年,3.41808,5.75307,0.77452,0.00473,2.11552,8.59411,1.28721,2.84108,1.2213,5.06355,1.62232,1.28289,7.84995,4.71664,0.59302,4.79718,3.51456,,1.3714,0.00122,0.12249,1.24842,1.09974,2.33798,8.15215,2.92791,2.23199,,138.55385,17.16548,0.17244,4.65235,7.72069,12.7237,0.69531,3.49641,8.55411,2.30631,5.36002,0.764
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
