,专用设备制造业私营工业企业所有者权益合计,交通运输设备制造业私营工业企业所有者权益合计,仪器仪表及文化办公用机械制造业私营工业企业所有者权益合计,其他矿采选业私营工业企业所有者权益合计,其它制造业私营工业企业所有者权益合计,化学原料及化学制品制造业私营工业企业所有者权益合计,化学纤维制造业私营工业企业所有者权益合计,医药制造业私营工业企业所有者权益合计,印刷业、记录媒介的复制私营工业企业所有者权益合计,塑料制品业私营工业企业所有者权益合计,家具制造业私营工业企业所有者权益合计,文教体育用品制造业私营工业企业所有者权益合计,普通机械制造业私营工业企业所有者权益合计,有色金属冶炼及压延加工业私营工业企业所有者权益合计,有色金属矿采选业私营工业企业所有者权益合计,服装及其他纤维制品制造业私营工业企业所有者权益合计,木材加工及竹、藤、棕、草制品业私营工业企业所有者权益合计,木材及竹材采运业私营工业企业所有者权益合计,橡胶制品业私营工业企业所有者权益合计,烟草加工业私营工业企业所有者权益合计,煤气生产和供应业私营工业企业所有者权益合计,煤炭采选业私营工业企业所有者权益合计,电力、蒸汽、热水的生产和供应业私营工业企业所有者权益合计,电子及通信设备制造业私营工业企业所有者权益合计,电气机械及器材制造业私营工业企业所有者权益合计,皮革、毛皮、羽绒及其制品业私营工业企业所有者权益合计,石油加工及炼焦业私营工业企业所有者权益合计,石油和天然气开采业私营工业企业所有者权益合计,私营工业企业所有者权益合计,纺织业私营工业企业所有者权益合计,自来水的生产和供应业私营工业企业所有者权益合计,造纸及纸制品业私营工业企业所有者权益合计,金属制品业私营工业企业所有者权益合计,非金属矿物制造业私营工业企业所有者权益合计,非金属矿采选业私营工业企业所有者权益合计,食品制造业私营工业企业所有者权益合计,食品加工业私营工业企业所有者权益合计,饮料制造业私营工业企业所有者权益合计,黑色金属冶炼及压延加工业私营工业企业所有者权益合计,黑色金属矿采选业私营工业企业所有者权益合计
2001年,70.2734,98.61251,20.7802,0.07616,47.15059,148.93694,18.38932,66.96325,23.57132,91.83822,33.41651,27.59716,139.68445,63.11233,11.44159,107.25287,57.57653,0.01014,22.04717,0.37016,1.39052,17.63838,19.14514,68.34544,162.96563,53.65106,21.34714,0.05042,2374.59,231.97622,2.37734,62.957,137.64113,212.05699,12.72009,57.47261,122.80736,48.67753,83.64851,8.61221
2002年,114.67485,146.14076,30.16886,0.27699,62.41085,230.34666,29.74365,94.77386,39.01406,142.21312,42.02181,36.71412,209.19972,86.83508,15.38075,142.63926,74.25624,,31.23034,0.07658,2.04337,30.95471,17.05263,100.18797,236.09174,75.23509,59.75641,,3567.35,378.14857,3.9785,92.61963,205.49231,298.80534,19.36578,89.01676,192.92076,67.34548,153.85295,16.36764
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
