,专用设备制造业私营工业企业管理费用,交通运输设备制造业私营工业企业管理费用,仪器仪表及文化办公用机械制造业私营工业企业管理费用,其他矿采选业私营工业企业管理费用,其它制造业私营工业企业管理费用,化学原料及化学制品制造业私营工业企业管理费用,化学纤维制造业私营工业企业管理费用,医药制造业私营工业企业管理费用,印刷业、记录媒介的复制私营工业企业管理费用,塑料制品业私营工业企业管理费用,家具制造业私营工业企业管理费用,文教体育用品制造业私营工业企业管理费用,普通机械制造业私营工业企业管理费用,有色金属冶炼及压延加工业私营工业企业管理费用,有色金属矿采选业私营工业企业管理费用,服装及其他纤维制品制造业私营工业企业管理费用,木材加工及竹、藤、棕、草制品业私营工业企业管理费用,木材及竹材采运业私营工业企业管理费用,橡胶制品业私营工业企业管理费用,烟草加工业私营工业企业管理费用,煤气生产和供应业私营工业企业管理费用,煤炭采选业私营工业企业管理费用,电力、蒸汽、热水的生产和供应业私营工业企业管理费用,电子及通信设备制造业私营工业企业管理费用,电气机械及器材制造业私营工业企业管理费用,皮革、毛皮、羽绒及其制品业私营工业企业管理费用,石油加工及炼焦业私营工业企业管理费用,石油和天然气开采业私营工业企业管理费用,私营工业企业管理费用,纺织业私营工业企业管理费用,自来水的生产和供应业私营工业企业管理费用,造纸及纸制品业私营工业企业管理费用,金属制品业私营工业企业管理费用,非金属矿物制造业私营工业企业管理费用,非金属矿采选业私营工业企业管理费用,食品制造业私营工业企业管理费用,食品加工业私营工业企业管理费用,饮料制造业私营工业企业管理费用,黑色金属冶炼及压延加工业私营工业企业管理费用,黑色金属矿采选业私营工业企业管理费用
2001年,12.0725,14.95796,3.72483,0.03138,5.52556,20.49036,1.63968,8.65002,3.12501,11.48008,3.51482,5.89131,22.01426,6.19652,1.36621,15.46674,5.5856,0.00388,3.12737,0.05158,0.1148,1.57982,0.94548,10.50243,23.29819,6.94529,2.19876,0.00952,300.43972,24.19806,0.17056,7.27388,18.63301,24.41276,1.47944,5.99273,14.09573,5.49992,7.01287,1.1608
2002年,18.59698,22.15942,5.38502,0.03121,7.94371,29.64658,2.30169,12.59962,6.12281,16.65808,4.66967,6.39522,34.01344,7.73076,1.93944,22.43977,6.27938,,4.28669,0.00946,0.18336,3.25107,1.2095,15.70214,34.64381,10.11047,3.20176,,435.29389,36.23445,0.27463,10.68875,26.6965,35.01458,2.19444,8.54803,19.73981,6.14586,10.36008,1.8857
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
