,专用设备制造业私营工业企业法人资本金,交通运输设备制造业私营工业企业法人资本金,仪器仪表及文化办公用机械制造业私营工业企业法人资本金,其他矿采选业私营工业企业法人资本金,其它制造业私营工业企业法人资本金,化学原料及化学制品制造业私营工业企业法人资本金,化学纤维制造业私营工业企业法人资本金,医药制造业私营工业企业法人资本金,印刷业、记录媒介的复制私营工业企业法人资本金,塑料制品业私营工业企业法人资本金,家具制造业私营工业企业法人资本金,文教体育用品制造业私营工业企业法人资本金,普通机械制造业私营工业企业法人资本金,有色金属冶炼及压延加工业私营工业企业法人资本金,有色金属矿采选业私营工业企业法人资本金,服装及其他纤维制品制造业私营工业企业法人资本金,木材加工及竹、藤、棕、草制品业私营工业企业法人资本金,木材及竹材采运业私营工业企业法人资本金,橡胶制品业私营工业企业法人资本金,烟草加工业私营工业企业法人资本金,煤气生产和供应业私营工业企业法人资本金,煤炭采选业私营工业企业法人资本金,电力、蒸汽、热水的生产和供应业私营工业企业法人资本金,电子及通信设备制造业私营工业企业法人资本金,电气机械及器材制造业私营工业企业法人资本金,皮革、毛皮、羽绒及其制品业私营工业企业法人资本金,石油加工及炼焦业私营工业企业法人资本金,石油和天然气开采业私营工业企业法人资本金,私营工业企业法人资本金,纺织业私营工业企业法人资本金,自来水的生产和供应业私营工业企业法人资本金,造纸及纸制品业私营工业企业法人资本金,金属制品业私营工业企业法人资本金,非金属矿物制造业私营工业企业法人资本金,非金属矿采选业私营工业企业法人资本金,食品制造业私营工业企业法人资本金,食品加工业私营工业企业法人资本金,饮料制造业私营工业企业法人资本金,黑色金属冶炼及压延加工业私营工业企业法人资本金,黑色金属矿采选业私营工业企业法人资本金
2001年,12.23262,16.212,2.67113,0.005,7.35617,30.38569,1.06061,16.3951,4.68541,13.3458,7.51082,4.27501,18.73138,12.24151,2.83303,15.78047,13.79155,,4.77489,0.072,0.132,5.22522,12.29606,11.61358,22.03047,9.96444,5.89035,,454.09778,35.90352,0.57306,14.13377,24.11177,51.24725,2.5172,12.37255,30.04235,14.68575,15.81886,1.17939
2002年,14.29465,22.13945,3.00583,0.0398,9.75727,43.19934,1.99327,21.64191,7.62869,21.75199,8.81462,4.03831,24.14793,21.88935,2.46576,19.9871,16.89755,,4.85106,0.05,0.78555,8.18268,1.55235,10.73746,31.13047,12.60716,21.89367,,623.18415,50.11237,0.70838,15.53583,31.92569,64.53686,5.78288,16.29628,40.34253,17.51032,38.94549,6.0043
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
