,专用设备制造业私营工业企业固定资产原价合计,交通运输设备制造业私营工业企业固定资产原价合计,仪器仪表及文化办公用机械制造业私营工业企业固定资产原价合计,其他矿采选业私营工业企业固定资产原价合计,其它制造业私营工业企业固定资产原价合计,化学原料及化学制品制造业私营工业企业固定资产原价合计,化学纤维制造业私营工业企业固定资产原价合计,医药制造业私营工业企业固定资产原价合计,印刷业、记录媒介的复制私营工业企业固定资产原价合计,塑料制品业私营工业企业固定资产原价合计,家具制造业私营工业企业固定资产原价合计,文教体育用品制造业私营工业企业固定资产原价合计,普通机械制造业私营工业企业固定资产原价合计,有色金属冶炼及压延加工业私营工业企业固定资产原价合计,有色金属矿采选业私营工业企业固定资产原价合计,服装及其他纤维制品制造业私营工业企业固定资产原价合计,木材加工及竹、藤、棕、草制品业私营工业企业固定资产原价合计,木材及竹材采运业私营工业企业固定资产原价合计,橡胶制品业私营工业企业固定资产原价合计,烟草加工业私营工业企业固定资产原价合计,煤气生产和供应业私营工业企业固定资产原价合计,煤炭采选业私营工业企业固定资产原价合计,电力、蒸汽、热水的生产和供应业私营工业企业固定资产原价合计,电子及通信设备制造业私营工业企业固定资产原价合计,电气机械及器材制造业私营工业企业固定资产原价合计,皮革、毛皮、羽绒及其制品业私营工业企业固定资产原价合计,石油加工及炼焦业私营工业企业固定资产原价合计,石油和天然气开采业私营工业企业固定资产原价合计,私营工业企业固定资产原价合计,纺织业私营工业企业固定资产原价合计,自来水的生产和供应业私营工业企业固定资产原价合计,造纸及纸制品业私营工业企业固定资产原价合计,金属制品业私营工业企业固定资产原价合计,非金属矿物制造业私营工业企业固定资产原价合计,非金属矿采选业私营工业企业固定资产原价合计,食品制造业私营工业企业固定资产原价合计,食品加工业私营工业企业固定资产原价合计,饮料制造业私营工业企业固定资产原价合计,黑色金属冶炼及压延加工业私营工业企业固定资产原价合计,黑色金属矿采选业私营工业企业固定资产原价合计
2000年,46.05883,65.9055,7.56224,0.02793,19.27691,95.21582,6.25446,30.36367,16.09406,66.67998,23.47231,12.77491,89.5037,48.91756,7.71309,71.99352,34.27338,,16.99088,0.2253,0.24439,10.27755,21.98301,27.11912,81.09837,29.11928,24.28773,0.77481,1651.37247,178.02747,0.51367,51.32451,89.56406,237.67725,9.81959,43.32825,84.85725,41.54791,53.31959,7.18461
2001年,70.77851,101.70957,13.14695,0.13408,40.63507,170.09147,27.90467,54.14014,32.15846,100.46331,32.77382,25.09528,161.16972,75.86627,12.65055,97.67666,62.56674,0.00816,25.89514,0.5407,2.6587,20.89342,34.35598,43.32189,127.13306,50.08801,33.71725,0.00789,2741.0564,350.2053,3.20515,95.76893,141.60028,344.48221,14.58163,68.71916,141.24609,58.52301,94.62373,10.51944
2002年,103.41745,148.50966,19.3865,0.30674,52.57363,244.27389,42.35306,80.54943,50.5128,147.72575,38.64755,34.78614,225.29094,112.31916,16.65279,128.12532,78.863,,34.9072,0.04305,4.19848,39.29226,40.22578,64.37796,186.36451,64.0495,76.88284,,3959.95171,531.36142,5.94302,131.82163,200.93353,478.70983,22.82693,98.01324,201.72071,71.38698,162.99742,19.60161
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
