,专用设备制造业私营工业企业外商资本金,交通运输设备制造业私营工业企业外商资本金,仪器仪表及文化办公用机械制造业私营工业企业外商资本金,其他矿采选业私营工业企业外商资本金,其它制造业私营工业企业外商资本金,化学原料及化学制品制造业私营工业企业外商资本金,化学纤维制造业私营工业企业外商资本金,医药制造业私营工业企业外商资本金,印刷业、记录媒介的复制私营工业企业外商资本金,塑料制品业私营工业企业外商资本金,家具制造业私营工业企业外商资本金,文教体育用品制造业私营工业企业外商资本金,普通机械制造业私营工业企业外商资本金,有色金属冶炼及压延加工业私营工业企业外商资本金,有色金属矿采选业私营工业企业外商资本金,服装及其他纤维制品制造业私营工业企业外商资本金,木材加工及竹、藤、棕、草制品业私营工业企业外商资本金,木材及竹材采运业私营工业企业外商资本金,橡胶制品业私营工业企业外商资本金,烟草加工业私营工业企业外商资本金,煤气生产和供应业私营工业企业外商资本金,煤炭采选业私营工业企业外商资本金,电力、蒸汽、热水的生产和供应业私营工业企业外商资本金,电子及通信设备制造业私营工业企业外商资本金,电气机械及器材制造业私营工业企业外商资本金,皮革、毛皮、羽绒及其制品业私营工业企业外商资本金,石油加工及炼焦业私营工业企业外商资本金,石油和天然气开采业私营工业企业外商资本金,私营工业企业外商资本金,纺织业私营工业企业外商资本金,自来水的生产和供应业私营工业企业外商资本金,造纸及纸制品业私营工业企业外商资本金,金属制品业私营工业企业外商资本金,非金属矿物制造业私营工业企业外商资本金,非金属矿采选业私营工业企业外商资本金,食品制造业私营工业企业外商资本金,食品加工业私营工业企业外商资本金,饮料制造业私营工业企业外商资本金,黑色金属冶炼及压延加工业私营工业企业外商资本金,黑色金属矿采选业私营工业企业外商资本金
2001年,0.27198,0.75785,0.07507,,0.13845,0.27387,0.09267,0.0243,0.0923,1.13257,0.06627,0.14035,0.53154,0.05977,0.02454,0.56215,,,0.06651,,,,,0.29292,2.46697,0.64997,0.05493,,13.13585,1.75653,,1.03019,0.35941,1.30714,0.0072,0.42953,0.21481,0.0717,0.18436,
2002年,0.80755,0.82001,0.03072,,0.25108,1.42669,0.07967,0.53301,0.17,1.44862,0.085,0.1654,1.14463,0.28774,,3.04876,0.06267,,0.0772,,,,,0.40926,2.85942,0.33209,,,23.1284,3.851,,0.98455,0.90558,2.55412,0.0072,0.16965,0.53969,0.0696,0.00749,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
