,专用设备制造业私营工业企业主营业务成本,交通运输设备制造业私营工业企业主营业务成本,仪器仪表及文化办公用机械制造业私营工业企业主营业务成本,其他矿采选业私营工业企业主营业务成本,其它制造业私营工业企业主营业务成本,化学原料及化学制品制造业私营工业企业主营业务成本,化学纤维制造业私营工业企业主营业务成本,医药制造业私营工业企业主营业务成本,印刷业、记录媒介的复制私营工业企业主营业务成本,塑料制品业私营工业企业主营业务成本,家具制造业私营工业企业主营业务成本,文教体育用品制造业私营工业企业主营业务成本,普通机械制造业私营工业企业主营业务成本,有色金属冶炼及压延加工业私营工业企业主营业务成本,有色金属矿采选业私营工业企业主营业务成本,服装及其他纤维制品制造业私营工业企业主营业务成本,木材加工及竹、藤、棕、草制品业私营工业企业主营业务成本,木材及竹材采运业私营工业企业主营业务成本,橡胶制品业私营工业企业主营业务成本,烟草加工业私营工业企业主营业务成本,煤气生产和供应业私营工业企业主营业务成本,煤炭采选业私营工业企业主营业务成本,电力、蒸汽、热水的生产和供应业私营工业企业主营业务成本,电子及通信设备制造业私营工业企业主营业务成本,电气机械及器材制造业私营工业企业主营业务成本,皮革、毛皮、羽绒及其制品业私营工业企业主营业务成本,石油加工及炼焦业私营工业企业主营业务成本,石油和天然气开采业私营工业企业主营业务成本,私营工业企业主营业务成本,纺织业私营工业企业主营业务成本,自来水的生产和供应业私营工业企业主营业务成本,造纸及纸制品业私营工业企业主营业务成本,金属制品业私营工业企业主营业务成本,非金属矿物制造业私营工业企业主营业务成本,非金属矿采选业私营工业企业主营业务成本,食品制造业私营工业企业主营业务成本,食品加工业私营工业企业主营业务成本,饮料制造业私营工业企业主营业务成本,黑色金属冶炼及压延加工业私营工业企业主营业务成本,黑色金属矿采选业私营工业企业主营业务成本
2001年,185.63419,332.27119,38.18798,0.42229,143.81051,433.40239,72.78974,76.26541,55.5888,298.5683,84.08096,81.76652,387.63624,239.37536,25.68347,364.3222,196.31003,0.07618,62.6819,0.73263,6.50922,25.81693,19.3155,143.89375,427.38022,204.79211,48.8527,0.05949,6947.43,789.43916,0.91467,196.22515,463.66906,441.5525,30.6611,147.40399,518.60743,87.01841,294.50274,21.20568
2002年,288.74106,506.5484,54.25272,0.29363,195.60957,637.88321,112.72309,117.01458,85.3568,458.56845,113.02922,116.97973,585.79725,352.14864,33.3727,537.03447,256.8437,,87.91702,0.26997,4.37221,47.68863,17.31028,200.22293,636.27903,318.0813,99.78769,,10433.8,1246.90278,1.18142,285.64749,686.41349,679.03884,53.8302,213.23969,770.376,111.87649,483.67036,37.49687
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
