,专用设备制造业私营工业企业固定资产合计,交通运输设备制造业私营工业企业固定资产合计,仪器仪表及文化办公用机械制造业私营工业企业固定资产合计,其他矿采选业私营工业企业固定资产合计,其它制造业私营工业企业固定资产合计,化学原料及化学制品制造业私营工业企业固定资产合计,化学纤维制造业私营工业企业固定资产合计,医药制造业私营工业企业固定资产合计,印刷业、记录媒介的复制私营工业企业固定资产合计,塑料制品业私营工业企业固定资产合计,家具制造业私营工业企业固定资产合计,文教体育用品制造业私营工业企业固定资产合计,普通机械制造业私营工业企业固定资产合计,有色金属冶炼及压延加工业私营工业企业固定资产合计,有色金属矿采选业私营工业企业固定资产合计,服装及其他纤维制品制造业私营工业企业固定资产合计,木材加工及竹、藤、棕、草制品业私营工业企业固定资产合计,木材及竹材采运业私营工业企业固定资产合计,橡胶制品业私营工业企业固定资产合计,烟草加工业私营工业企业固定资产合计,煤气生产和供应业私营工业企业固定资产合计,煤炭采选业私营工业企业固定资产合计,电力、蒸汽、热水的生产和供应业私营工业企业固定资产合计,电子及通信设备制造业私营工业企业固定资产合计,电气机械及器材制造业私营工业企业固定资产合计,皮革、毛皮、羽绒及其制品业私营工业企业固定资产合计,石油加工及炼焦业私营工业企业固定资产合计,石油和天然气开采业私营工业企业固定资产合计,私营工业企业固定资产合计,纺织业私营工业企业固定资产合计,自来水的生产和供应业私营工业企业固定资产合计,造纸及纸制品业私营工业企业固定资产合计,金属制品业私营工业企业固定资产合计,非金属矿物制造业私营工业企业固定资产合计,非金属矿采选业私营工业企业固定资产合计,食品制造业私营工业企业固定资产合计,食品加工业私营工业企业固定资产合计,饮料制造业私营工业企业固定资产合计,黑色金属冶炼及压延加工业私营工业企业固定资产合计,黑色金属矿采选业私营工业企业固定资产合计
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,36.46477,57.29353,5.9599,0.02017,16.51014,79.08121,5.0015,28.03198,12.36206,56.28366,21.08302,10.95148,70.41676,42.38722,7.77105,58.10659,32.29171,0.0,13.21403,0.2085,0.22503,8.54117,21.20649,21.71011,63.20226,24.82584,20.71259,0.70402,1372.3816,143.79447,0.34753,41.34197,73.68163,190.02088,7.79738,37.58642,75.74013,36.56385,44.9615,5.97905
2001年,57.25212,84.42463,10.77988,0.12777,35.22105,138.91533,20.11889,48.74873,25.42539,81.69279,26.74947,20.62367,122.09237,65.89724,10.5144,80.36106,53.1778,0.00603,20.8513,0.44064,2.20809,15.88289,26.86946,36.08644,104.02169,41.66788,30.73558,0.00694,2236.07892,277.86396,2.87859,77.65765,115.46937,266.88477,11.78833,58.82113,123.05996,50.16723,81.88819,8.70021
2002年,82.43778,123.3605,15.82389,0.28516,45.83037,198.37944,31.4961,71.08334,39.4051,121.10676,32.04022,28.04074,170.02589,94.53444,12.26185,105.19423,66.8962,0.0,27.72411,0.03387,3.40175,31.70073,31.97573,52.70843,150.94628,54.54519,70.36019,0.0,3247.54807,434.2018,5.03257,107.57432,163.33288,371.34567,20.20245,85.27298,174.57402,60.34357,147.39205,16.67747
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
