,专用设备制造业私营工业企业亏损企业单位数,交通运输设备制造业私营工业企业亏损企业单位数,仪器仪表及文化办公用机械制造业私营工业企业亏损企业单位数,其他矿采选业私营工业企业亏损企业单位数,其它制造业私营工业企业亏损企业单位数,化学原料及化学制品制造业私营工业企业亏损企业单位数,化学纤维制造业私营工业企业亏损企业单位数,医药制造业私营工业企业亏损企业单位数,印刷业、记录媒介的复制私营工业企业亏损企业单位数,塑料制品业私营工业企业亏损企业单位数,家具制造业私营工业企业亏损企业单位数,文教体育用品制造业私营工业企业亏损企业单位数,普通机械制造业私营工业企业亏损企业单位数,有色金属冶炼及压延加工业私营工业企业亏损企业单位数,有色金属矿采选业私营工业企业亏损企业单位数,服装及其他纤维制品制造业私营工业企业亏损企业单位数,木材加工及竹、藤、棕、草制品业私营工业企业亏损企业单位数,木材及竹材采运业私营工业企业亏损企业单位数,橡胶制品业私营工业企业亏损企业单位数,烟草加工业私营工业企业亏损企业单位数,煤气生产和供应业私营工业企业亏损企业单位数,煤炭采选业私营工业企业亏损企业单位数,电力、蒸汽、热水的生产和供应业私营工业企业亏损企业单位数,电子及通信设备制造业私营工业企业亏损企业单位数,电气机械及器材制造业私营工业企业亏损企业单位数,皮革、毛皮、羽绒及其制品业私营工业企业亏损企业单位数,石油加工及炼焦业私营工业企业亏损企业单位数,石油和天然气开采业私营工业企业亏损企业单位数,私营工业企业亏损企业单位数,纺织业私营工业企业亏损企业单位数,自来水的生产和供应业私营工业企业亏损企业单位数,造纸及纸制品业私营工业企业亏损企业单位数,金属制品业私营工业企业亏损企业单位数,非金属矿物制造业私营工业企业亏损企业单位数,非金属矿采选业私营工业企业亏损企业单位数,食品制造业私营工业企业亏损企业单位数,食品加工业私营工业企业亏损企业单位数,饮料制造业私营工业企业亏损企业单位数,黑色金属冶炼及压延加工业私营工业企业亏损企业单位数,黑色金属矿采选业私营工业企业亏损企业单位数
2001年,124.0,156.0,28.0,,97.0,343.0,36.0,84.0,56.0,167.0,29.0,44.0,231.0,162.0,39.0,227.0,84.0,1.0,42.0,1.0,5.0,37.0,16.0,69.0,189.0,70.0,41.0,,4655.0,523.0,2.0,194.0,261.0,539.0,16.0,121.0,296.0,107.0,199.0,19.0
2002年,136.0,160.0,32.0,2.0,114.0,420.0,42.0,118.0,81.0,192.0,47.0,61.0,281.0,180.0,30.0,336.0,114.0,,53.0,,3.0,44.0,27.0,106.0,270.0,91.0,62.0,,5702.0,564.0,5.0,220.0,338.0,677.0,33.0,146.0,340.0,119.0,221.0,37.0
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
