,专用设备制造业私营工业企业销售费用,交通运输设备制造业私营工业企业销售费用,仪器仪表及文化办公用机械制造业私营工业企业销售费用,其他矿采选业私营工业企业销售费用,其它制造业私营工业企业销售费用,化学原料及化学制品制造业私营工业企业销售费用,化学纤维制造业私营工业企业销售费用,医药制造业私营工业企业销售费用,印刷业、记录媒介的复制私营工业企业销售费用,塑料制品业私营工业企业销售费用,家具制造业私营工业企业销售费用,文教体育用品制造业私营工业企业销售费用,普通机械制造业私营工业企业销售费用,有色金属冶炼及压延加工业私营工业企业销售费用,有色金属矿采选业私营工业企业销售费用,服装及其他纤维制品制造业私营工业企业销售费用,木材加工及竹、藤、棕、草制品业私营工业企业销售费用,木材及竹材采运业私营工业企业销售费用,橡胶制品业私营工业企业销售费用,烟草加工业私营工业企业销售费用,煤气生产和供应业私营工业企业销售费用,煤炭采选业私营工业企业销售费用,电力、蒸汽、热水的生产和供应业私营工业企业销售费用,电子及通信设备制造业私营工业企业销售费用,电气机械及器材制造业私营工业企业销售费用,皮革、毛皮、羽绒及其制品业私营工业企业销售费用,石油加工及炼焦业私营工业企业销售费用,石油和天然气开采业私营工业企业销售费用,私营工业企业销售费用,纺织业私营工业企业销售费用,自来水的生产和供应业私营工业企业销售费用,造纸及纸制品业私营工业企业销售费用,金属制品业私营工业企业销售费用,非金属矿物制造业私营工业企业销售费用,非金属矿采选业私营工业企业销售费用,食品制造业私营工业企业销售费用,食品加工业私营工业企业销售费用,饮料制造业私营工业企业销售费用,黑色金属冶炼及压延加工业私营工业企业销售费用,黑色金属矿采选业私营工业企业销售费用
2001年,10.49136,10.9996,2.51895,0.03035,5.26406,21.95202,0.76163,14.40248,1.92811,8.43275,4.71918,4.25134,16.73551,5.33003,1.58832,13.14626,6.02624,0.02179,3.11101,0.00846,0.08601,2.45552,0.1495,10.1955,22.91026,5.17708,4.2246,,277.92056,14.07335,0.03893,4.99706,16.30899,19.66138,2.8976,10.77424,18.50173,6.77928,5.91645,1.05363
2002年,14.58068,16.80816,3.78755,0.02442,7.37996,33.85149,1.11813,19.17424,2.66216,13.37449,5.69595,5.72226,25.18614,6.00678,1.86858,19.02567,8.49427,,3.78701,0.00819,0.26773,4.19663,0.36441,11.94198,30.50964,8.77841,8.50564,,403.85188,20.65001,0.04782,7.43732,25.2895,29.65619,5.15505,14.80066,25.23125,9.78097,9.95509,2.72745
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
