,专用设备制造业私营工业企业工业销售产值(现价),交通运输设备制造业私营工业企业工业销售产值(现价),仪器仪表及文化办公用机械制造业私营工业企业工业销售产值(现价),其他矿采选业私营工业企业工业销售产值(现价),其它制造业私营工业企业工业销售产值(现价),化学原料及化学制品制造业私营工业企业工业销售产值(现价),化学纤维制造业私营工业企业工业销售产值(现价),医药制造业私营工业企业工业销售产值(现价),印刷业、记录媒介的复制私营工业企业工业销售产值(现价),塑料制品业私营工业企业工业销售产值(现价),家具制造业私营工业企业工业销售产值(现价),文教体育用品制造业私营工业企业工业销售产值(现价),普通机械制造业私营工业企业工业销售产值(现价),有色金属冶炼及压延加工业私营工业企业工业销售产值(现价),有色金属矿采选业私营工业企业工业销售产值(现价),服装及其他纤维制品制造业私营工业企业工业销售产值(现价),木材加工及竹、藤、棕、草制品业私营工业企业工业销售产值(现价),木材及竹材采运业私营工业企业工业销售产值(现价),橡胶制品业私营工业企业工业销售产值(现价),烟草加工业私营工业企业工业销售产值(现价),煤气生产和供应业私营工业企业工业销售产值(现价),煤炭采选业私营工业企业工业销售产值(现价),电力、蒸汽、热水的生产和供应业私营工业企业工业销售产值(现价),电子及通信设备制造业私营工业企业工业销售产值(现价),电气机械及器材制造业私营工业企业工业销售产值(现价),皮革、毛皮、羽绒及其制品业私营工业企业工业销售产值(现价),石油加工及炼焦业私营工业企业工业销售产值(现价),石油和天然气开采业私营工业企业工业销售产值(现价),私营工业企业工业销售产值(现价),纺织业私营工业企业工业销售产值(现价),自来水的生产和供应业私营工业企业工业销售产值(现价),造纸及纸制品业私营工业企业工业销售产值(现价),金属制品业私营工业企业工业销售产值(现价),非金属矿物制造业私营工业企业工业销售产值(现价),非金属矿采选业私营工业企业工业销售产值(现价),食品制造业私营工业企业工业销售产值(现价),食品加工业私营工业企业工业销售产值(现价),饮料制造业私营工业企业工业销售产值(现价),黑色金属冶炼及压延加工业私营工业企业工业销售产值(现价),黑色金属矿采选业私营工业企业工业销售产值(现价)
2000年,160.18191,234.81536,27.95061,0.14905,100.45555,281.43165,20.54713,77.83028,39.26215,214.65099,69.28486,55.01942,272.05855,184.27602,20.71129,270.35528,135.4959,,49.2194,0.3041,0.39718,19.5283,22.11455,106.04953,325.37422,141.65721,50.76174,,4977.2538,492.05488,0.26993,124.71411,321.30895,358.33759,32.82856,121.91452,376.68902,80.22728,171.93254,17.09419
2001年,239.74399,399.7481,50.16059,0.5059,174.51487,532.99257,83.74685,115.81721,68.07347,344.62789,105.66278,101.25018,488.66637,269.19865,29.37117,431.54072,227.92902,0.10033,79.00478,0.7766,7.08386,34.38118,25.71361,183.30678,527.34718,237.23794,63.37497,0.08191,8403.82277,925.04711,1.46847,232.6468,556.37955,557.03333,39.49531,180.94151,603.84457,119.9102,334.62543,30.47102
2002年,366.02396,607.92551,69.85852,0.35414,237.50237,784.8332,123.93413,176.95469,101.10489,529.50133,135.71957,145.68678,732.36528,390.44036,40.57787,632.56332,296.42997,,111.00212,0.2879,4.96046,65.23424,24.66296,246.98097,783.27353,374.0088,121.20009,,12494.52666,1428.85894,1.86137,335.62239,819.51947,832.01421,71.79377,264.32472,889.25206,157.68151,538.12873,52.08253
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
