,专用设备制造业私营工业企业集体资本金,交通运输设备制造业私营工业企业集体资本金,仪器仪表及文化办公用机械制造业私营工业企业集体资本金,其他矿采选业私营工业企业集体资本金,其它制造业私营工业企业集体资本金,化学原料及化学制品制造业私营工业企业集体资本金,化学纤维制造业私营工业企业集体资本金,医药制造业私营工业企业集体资本金,印刷业、记录媒介的复制私营工业企业集体资本金,塑料制品业私营工业企业集体资本金,家具制造业私营工业企业集体资本金,文教体育用品制造业私营工业企业集体资本金,普通机械制造业私营工业企业集体资本金,有色金属冶炼及压延加工业私营工业企业集体资本金,有色金属矿采选业私营工业企业集体资本金,服装及其他纤维制品制造业私营工业企业集体资本金,木材加工及竹、藤、棕、草制品业私营工业企业集体资本金,木材及竹材采运业私营工业企业集体资本金,橡胶制品业私营工业企业集体资本金,烟草加工业私营工业企业集体资本金,煤气生产和供应业私营工业企业集体资本金,煤炭采选业私营工业企业集体资本金,电力、蒸汽、热水的生产和供应业私营工业企业集体资本金,电子及通信设备制造业私营工业企业集体资本金,电气机械及器材制造业私营工业企业集体资本金,皮革、毛皮、羽绒及其制品业私营工业企业集体资本金,石油加工及炼焦业私营工业企业集体资本金,石油和天然气开采业私营工业企业集体资本金,私营工业企业集体资本金,纺织业私营工业企业集体资本金,自来水的生产和供应业私营工业企业集体资本金,造纸及纸制品业私营工业企业集体资本金,金属制品业私营工业企业集体资本金,非金属矿物制造业私营工业企业集体资本金,非金属矿采选业私营工业企业集体资本金,食品制造业私营工业企业集体资本金,食品加工业私营工业企业集体资本金,饮料制造业私营工业企业集体资本金,黑色金属冶炼及压延加工业私营工业企业集体资本金,黑色金属矿采选业私营工业企业集体资本金
2001年,1.60766,1.82353,0.30864,,0.5937,5.55736,0.63199,1.92507,0.67853,2.90431,2.17711,0.85069,4.15807,1.1785,0.75157,2.13431,1.27225,,0.54947,,0.0063,0.15047,0.25917,1.02906,4.03671,1.4362,0.29192,,68.51555,5.9724,,2.26311,3.85346,12.14328,1.28371,1.46661,2.51201,0.95248,1.40125,0.34465
2002年,2.21872,3.66118,1.33517,,1.33748,3.95537,0.25871,1.84078,0.40491,3.91114,0.28174,0.25816,4.32706,0.81858,0.78178,2.46688,1.06282,,0.57415,,,0.62567,0.23169,0.54898,5.41918,1.11657,0.9559,,75.6221,7.59381,0.0732,2.56285,7.34961,10.41626,0.62306,1.21404,3.34151,1.68251,1.93605,0.43658
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
