,专用设备制造业私营工业企业负债合计,交通运输设备制造业私营工业企业负债合计,仪器仪表及文化办公用机械制造业私营工业企业负债合计,其他矿采选业私营工业企业负债合计,其它制造业私营工业企业负债合计,化学原料及化学制品制造业私营工业企业负债合计,化学纤维制造业私营工业企业负债合计,医药制造业私营工业企业负债合计,印刷业、记录媒介的复制私营工业企业负债合计,塑料制品业私营工业企业负债合计,家具制造业私营工业企业负债合计,文教体育用品制造业私营工业企业负债合计,普通机械制造业私营工业企业负债合计,有色金属冶炼及压延加工业私营工业企业负债合计,有色金属矿采选业私营工业企业负债合计,服装及其他纤维制品制造业私营工业企业负债合计,木材加工及竹、藤、棕、草制品业私营工业企业负债合计,木材及竹材采运业私营工业企业负债合计,橡胶制品业私营工业企业负债合计,烟草加工业私营工业企业负债合计,煤气生产和供应业私营工业企业负债合计,煤炭采选业私营工业企业负债合计,电力、蒸汽、热水的生产和供应业私营工业企业负债合计,电子及通信设备制造业私营工业企业负债合计,电气机械及器材制造业私营工业企业负债合计,皮革、毛皮、羽绒及其制品业私营工业企业负债合计,石油加工及炼焦业私营工业企业负债合计,石油和天然气开采业私营工业企业负债合计,私营工业企业负债合计,纺织业私营工业企业负债合计,自来水的生产和供应业私营工业企业负债合计,造纸及纸制品业私营工业企业负债合计,金属制品业私营工业企业负债合计,非金属矿物制造业私营工业企业负债合计,非金属矿采选业私营工业企业负债合计,食品制造业私营工业企业负债合计,食品加工业私营工业企业负债合计,饮料制造业私营工业企业负债合计,黑色金属冶炼及压延加工业私营工业企业负债合计,黑色金属矿采选业私营工业企业负债合计
2001年,110.72241,183.10165,23.77904,0.1912,55.36176,228.10179,30.17029,76.7932,38.33548,122.59332,31.69258,37.9723,223.0514,118.00863,12.43528,140.23462,60.55593,0.01343,32.53762,0.28087,2.84613,17.78458,22.5736,83.0975,223.2482,73.09908,50.02924,0.03725,3527.4,382.03942,2.74652,118.9311,206.44708,331.81543,12.74471,84.50582,175.17086,78.30727,120.65123,15.38473
2002年,170.55696,266.82671,33.29409,0.21564,72.51498,323.46253,41.93657,116.16546,54.71501,195.20214,45.07626,53.73014,331.377,158.97731,16.66057,203.87907,85.04465,,44.51088,0.24099,3.3777,35.69436,35.98909,126.79219,334.12091,97.31617,92.54141,,5192.26,613.6921,3.81783,162.72678,303.62245,462.51574,23.03812,116.30956,243.37389,89.80728,208.87276,24.26663
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
