,专用设备制造业私营工业企业资产总计,交通运输设备制造业私营工业企业资产总计,仪器仪表及文化办公用机械制造业私营工业企业资产总计,其他矿采选业私营工业企业资产总计,其它制造业私营工业企业资产总计,化学原料及化学制品制造业私营工业企业资产总计,化学纤维制造业私营工业企业资产总计,医药制造业私营工业企业资产总计,印刷业、记录媒介的复制私营工业企业资产总计,塑料制品业私营工业企业资产总计,家具制造业私营工业企业资产总计,文教体育用品制造业私营工业企业资产总计,普通机械制造业私营工业企业资产总计,有色金属冶炼及压延加工业私营工业企业资产总计,有色金属矿采选业私营工业企业资产总计,服装及其他纤维制品制造业私营工业企业资产总计,木材加工及竹、藤、棕、草制品业私营工业企业资产总计,木材及竹材采运业私营工业企业资产总计,橡胶制品业私营工业企业资产总计,烟草加工业私营工业企业资产总计,煤气生产和供应业私营工业企业资产总计,煤炭采选业私营工业企业资产总计,电力、蒸汽、热水的生产和供应业私营工业企业资产总计,电子及通信设备制造业私营工业企业资产总计,电气机械及器材制造业私营工业企业资产总计,皮革、毛皮、羽绒及其制品业私营工业企业资产总计,石油加工及炼焦业私营工业企业资产总计,石油和天然气开采业私营工业企业资产总计,私营工业企业资产总计,纺织业私营工业企业资产总计,自来水的生产和供应业私营工业企业资产总计,造纸及纸制品业私营工业企业资产总计,金属制品业私营工业企业资产总计,非金属矿物制造业私营工业企业资产总计,非金属矿采选业私营工业企业资产总计,食品制造业私营工业企业资产总计,食品加工业私营工业企业资产总计,饮料制造业私营工业企业资产总计,黑色金属冶炼及压延加工业私营工业企业资产总计,黑色金属矿采选业私营工业企业资产总计
2001年,180.99581,281.71416,44.55924,0.26736,102.51235,377.03873,48.55961,143.75645,61.9068,214.43154,65.10909,65.56946,362.73585,181.12096,23.87687,247.48749,118.13246,0.02357,54.58479,0.65103,4.23665,35.42296,41.71874,151.44294,386.21383,126.75014,71.37638,0.08767,5901.98,614.01564,5.12386,181.8881,344.08821,543.87242,25.4648,141.97843,297.97822,126.9848,204.29974,23.99694
2002年,285.23181,412.96748,63.46295,0.49263,134.92583,553.80919,71.68022,210.93932,93.72907,337.41526,87.09807,90.44426,540.57672,245.81239,32.04132,346.51833,159.30089,,75.74122,0.31757,5.42107,66.64907,53.04172,226.98017,570.21263,172.55127,152.29782,,8759.62,991.84066,7.79633,255.34641,509.11476,761.32108,42.4039,205.32632,436.29465,157.15276,362.72571,40.63427
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
