,专用设备制造业私营工业企业个人资本金,交通运输设备制造业私营工业企业个人资本金,仪器仪表及文化办公用机械制造业私营工业企业个人资本金,其他矿采选业私营工业企业个人资本金,其它制造业私营工业企业个人资本金,化学原料及化学制品制造业私营工业企业个人资本金,化学纤维制造业私营工业企业个人资本金,医药制造业私营工业企业个人资本金,印刷业、记录媒介的复制私营工业企业个人资本金,塑料制品业私营工业企业个人资本金,家具制造业私营工业企业个人资本金,文教体育用品制造业私营工业企业个人资本金,普通机械制造业私营工业企业个人资本金,有色金属冶炼及压延加工业私营工业企业个人资本金,有色金属矿采选业私营工业企业个人资本金,服装及其他纤维制品制造业私营工业企业个人资本金,木材加工及竹、藤、棕、草制品业私营工业企业个人资本金,木材及竹材采运业私营工业企业个人资本金,橡胶制品业私营工业企业个人资本金,烟草加工业私营工业企业个人资本金,煤气生产和供应业私营工业企业个人资本金,煤炭采选业私营工业企业个人资本金,电力、蒸汽、热水的生产和供应业私营工业企业个人资本金,电子及通信设备制造业私营工业企业个人资本金,电气机械及器材制造业私营工业企业个人资本金,皮革、毛皮、羽绒及其制品业私营工业企业个人资本金,石油加工及炼焦业私营工业企业个人资本金,石油和天然气开采业私营工业企业个人资本金,私营工业企业个人资本金,纺织业私营工业企业个人资本金,自来水的生产和供应业私营工业企业个人资本金,造纸及纸制品业私营工业企业个人资本金,金属制品业私营工业企业个人资本金,非金属矿物制造业私营工业企业个人资本金,非金属矿采选业私营工业企业个人资本金,食品制造业私营工业企业个人资本金,食品加工业私营工业企业个人资本金,饮料制造业私营工业企业个人资本金,黑色金属冶炼及压延加工业私营工业企业个人资本金,黑色金属矿采选业私营工业企业个人资本金
2001年,31.63421,41.7169,11.19805,0.06443,18.95254,60.31565,11.11266,22.51963,9.66039,40.99106,14.46374,13.32038,63.53274,32.76144,4.71292,45.72905,23.17704,0.01,9.23583,0.074,0.65167,6.67159,3.9788,27.10044,63.58729,25.47307,12.73677,0.005,1010.46703,101.29961,0.23318,31.51387,61.53957,84.71001,5.09927,25.65994,48.97653,18.51254,32.62728,4.90794
2002年,53.95168,58.5863,13.62858,0.1951,24.18894,89.5995,11.83577,33.07889,15.89209,64.5599,17.71222,17.57124,98.56119,39.66787,7.2625,64.00766,30.82035,,13.27746,0.016,0.7207,12.41687,11.24359,41.85158,92.10889,37.95141,20.05012,,1495.25685,160.21388,0.33127,43.97563,89.89525,133.27978,7.61267,34.37869,72.38093,22.07353,53.95965,6.39917
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
