,专用设备制造业私营工业企业实收资本,交通运输设备制造业私营工业企业实收资本,仪器仪表及文化办公用机械制造业私营工业企业实收资本,其他矿采选业私营工业企业实收资本,其它制造业私营工业企业实收资本,化学原料及化学制品制造业私营工业企业实收资本,化学纤维制造业私营工业企业实收资本,医药制造业私营工业企业实收资本,印刷业、记录媒介的复制私营工业企业实收资本,塑料制品业私营工业企业实收资本,家具制造业私营工业企业实收资本,文教体育用品制造业私营工业企业实收资本,普通机械制造业私营工业企业实收资本,有色金属冶炼及压延加工业私营工业企业实收资本,有色金属矿采选业私营工业企业实收资本,服装及其他纤维制品制造业私营工业企业实收资本,木材加工及竹、藤、棕、草制品业私营工业企业实收资本,木材及竹材采运业私营工业企业实收资本,橡胶制品业私营工业企业实收资本,烟草加工业私营工业企业实收资本,煤气生产和供应业私营工业企业实收资本,煤炭采选业私营工业企业实收资本,电力、蒸汽、热水的生产和供应业私营工业企业实收资本,电子及通信设备制造业私营工业企业实收资本,电气机械及器材制造业私营工业企业实收资本,皮革、毛皮、羽绒及其制品业私营工业企业实收资本,石油加工及炼焦业私营工业企业实收资本,石油和天然气开采业私营工业企业实收资本,私营工业企业实收资本,纺织业私营工业企业实收资本,自来水的生产和供应业私营工业企业实收资本,造纸及纸制品业私营工业企业实收资本,金属制品业私营工业企业实收资本,非金属矿物制造业私营工业企业实收资本,非金属矿采选业私营工业企业实收资本,食品制造业私营工业企业实收资本,食品加工业私营工业企业实收资本,饮料制造业私营工业企业实收资本,黑色金属冶炼及压延加工业私营工业企业实收资本,黑色金属矿采选业私营工业企业实收资本
2001年,46.16811,61.1576,14.38605,0.06943,27.28248,98.44021,12.96041,41.65688,15.30923,59.41148,24.4828,18.66743,87.49814,46.76534,8.42351,66.90957,38.92363,0.01383,14.81786,0.146,0.78997,12.24519,16.61084,40.94596,93.09971,38.27764,19.20073,0.005,1572.91202,149.0941,0.82304,49.81683,91.47579,152.65036,9.17245,40.8766,82.63811,34.92604,50.33169,6.43198
2002年,71.51322,86.1931,18.11621,0.2349,36.12733,142.45983,14.61472,59.19669,24.20346,92.76772,27.17157,23.98194,128.83849,63.09694,10.66471,91.83014,49.13317,,19.1493,0.066,1.50625,21.87437,13.43187,55.91111,133.83775,52.65559,43.01288,,2257.99738,228.47369,1.46356,64.09933,131.71359,215.35016,14.43081,53.02772,117.91544,41.63501,95.45876,12.84005
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
