,业余无线电运动健将发展人数,中国式摔跤运动健将发展人数,中国象棋运动健将发展人数,举重运动健将发展人数,乒乓球运动健将发展人数,体操运动健将发展人数,体育舞蹈运动健将发展人数,保龄球运动健将发展人数,信鸽运动健将发展人数,健美操运动健将发展人数,健美运动健将发展人数,健身气功运动健将发展人数,冬季两项运动健将发展人数,冰壶运动健将发展人数,冰球运动健将发展人数,击剑运动健将发展人数,单板滑雪运动健将发展人数,台球运动健将发展人数,围棋运动健将发展人数,国际式摔跤运动健将发展人数,国际象棋运动健将发展人数,垒球运动健将发展人数,壁球运动健将发展人数,定向运动健将发展人数,射击运动健将发展人数,射箭运动健将发展人数,帆船运动健将发展人数,手球运动健将发展人数,技巧运动健将发展人数,拔河运动健将发展人数,拳击运动健将发展人数,排球运动健将发展人数,掷球运动健将发展人数,摩托艇运动健将发展人数,摩托车运动健将发展人数,救生运动健将发展人数,曲棍球运动健将发展人数,柔道运动健将发展人数,桥牌运动健将发展人数,棒球运动健将发展人数,橄榄球运动健将发展人数,武术运动健将发展人数,毽球运动健将发展人数,水球运动健将发展人数,汽车运动健将发展人数,沙滩排球运动健将发展人数,游泳运动健将发展人数,滑水运动健将发展人数,滑翔运动健将发展人数,潜水运动健将发展人数,热气球运动健将发展人数,现代五项运动健将发展人数,田径运动健将发展人数,电子竞技运动健将发展人数,登山运动健将发展人数,皮划艇运动健将发展人数,短道速滑运动健将发展人数,篮球运动健将发展人数,网球运动健将发展人数,羽毛球运动健将发展人数,自由式滑雪运动健将发展人数,自行车运动健将发展人数,舞龙舞狮运动健将发展人数,航海模型运动健将发展人数,航空模型运动健将发展人数,艺术体操运动健将发展人数,花样游泳运动健将发展人数,花样滑冰运动健将发展人数,藤球运动健将发展人数,街舞运动健将发展人数,赛艇运动健将发展人数,越野滑雪运动健将发展人数,足球运动健将发展人数,跆拳道运动健将发展人数,跳伞运动健将发展人数,跳台滑雪运动健将发展人数,跳水运动健将发展人数,蹦床运动健将发展人数,蹼泳运动健将发展人数,车辆模型运动健将发展人数,轮滑运动健将发展人数,软式网球运动健将发展人数,运动健将发展人数,运动飞机运动健将发展人数,速度滑冰运动健将发展人数,钓鱼运动健将发展人数,铁人三项运动健将发展人数,门球运动健将发展人数,风筝运动健将发展人数,飞镖运动健将发展人数,马术运动健将发展人数,高尔夫球运动健将发展人数,高山滑雪运动健将发展人数,龙舟运动健将发展人数
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010年,0,91,2,55,23,18,0,0,0,29,8,0,0,0,14,33,0,0,1,88,9,21,0,0,19,12,40,94,20,3,73,10,0,3,0,0,48,37,0,54,0,120,0,32,0,0,145,3,0,0,0,0,87,0,5,14,0,6,24,14,0,36,0,1,1,73,26,0,0,0,6,0,160,15,0,0,24,29,0,0,71,0,1712,0,4,0,7,0,0,0,0,0,4,0
2011年,2,31,3,41,17,29,0,0,0,45,4,0,1,4,69,19,0,0,0,29,6,23,0,0,17,7,87,18,5,0,81,56,0,9,0,0,31,54,0,59,13,74,0,36,0,5,45,12,0,0,0,11,36,0,12,104,42,74,3,32,0,24,0,2,2,43,15,13,0,0,146,1,56,15,3,1,52,5,14,1,4,4,1675,0,26,0,2,0,0,0,0,0,0,0
2012年,1,1,7,33,38,27,0,0,0,51,19,0,9,6,77,19,5,0,9,28,5,19,3,0,68,9,15,81,27,0,37,49,0,6,2,0,67,39,0,44,87,86,0,14,0,5,80,6,0,0,0,2,111,0,9,30,17,78,17,28,3,42,0,1,3,66,3,16,0,0,56,10,59,75,10,3,29,13,13,0,8,1,1820,0,19,0,10,0,0,0,0,4,5,0
2013年,0,21,11,27,42,38,0,0,0,8,25,0,0,1,29,10,3,0,10,0,8,6,0,0,33,19,4,21,2,0,19,9,0,3,0,0,32,53,0,0,31,64,0,22,0,0,72,0,0,0,0,8,89,0,23,27,8,134,5,11,0,45,0,7,1,20,6,1,0,0,48,5,81,27,2,0,32,10,3,0,4,0,1283,0,10,0,2,0,0,0,0,1,0,0
2014年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,910,0,0,0,0,0,0,0,0,0,0,0
