,业余无线电等级女运动员发展人数,中国式摔跤等级女运动员发展人数,中国象棋等级女运动员发展人数,举重等级女运动员发展人数,乒乓球等级女运动员发展人数,体操等级女运动员发展人数,体育舞蹈等级女运动员发展人数,保龄球等级女运动员发展人数,信鸽等级女运动员发展人数,健美操等级女运动员发展人数,健美等级女运动员发展人数,健身气功等级女运动员发展人数,冬季两项等级女运动员发展人数,冰壶等级女运动员发展人数,冰球等级女运动员发展人数,击剑等级女运动员发展人数,单板滑雪等级女运动员发展人数,台球等级女运动员发展人数,围棋等级女运动员发展人数,国际式摔跤等级女运动员发展人数,国际象棋等级女运动员发展人数,垒球等级女运动员发展人数,壁球等级女运动员发展人数,定向等级女运动员发展人数,射击等级女运动员发展人数,射箭等级女运动员发展人数,帆船等级女运动员发展人数,手球等级女运动员发展人数,技巧等级女运动员发展人数,拔河等级女运动员发展人数,拳击等级女运动员发展人数,排球等级女运动员发展人数,掷球等级女运动员发展人数,摩托艇等级女运动员发展人数,摩托车等级女运动员发展人数,救生等级女运动员发展人数,曲棍球等级女运动员发展人数,柔道等级女运动员发展人数,桥牌等级女运动员发展人数,棒球等级女运动员发展人数,橄榄球等级女运动员发展人数,武术等级女运动员发展人数,毽球等级女运动员发展人数,水球等级女运动员发展人数,汽车等级女运动员发展人数,沙滩排球等级女运动员发展人数,游泳等级女运动员发展人数,滑水等级女运动员发展人数,滑翔等级女运动员发展人数,潜水等级女运动员发展人数,热气球等级女运动员发展人数,现代五项等级女运动员发展人数,田径等级女运动员发展人数,电子竞技等级女运动员发展人数,登山等级女运动员发展人数,皮划艇等级女运动员发展人数,短道速滑等级女运动员发展人数,等级女运动员发展人数,篮球等级女运动员发展人数,网球等级女运动员发展人数,羽毛球等级女运动员发展人数,自由式滑雪等级女运动员发展人数,自行车等级女运动员发展人数,舞龙舞狮等级女运动员发展人数,航海模型等级女运动员发展人数,航空模型等级女运动员发展人数,艺术体操等级女运动员发展人数,花样游泳等级女运动员发展人数,花样滑冰等级女运动员发展人数,藤球等级女运动员发展人数,街舞等级女运动员发展人数,赛艇等级女运动员发展人数,越野滑雪等级女运动员发展人数,足球等级女运动员发展人数,跆拳道等级女运动员发展人数,跳伞等级女运动员发展人数,跳台滑雪等级女运动员发展人数,跳水等级女运动员发展人数,蹦床等级女运动员发展人数,蹼泳等级女运动员发展人数,车辆模型等级女运动员发展人数,轮滑等级女运动员发展人数,软式网球等级女运动员发展人数,运动飞机等级女运动员发展人数,速度滑冰等级女运动员发展人数,钓鱼等级女运动员发展人数,铁人三项等级女运动员发展人数,门球等级女运动员发展人数,风筝等级女运动员发展人数,飞镖等级女运动员发展人数,马术等级女运动员发展人数,高尔夫球等级女运动员发展人数,高山滑雪等级女运动员发展人数,龙舟等级女运动员发展人数
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,95.0,156.0,131.0,236.0,930.0,160.0,16.0,,,566.0,16.0,,,3.0,29.0,305.0,,,97.0,284.0,129.0,315.0,,22.0,500.0,112.0,100.0,329.0,48.0,4.0,75.0,1193.0,,2.0,,2.0,258.0,516.0,,17.0,,822.0,5.0,35.0,,51.0,1435.0,13.0,,,,9.0,2773.0,2.0,4.0,179.0,25.0,17543.0,1595.0,380.0,377.0,3.0,97.0,5.0,58.0,11.0,219.0,64.0,5.0,3.0,2.0,301.0,10.0,1198.0,736.0,6.0,4.0,154.0,62.0,5.0,4.0,41.0,15.0,,72.0,,7.0,97.0,,1.0,,,7.0,5.0
2011年,14.0,144.0,100.0,141.0,861.0,147.0,,,,409.0,42.0,,1.0,20.0,15.0,204.0,1.0,,93.0,205.0,140.0,275.0,,,524.0,86.0,84.0,266.0,60.0,,194.0,1055.0,,14.0,,,202.0,349.0,,,34.0,860.0,,48.0,,76.0,1189.0,3.0,,,,15.0,1626.0,,10.0,158.0,29.0,14242.0,1495.0,428.0,269.0,2.0,91.0,,6.0,13.0,124.0,61.0,17.0,,,255.0,28.0,818.0,608.0,4.0,3.0,155.0,57.0,8.0,5.0,14.0,36.0,,38.0,,2.0,,,,,,11.0,
2012年,14.0,122.0,109.0,182.0,1000.0,100.0,,,,553.0,70.0,,8.0,14.0,57.0,284.0,9.0,,114.0,215.0,184.0,323.0,,,550.0,110.0,114.0,310.0,44.0,,260.0,1226.0,,4.0,1.0,,149.0,425.0,,2.0,83.0,1051.0,,34.0,,48.0,1294.0,6.0,,,,12.0,2137.0,,12.0,160.0,18.0,16787.0,1843.0,449.0,254.0,5.0,154.0,,7.0,10.0,232.0,57.0,13.0,,,345.0,19.0,944.0,784.0,3.0,3.0,121.0,44.0,11.0,,7.0,19.0,,39.0,,3.0,,,,,4.0,9.0,
2013年,,158.0,113.0,161.0,1207.0,164.0,,,,147.0,76.0,,,24.0,18.0,203.0,9.0,,114.0,,156.0,220.0,,,512.0,115.0,44.0,299.0,,,267.0,1404.0,,3.0,,,179.0,390.0,,,103.0,1302.0,,55.0,,48.0,1269.0,3.0,,,,10.0,2549.0,,12.0,170.0,40.0,18102.0,2244.0,625.0,299.0,1.0,133.0,,19.0,4.0,81.0,47.0,17.0,,,317.0,14.0,1389.0,772.0,2.0,,67.0,37.0,11.0,,5.0,9.0,,40.0,,5.0,,,,1.0,3.0,8.0,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
