,业余无线电等级运动员发展人数,中国式摔跤等级运动员发展人数,中国象棋等级运动员发展人数,举重等级运动员发展人数,乒乓球等级运动员发展人数,体操等级运动员发展人数,体育舞蹈等级运动员发展人数,保龄球等级运动员发展人数,信鸽等级运动员发展人数,健美操等级运动员发展人数,健美等级运动员发展人数,健身气功等级运动员发展人数,冬季两项等级运动员发展人数,冰壶等级运动员发展人数,冰球等级运动员发展人数,击剑等级运动员发展人数,单板滑雪等级运动员发展人数,台球等级运动员发展人数,围棋等级运动员发展人数,国际式摔跤等级运动员发展人数,国际象棋等级运动员发展人数,垒球等级运动员发展人数,壁球等级运动员发展人数,定向等级运动员发展人数,射击等级运动员发展人数,射箭等级运动员发展人数,帆船等级运动员发展人数,手球等级运动员发展人数,技巧等级运动员发展人数,拔河等级运动员发展人数,拳击等级运动员发展人数,排球等级运动员发展人数,掷球等级运动员发展人数,摩托艇等级运动员发展人数,摩托车等级运动员发展人数,救生等级运动员发展人数,曲棍球等级运动员发展人数,柔道等级运动员发展人数,桥牌等级运动员发展人数,棒球等级运动员发展人数,橄榄球等级运动员发展人数,武术等级运动员发展人数,毽球等级运动员发展人数,水球等级运动员发展人数,汽车等级运动员发展人数,沙滩排球等级运动员发展人数,游泳等级运动员发展人数,滑水等级运动员发展人数,滑翔等级运动员发展人数,潜水等级运动员发展人数,热气球等级运动员发展人数,现代五项等级运动员发展人数,田径等级运动员发展人数,电子竞技等级运动员发展人数,登山等级运动员发展人数,皮划艇等级运动员发展人数,短道速滑等级运动员发展人数,等级运动员发展人数,篮球等级运动员发展人数,网球等级运动员发展人数,羽毛球等级运动员发展人数,自由式滑雪等级运动员发展人数,自行车等级运动员发展人数,舞龙舞狮等级运动员发展人数,航海模型等级运动员发展人数,航空模型等级运动员发展人数,艺术体操等级运动员发展人数,花样游泳等级运动员发展人数,花样滑冰等级运动员发展人数,藤球等级运动员发展人数,街舞等级运动员发展人数,赛艇等级运动员发展人数,越野滑雪等级运动员发展人数,足球等级运动员发展人数,跆拳道等级运动员发展人数,跳伞等级运动员发展人数,跳台滑雪等级运动员发展人数,跳水等级运动员发展人数,蹦床等级运动员发展人数,蹼泳等级运动员发展人数,车辆模型等级运动员发展人数,轮滑等级运动员发展人数,软式网球等级运动员发展人数,运动飞机等级运动员发展人数,速度滑冰等级运动员发展人数,钓鱼等级运动员发展人数,铁人三项等级运动员发展人数,门球等级运动员发展人数,风筝等级运动员发展人数,飞镖等级运动员发展人数,马术等级运动员发展人数,高尔夫球等级运动员发展人数,高山滑雪等级运动员发展人数,龙舟等级运动员发展人数
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,243.0,504.0,341.0,569.0,2191.0,379.0,36.0,,,943.0,57.0,,2.0,16.0,56.0,664.0,,,531.0,965.0,355.0,315.0,,54.0,1018.0,283.0,273.0,681.0,71.0,6.0,670.0,2525.0,,6.0,1.0,7.0,377.0,1106.0,2.0,300.0,,2518.0,21.0,101.0,,103.0,3085.0,19.0,,,,20.0,8669.0,6.0,19.0,554.0,70.0,46341.0,4746.0,846.0,897.0,6.0,237.0,35.0,145.0,66.0,229.0,69.0,9.0,3.0,2.0,689.0,22.0,4349.0,1874.0,7.0,7.0,321.0,123.0,13.0,20.0,120.0,50.0,,171.0,,19.0,480.0,,15.0,1.0,,23.0,15.0
2011年,33.0,546.0,248.0,336.0,1926.0,295.0,,,,742.0,80.0,,2.0,36.0,92.0,449.0,2.0,,442.0,686.0,362.0,295.0,,,1175.0,187.0,193.0,549.0,88.0,,790.0,2435.0,,21.0,,,380.0,858.0,,335.0,65.0,2962.0,,101.0,,145.0,2492.0,15.0,,,,52.0,5341.0,,35.0,577.0,80.0,38380.0,4722.0,991.0,618.0,2.0,309.0,,36.0,62.0,137.0,61.0,34.0,,,638.0,69.0,2956.0,1484.0,6.0,6.0,309.0,105.0,16.0,19.0,43.0,129.0,,146.0,,6.0,,,,,,28.0,
2012年,26.0,556.0,321.0,461.0,2513.0,245.0,,,,999.0,145.0,,11.0,30.0,118.0,611.0,22.0,,623.0,816.0,490.0,330.0,3.0,,1207.0,219.0,261.0,633.0,85.0,,978.0,2908.0,,13.0,5.0,,303.0,1141.0,,303.0,169.0,3533.0,,81.0,,93.0,2866.0,9.0,,,,47.0,6815.0,,39.0,660.0,47.0,46412.0,5577.0,1064.0,627.0,15.0,355.0,,50.0,60.0,261.0,71.0,25.0,,,879.0,42.0,4124.0,1920.0,10.0,4.0,226.0,82.0,32.0,8.0,30.0,50.0,,114.0,,14.0,,,,1.0,6.0,30.0,
2013年,11.0,563.0,302.0,397.0,2729.0,329.0,,,,293.0,171.0,,3.0,39.0,58.0,450.0,17.0,,748.0,,387.0,236.0,,,1155.0,260.0,117.0,759.0,55.0,,1015.0,3189.0,,12.0,,,310.0,971.0,,291.0,201.0,4314.0,,125.0,,109.0,2865.0,16.0,,,,37.0,8350.0,,36.0,679.0,89.0,51089.0,6719.0,1419.0,725.0,2.0,402.0,,57.0,38.0,88.0,47.0,27.0,,,780.0,44.0,5137.0,1895.0,4.0,,123.0,80.0,38.0,7.0,16.0,33.0,,168.0,,12.0,,,,4.0,6.0,22.0,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
