,专用设备制造业大中型工业企业亏损企业单位数,交通运输设备制造业大中型工业企业亏损企业单位数,仪器仪表及文化办公用机械制造业大中型工业企业亏损企业单位数,其他矿采选业大中型工业企业亏损企业单位数,其它制造业大中型工业企业亏损企业单位数,化学原料及化学制品制造业大中型工业企业亏损企业单位数,化学纤维制造业大中型工业企业亏损企业单位数,医药制造业大中型工业企业亏损企业单位数,印刷业、记录媒介的复制大中型工业企业亏损企业单位数,塑料制品业大中型工业企业亏损企业单位数,大中型工业企业亏损企业单位数,家具制造业大中型工业企业亏损企业单位数,文教体育用品制造业大中型工业企业亏损企业单位数,普通机械制造业大中型工业企业亏损企业单位数,有色金属冶炼及压延加工业大中型工业企业亏损企业单位数,有色金属矿采选业大中型工业企业亏损企业单位数,服装及其他纤维制品制造业大中型工业企业亏损企业单位数,木材加工及竹、藤、棕、草制品业大中型工业企业亏损企业单位数,木材及竹材采运业大中型工业企业亏损企业单位数,橡胶制品业大中型工业企业亏损企业单位数,烟草加工业大中型工业企业亏损企业单位数,煤气生产和供应业大中型工业企业亏损企业单位数,煤炭采选业大中型工业企业亏损企业单位数,电力、蒸汽、热水的生产和供应业大中型工业企业亏损企业单位数,电子及通信设备制造业大中型工业企业亏损企业单位数,电气机械及器材制造业大中型工业企业亏损企业单位数,皮革、毛皮、羽绒及其制品业大中型工业企业亏损企业单位数,石油加工及炼焦业大中型工业企业亏损企业单位数,石油和天然气开采业大中型工业企业亏损企业单位数,纺织业大中型工业企业亏损企业单位数,自来水的生产和供应业大中型工业企业亏损企业单位数,造纸及纸制品业大中型工业企业亏损企业单位数,金属制品业大中型工业企业亏损企业单位数,非金属矿物制造业大中型工业企业亏损企业单位数,非金属矿采选业大中型工业企业亏损企业单位数,食品制造业大中型工业企业亏损企业单位数,食品加工业大中型工业企业亏损企业单位数,饮料制造业大中型工业企业亏损企业单位数,黑色金属冶炼及压延加工业大中型工业企业亏损企业单位数,黑色金属矿采选业大中型工业企业亏损企业单位数
2000年,358.0,387.0,90.0,,48.0,464.0,59.0,121.0,82.0,199.0,5823.0,15.0,21.0,453.0,94.0,43.0,80.0,55.0,39.0,88.0,22.0,51.0,101.0,131.0,201.0,285.0,55.0,38.0,3.0,451.0,54.0,161.0,200.0,474.0,46.0,156.0,329.0,188.0,105.0,15.0
2001年,396.0,410.0,112.0,,50.0,485.0,89.0,166.0,107.0,200.0,6717.0,19.0,33.0,510.0,108.0,50.0,105.0,64.0,35.0,89.0,43.0,57.0,77.0,173.0,303.0,323.0,58.0,54.0,1.0,575.0,72.0,194.0,214.0,558.0,39.0,184.0,363.0,233.0,100.0,11.0
2002年,369.0,368.0,109.0,,54.0,502.0,81.0,165.0,109.0,238.0,6656.0,22.0,34.0,484.0,103.0,40.0,107.0,70.0,29.0,72.0,31.0,52.0,58.0,201.0,326.0,327.0,59.0,52.0,3.0,548.0,77.0,170.0,225.0,572.0,42.0,180.0,389.0,246.0,90.0,12.0
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
