,专用设备制造业大中型工业企业财务费用,交通运输设备制造业大中型工业企业财务费用,仪器仪表及文化办公用机械制造业大中型工业企业财务费用,其他矿采选业大中型工业企业财务费用,其它制造业大中型工业企业财务费用,化学原料及化学制品制造业大中型工业企业财务费用,化学纤维制造业大中型工业企业财务费用,医药制造业大中型工业企业财务费用,印刷业、记录媒介的复制大中型工业企业财务费用,塑料制品业大中型工业企业财务费用,大中型工业企业财务费用,家具制造业大中型工业企业财务费用,文教体育用品制造业大中型工业企业财务费用,普通机械制造业大中型工业企业财务费用,有色金属冶炼及压延加工业大中型工业企业财务费用,有色金属矿采选业大中型工业企业财务费用,服装及其他纤维制品制造业大中型工业企业财务费用,木材加工及竹、藤、棕、草制品业大中型工业企业财务费用,木材及竹材采运业大中型工业企业财务费用,橡胶制品业大中型工业企业财务费用,烟草加工业大中型工业企业财务费用,煤气生产和供应业大中型工业企业财务费用,煤炭采选业大中型工业企业财务费用,电力、蒸汽、热水的生产和供应业大中型工业企业财务费用,电子及通信设备制造业大中型工业企业财务费用,电气机械及器材制造业大中型工业企业财务费用,皮革、毛皮、羽绒及其制品业大中型工业企业财务费用,石油加工及炼焦业大中型工业企业财务费用,石油和天然气开采业大中型工业企业财务费用,纺织业大中型工业企业财务费用,自来水的生产和供应业大中型工业企业财务费用,造纸及纸制品业大中型工业企业财务费用,金属制品业大中型工业企业财务费用,非金属矿物制造业大中型工业企业财务费用,非金属矿采选业大中型工业企业财务费用,食品制造业大中型工业企业财务费用,食品加工业大中型工业企业财务费用,饮料制造业大中型工业企业财务费用,黑色金属冶炼及压延加工业大中型工业企业财务费用,黑色金属矿采选业大中型工业企业财务费用
2001年,29.13532,85.74551,7.22824,0.00048,2.98784,98.1287,19.79396,30.96596,5.50904,16.76211,1342.13504,1.62041,2.23755,47.87745,43.29418,5.79304,8.90537,6.24257,3.65928,15.07802,26.69131,1.65309,35.30753,301.58317,64.33559,55.47108,5.54003,48.3035,25.31879,60.54745,4.83948,35.71403,18.29274,52.9133,4.4197,14.21029,30.36421,20.94368,92.4355,1.72937
2002年,28.33594,81.50793,7.04324,0.00021,2.56586,104.21202,20.83127,33.74736,5.78286,15.82742,1423.81298,1.43137,2.18268,45.94681,46.23063,6.45043,8.2697,6.60955,3.90685,14.1843,25.58807,2.57066,47.90953,333.98861,75.69828,49.43088,5.19692,53.57274,24.51556,57.92386,6.77576,39.5864,16.64429,51.83857,5.30874,18.93117,31.78101,21.85888,107.31882,1.62109
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
