,专用设备制造业大中型工业企业本年应交增值税,交通运输设备制造业大中型工业企业本年应交增值税,仪器仪表及文化办公用机械制造业大中型工业企业本年应交增值税,其他矿采选业大中型工业企业本年应交增值税,其它制造业大中型工业企业本年应交增值税,化学原料及化学制品制造业大中型工业企业本年应交增值税,化学纤维制造业大中型工业企业本年应交增值税,医药制造业大中型工业企业本年应交增值税,印刷业、记录媒介的复制大中型工业企业本年应交增值税,塑料制品业大中型工业企业本年应交增值税,大中型工业企业本年应交增值税,家具制造业大中型工业企业本年应交增值税,文教体育用品制造业大中型工业企业本年应交增值税,普通机械制造业大中型工业企业本年应交增值税,有色金属冶炼及压延加工业大中型工业企业本年应交增值税,有色金属矿采选业大中型工业企业本年应交增值税,服装及其他纤维制品制造业大中型工业企业本年应交增值税,木材加工及竹、藤、棕、草制品业大中型工业企业本年应交增值税,木材及竹材采运业大中型工业企业本年应交增值税,橡胶制品业大中型工业企业本年应交增值税,烟草加工业大中型工业企业本年应交增值税,煤气生产和供应业大中型工业企业本年应交增值税,煤炭采选业大中型工业企业本年应交增值税,电力、蒸汽、热水的生产和供应业大中型工业企业本年应交增值税,电子及通信设备制造业大中型工业企业本年应交增值税,电气机械及器材制造业大中型工业企业本年应交增值税,皮革、毛皮、羽绒及其制品业大中型工业企业本年应交增值税,石油加工及炼焦业大中型工业企业本年应交增值税,石油和天然气开采业大中型工业企业本年应交增值税,纺织业大中型工业企业本年应交增值税,自来水的生产和供应业大中型工业企业本年应交增值税,造纸及纸制品业大中型工业企业本年应交增值税,金属制品业大中型工业企业本年应交增值税,非金属矿物制造业大中型工业企业本年应交增值税,非金属矿采选业大中型工业企业本年应交增值税,食品制造业大中型工业企业本年应交增值税,食品加工业大中型工业企业本年应交增值税,饮料制造业大中型工业企业本年应交增值税,黑色金属冶炼及压延加工业大中型工业企业本年应交增值税,黑色金属矿采选业大中型工业企业本年应交增值税
2000年,41.52029,159.01653,11.63774,0.0006,5.52062,139.02498,33.47125,79.18903,15.04624,17.35179,2566.15,2.16269,3.64226,71.3251,62.97507,6.81066,13.17802,7.27426,1.89939,15.20846,134.36399,5.08681,78.80515,432.06459,112.31099,89.90175,6.98953,98.47483,295.39721,90.05257,12.57049,33.50974,21.29089,78.20432,7.63578,35.65761,33.50099,83.75601,222.86085,3.27738
2001年,42.39438,189.53862,12.90488,0.00011,8.26893,156.44802,25.06859,94.42575,19.83244,22.05658,2843.54,3.14929,5.31949,76.01034,61.14905,6.27211,18.59392,6.91523,1.50491,19.21453,169.71559,6.68713,98.93215,465.33541,171.24348,101.77187,10.2282,128.08988,239.22884,91.07437,12.56898,43.30794,26.40646,84.28505,8.27283,42.53302,38.9341,88.1256,241.43059,3.85908
2002年,47.64546,246.2158,11.82456,,5.3406,175.25992,25.01192,106.20667,19.92268,24.5719,3109.76,2.57684,4.19719,87.18663,57.41282,6.74434,18.11095,7.31661,1.21378,21.11216,204.21299,7.23845,114.77981,543.29979,138.69108,104.21763,8.06539,143.24655,223.08922,84.36759,12.62943,50.46846,27.34725,89.52556,8.56921,45.39403,38.75258,96.33219,293.46808,4.56754
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
