,专用设备制造业大中型工业企业利润总额,交通运输设备制造业大中型工业企业利润总额,仪器仪表及文化办公用机械制造业大中型工业企业利润总额,其他矿采选业大中型工业企业利润总额,其它制造业大中型工业企业利润总额,化学原料及化学制品制造业大中型工业企业利润总额,化学纤维制造业大中型工业企业利润总额,医药制造业大中型工业企业利润总额,印刷业、记录媒介的复制大中型工业企业利润总额,塑料制品业大中型工业企业利润总额,大中型工业企业利润总额,家具制造业大中型工业企业利润总额,文教体育用品制造业大中型工业企业利润总额,普通机械制造业大中型工业企业利润总额,有色金属冶炼及压延加工业大中型工业企业利润总额,有色金属矿采选业大中型工业企业利润总额,服装及其他纤维制品制造业大中型工业企业利润总额,木材加工及竹、藤、棕、草制品业大中型工业企业利润总额,木材及竹材采运业大中型工业企业利润总额,橡胶制品业大中型工业企业利润总额,烟草加工业大中型工业企业利润总额,煤气生产和供应业大中型工业企业利润总额,煤炭采选业大中型工业企业利润总额,电力、蒸汽、热水的生产和供应业大中型工业企业利润总额,电子及通信设备制造业大中型工业企业利润总额,电气机械及器材制造业大中型工业企业利润总额,皮革、毛皮、羽绒及其制品业大中型工业企业利润总额,石油加工及炼焦业大中型工业企业利润总额,石油和天然气开采业大中型工业企业利润总额,纺织业大中型工业企业利润总额,自来水的生产和供应业大中型工业企业利润总额,造纸及纸制品业大中型工业企业利润总额,金属制品业大中型工业企业利润总额,非金属矿物制造业大中型工业企业利润总额,非金属矿采选业大中型工业企业利润总额,食品制造业大中型工业企业利润总额,食品加工业大中型工业企业利润总额,饮料制造业大中型工业企业利润总额,黑色金属冶炼及压延加工业大中型工业企业利润总额,黑色金属矿采选业大中型工业企业利润总额
2001年,28.09692,242.12112,25.09061,,13.64989,69.1969,15.91331,118.9161,32.94733,36.06499,3440.56,4.56604,8.61856,52.47929,53.29893,9.86877,39.87352,3.80792,2.41939,12.81133,177.14561,-1.34302,28.71027,480.7416,369.16257,125.47639,8.16262,-22.60235,970.23399,59.46314,5.68387,31.81599,32.20624,48.19233,3.12119,37.34302,49.2299,97.29431,177.1811,2.30504
2002年,53.2383,411.86574,24.2995,,8.55027,146.71096,23.51311,144.77634,32.56184,44.44974,4008.97,4.32946,10.43662,91.15344,57.10908,9.04316,39.86551,3.80086,2.85679,20.46414,208.23081,-1.50861,53.87864,508.24572,327.55137,155.84411,12.04062,29.22491,902.49098,76.57763,3.85067,58.95493,35.69307,51.07755,2.82229,45.97046,46.05843,103.64625,259.25126,2.7236
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
