,专用设备制造业大中型工业企业出口交货值,交通运输设备制造业大中型工业企业出口交货值,仪器仪表及文化办公用机械制造业大中型工业企业出口交货值,其他矿采选业大中型工业企业出口交货值,其它制造业大中型工业企业出口交货值,化学原料及化学制品制造业大中型工业企业出口交货值,化学纤维制造业大中型工业企业出口交货值,医药制造业大中型工业企业出口交货值,印刷业、记录媒介的复制大中型工业企业出口交货值,塑料制品业大中型工业企业出口交货值,大中型工业企业出口交货值,家具制造业大中型工业企业出口交货值,文教体育用品制造业大中型工业企业出口交货值,普通机械制造业大中型工业企业出口交货值,有色金属冶炼及压延加工业大中型工业企业出口交货值,有色金属矿采选业大中型工业企业出口交货值,服装及其他纤维制品制造业大中型工业企业出口交货值,木材加工及竹、藤、棕、草制品业大中型工业企业出口交货值,木材及竹材采运业大中型工业企业出口交货值,橡胶制品业大中型工业企业出口交货值,烟草加工业大中型工业企业出口交货值,煤气生产和供应业大中型工业企业出口交货值,煤炭采选业大中型工业企业出口交货值,电力、蒸汽、热水的生产和供应业大中型工业企业出口交货值,电子及通信设备制造业大中型工业企业出口交货值,电气机械及器材制造业大中型工业企业出口交货值,皮革、毛皮、羽绒及其制品业大中型工业企业出口交货值,石油加工及炼焦业大中型工业企业出口交货值,石油和天然气开采业大中型工业企业出口交货值,纺织业大中型工业企业出口交货值,自来水的生产和供应业大中型工业企业出口交货值,造纸及纸制品业大中型工业企业出口交货值,金属制品业大中型工业企业出口交货值,非金属矿物制造业大中型工业企业出口交货值,非金属矿采选业大中型工业企业出口交货值,食品制造业大中型工业企业出口交货值,食品加工业大中型工业企业出口交货值,饮料制造业大中型工业企业出口交货值,黑色金属冶炼及压延加工业大中型工业企业出口交货值,黑色金属矿采选业大中型工业企业出口交货值
2001年,123.51203,435.43968,292.92713,,100.10006,325.41287,40.6307,123.24532,14.25154,151.22126,8398.93526,32.57071,104.12224,268.48945,174.84618,14.42362,321.74194,26.99153,0.78407,116.20085,12.55325,0.2301,113.01388,54.39636,2632.15609,555.08354,271.59066,158.65827,145.93083,824.58212,0.51722,50.70152,232.87518,186.49951,11.35004,59.69062,187.82336,30.11823,191.78394,0.16142
2002年,112.32652,499.53856,318.46516,,124.07421,378.25595,50.41237,131.71618,16.0292,215.37257,10453.40297,42.88555,126.69589,291.76343,192.43002,15.21029,344.08071,35.09054,1.14446,127.53396,16.06552,2.73578,129.40616,54.67827,3998.26115,661.62862,287.11251,200.24271,139.12565,854.20294,0.51776,63.89939,304.71522,201.03284,15.81437,74.76614,191.53788,28.90014,185.72549,0.33086
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
