,专用设备制造业大中型工业企业国家资本金,交通运输设备制造业大中型工业企业国家资本金,仪器仪表及文化办公用机械制造业大中型工业企业国家资本金,其他矿采选业大中型工业企业国家资本金,其它制造业大中型工业企业国家资本金,化学原料及化学制品制造业大中型工业企业国家资本金,化学纤维制造业大中型工业企业国家资本金,医药制造业大中型工业企业国家资本金,印刷业、记录媒介的复制大中型工业企业国家资本金,塑料制品业大中型工业企业国家资本金,大中型工业企业国家资本金,家具制造业大中型工业企业国家资本金,文教体育用品制造业大中型工业企业国家资本金,普通机械制造业大中型工业企业国家资本金,有色金属冶炼及压延加工业大中型工业企业国家资本金,有色金属矿采选业大中型工业企业国家资本金,服装及其他纤维制品制造业大中型工业企业国家资本金,木材加工及竹、藤、棕、草制品业大中型工业企业国家资本金,木材及竹材采运业大中型工业企业国家资本金,橡胶制品业大中型工业企业国家资本金,烟草加工业大中型工业企业国家资本金,煤气生产和供应业大中型工业企业国家资本金,煤炭采选业大中型工业企业国家资本金,电力、蒸汽、热水的生产和供应业大中型工业企业国家资本金,电子及通信设备制造业大中型工业企业国家资本金,电气机械及器材制造业大中型工业企业国家资本金,皮革、毛皮、羽绒及其制品业大中型工业企业国家资本金,石油加工及炼焦业大中型工业企业国家资本金,石油和天然气开采业大中型工业企业国家资本金,纺织业大中型工业企业国家资本金,自来水的生产和供应业大中型工业企业国家资本金,造纸及纸制品业大中型工业企业国家资本金,金属制品业大中型工业企业国家资本金,非金属矿物制造业大中型工业企业国家资本金,非金属矿采选业大中型工业企业国家资本金,食品制造业大中型工业企业国家资本金,食品加工业大中型工业企业国家资本金,饮料制造业大中型工业企业国家资本金,黑色金属冶炼及压延加工业大中型工业企业国家资本金,黑色金属矿采选业大中型工业企业国家资本金
2001年,239.60671,609.13916,50.2931,0.08528,5.67909,699.09374,102.02384,156.98945,89.62622,58.65999,11868.83302,5.46923,7.36647,291.1046,330.63411,57.69539,20.36879,25.9527,73.28373,77.46398,290.75435,215.8657,902.56567,1669.3953,297.62238,192.57727,9.7932,242.74665,1527.83889,293.75086,309.39677,169.66673,65.94373,328.24573,129.37796,56.27369,136.22856,180.15531,1827.90065,94.26837
2002年,254.62651,723.64413,52.24558,0.08528,4.62183,668.24107,95.23406,201.28824,74.1362,55.13406,11303.68587,4.95246,6.59354,293.48609,333.5428,57.26974,17.42243,25.92823,70.63875,65.27669,295.28535,216.80146,1179.86677,1669.5741,290.68969,162.60179,6.95664,324.29931,911.17938,290.22942,365.64406,183.24868,69.51711,340.35143,107.95839,57.73199,128.98343,175.42155,1392.36861,92.46419
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
