,专用设备制造业大中型工业企业固定资产原价合计,交通运输设备制造业大中型工业企业固定资产原价合计,仪器仪表及文化办公用机械制造业大中型工业企业固定资产原价合计,其他矿采选业大中型工业企业固定资产原价合计,其它制造业大中型工业企业固定资产原价合计,化学原料及化学制品制造业大中型工业企业固定资产原价合计,化学纤维制造业大中型工业企业固定资产原价合计,医药制造业大中型工业企业固定资产原价合计,印刷业、记录媒介的复制大中型工业企业固定资产原价合计,塑料制品业大中型工业企业固定资产原价合计,大中型工业企业固定资产原价合计,家具制造业大中型工业企业固定资产原价合计,文教体育用品制造业大中型工业企业固定资产原价合计,普通机械制造业大中型工业企业固定资产原价合计,有色金属冶炼及压延加工业大中型工业企业固定资产原价合计,有色金属矿采选业大中型工业企业固定资产原价合计,服装及其他纤维制品制造业大中型工业企业固定资产原价合计,木材加工及竹、藤、棕、草制品业大中型工业企业固定资产原价合计,木材及竹材采运业大中型工业企业固定资产原价合计,橡胶制品业大中型工业企业固定资产原价合计,烟草加工业大中型工业企业固定资产原价合计,煤气生产和供应业大中型工业企业固定资产原价合计,煤炭采选业大中型工业企业固定资产原价合计,电力、蒸汽、热水的生产和供应业大中型工业企业固定资产原价合计,电子及通信设备制造业大中型工业企业固定资产原价合计,电气机械及器材制造业大中型工业企业固定资产原价合计,皮革、毛皮、羽绒及其制品业大中型工业企业固定资产原价合计,石油加工及炼焦业大中型工业企业固定资产原价合计,石油和天然气开采业大中型工业企业固定资产原价合计,纺织业大中型工业企业固定资产原价合计,自来水的生产和供应业大中型工业企业固定资产原价合计,造纸及纸制品业大中型工业企业固定资产原价合计,金属制品业大中型工业企业固定资产原价合计,非金属矿物制造业大中型工业企业固定资产原价合计,非金属矿采选业大中型工业企业固定资产原价合计,食品制造业大中型工业企业固定资产原价合计,食品加工业大中型工业企业固定资产原价合计,饮料制造业大中型工业企业固定资产原价合计,黑色金属冶炼及压延加工业大中型工业企业固定资产原价合计,黑色金属矿采选业大中型工业企业固定资产原价合计
2000年,1025.60664,2911.52052,238.82437,0.1652,77.65921,4229.82858,1129.12009,726.69165,301.40502,464.23638,58348.1498,47.58279,61.88019,1512.73839,1457.93029,234.50952,229.09017,188.08912,215.01887,362.19976,823.65048,352.19647,2579.98284,12511.53816,1797.91581,1303.84257,126.01734,2877.16459,5122.789,2067.47387,890.60078,786.16699,441.23462,2041.28863,309.39892,491.7486,853.45247,1053.99426,5961.24317,106.8327
2001年,1021.9328,3298.98633,290.86909,0.1652,105.64394,4787.58487,992.10977,870.86809,359.25085,566.70425,66145.71458,57.39172,76.16,1563.07193,1588.45341,245.67682,282.90361,221.98183,205.22064,440.81338,890.36077,354.70519,2844.58934,14851.09522,2446.61263,1500.64366,151.40317,3233.35396,5792.22967,2192.25264,996.20882,1164.16267,574.71411,2243.14641,335.63368,571.86778,905.16861,1146.63206,6462.47144,107.18858
2002年,1019.38582,3501.50544,306.04316,0.1652,107.71853,5190.64126,980.793,994.39299,385.17629,643.81296,71606.08205,63.59828,90.91073,1627.84459,1750.35184,242.20067,307.15517,235.05244,211.89762,461.53591,948.57706,389.02356,3338.15906,16712.4356,2882.77733,1544.48605,153.96725,3280.01245,6246.51464,2250.14066,1146.66208,1245.19779,580.96067,2383.64838,344.59494,670.2494,953.39304,1229.95182,6637.77392,128.54671
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
