,专用设备制造业大中型工业企业应交所得税,交通运输设备制造业大中型工业企业应交所得税,仪器仪表及文化办公用机械制造业大中型工业企业应交所得税,其他矿采选业大中型工业企业应交所得税,其它制造业大中型工业企业应交所得税,化学原料及化学制品制造业大中型工业企业应交所得税,化学纤维制造业大中型工业企业应交所得税,医药制造业大中型工业企业应交所得税,印刷业、记录媒介的复制大中型工业企业应交所得税,塑料制品业大中型工业企业应交所得税,大中型工业企业应交所得税,家具制造业大中型工业企业应交所得税,文教体育用品制造业大中型工业企业应交所得税,普通机械制造业大中型工业企业应交所得税,有色金属冶炼及压延加工业大中型工业企业应交所得税,有色金属矿采选业大中型工业企业应交所得税,服装及其他纤维制品制造业大中型工业企业应交所得税,木材加工及竹、藤、棕、草制品业大中型工业企业应交所得税,木材及竹材采运业大中型工业企业应交所得税,橡胶制品业大中型工业企业应交所得税,烟草加工业大中型工业企业应交所得税,煤气生产和供应业大中型工业企业应交所得税,煤炭采选业大中型工业企业应交所得税,电力、蒸汽、热水的生产和供应业大中型工业企业应交所得税,电子及通信设备制造业大中型工业企业应交所得税,电气机械及器材制造业大中型工业企业应交所得税,皮革、毛皮、羽绒及其制品业大中型工业企业应交所得税,石油加工及炼焦业大中型工业企业应交所得税,石油和天然气开采业大中型工业企业应交所得税,纺织业大中型工业企业应交所得税,自来水的生产和供应业大中型工业企业应交所得税,造纸及纸制品业大中型工业企业应交所得税,金属制品业大中型工业企业应交所得税,非金属矿物制造业大中型工业企业应交所得税,非金属矿采选业大中型工业企业应交所得税,食品制造业大中型工业企业应交所得税,食品加工业大中型工业企业应交所得税,饮料制造业大中型工业企业应交所得税,黑色金属冶炼及压延加工业大中型工业企业应交所得税,黑色金属矿采选业大中型工业企业应交所得税
2001年,11.22946,41.64379,4.47761,,2.50103,35.27724,6.90093,23.92369,7.67836,5.55862,632.15171,0.60431,1.85869,14.9842,13.06558,3.16978,8.00264,1.24009,0.39358,3.39302,51.09109,0.79494,17.63038,66.35199,37.06211,25.0285,2.28671,7.48668,86.05954,17.75553,2.58168,10.44336,6.39752,15.7086,1.01199,7.78271,11.35057,21.19276,57.38222,0.47642
2002年,14.96937,59.70926,3.88796,,1.79448,38.22705,6.96644,27.95138,7.69936,7.27332,758.18588,0.75666,2.25879,19.96227,11.34765,3.46399,7.09409,1.20318,0.68697,4.15813,61.35022,1.23397,26.01288,76.98641,43.59621,26.57062,2.64971,15.93946,92.23147,20.20243,2.23355,12.87399,7.7459,16.10003,1.27095,11.79746,12.49694,25.26241,81.53991,0.34615
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
