,专用设备制造业大中型工业企业流动资产合计,交通运输设备制造业大中型工业企业流动资产合计,仪器仪表及文化办公用机械制造业大中型工业企业流动资产合计,其他矿采选业大中型工业企业流动资产合计,其它制造业大中型工业企业流动资产合计,化学原料及化学制品制造业大中型工业企业流动资产合计,化学纤维制造业大中型工业企业流动资产合计,医药制造业大中型工业企业流动资产合计,印刷业、记录媒介的复制大中型工业企业流动资产合计,塑料制品业大中型工业企业流动资产合计,大中型工业企业流动资产合计,家具制造业大中型工业企业流动资产合计,文教体育用品制造业大中型工业企业流动资产合计,普通机械制造业大中型工业企业流动资产合计,有色金属冶炼及压延加工业大中型工业企业流动资产合计,有色金属矿采选业大中型工业企业流动资产合计,服装及其他纤维制品制造业大中型工业企业流动资产合计,木材加工及竹、藤、棕、草制品业大中型工业企业流动资产合计,木材及竹材采运业大中型工业企业流动资产合计,橡胶制品业大中型工业企业流动资产合计,烟草加工业大中型工业企业流动资产合计,煤气生产和供应业大中型工业企业流动资产合计,煤炭采选业大中型工业企业流动资产合计,电力、蒸汽、热水的生产和供应业大中型工业企业流动资产合计,电子及通信设备制造业大中型工业企业流动资产合计,电气机械及器材制造业大中型工业企业流动资产合计,皮革、毛皮、羽绒及其制品业大中型工业企业流动资产合计,石油加工及炼焦业大中型工业企业流动资产合计,石油和天然气开采业大中型工业企业流动资产合计,纺织业大中型工业企业流动资产合计,自来水的生产和供应业大中型工业企业流动资产合计,造纸及纸制品业大中型工业企业流动资产合计,金属制品业大中型工业企业流动资产合计,非金属矿物制造业大中型工业企业流动资产合计,非金属矿采选业大中型工业企业流动资产合计,食品制造业大中型工业企业流动资产合计,食品加工业大中型工业企业流动资产合计,饮料制造业大中型工业企业流动资产合计,黑色金属冶炼及压延加工业大中型工业企业流动资产合计,黑色金属矿采选业大中型工业企业流动资产合计
2000年,1229.91664,3415.71557,310.90318,0.16361,97.38141,2270.6524,481.181,984.20117,192.01996,370.62313,35282.86,43.80449,87.70701,1807.0977,882.38022,110.04634,328.00541,104.70531,132.29277,339.12723,828.88257,142.95812,1145.26692,3630.63541,3151.29036,1843.17841,182.77969,1011.81533,875.19255,1561.36154,232.8146,558.83741,487.94453,1201.01574,151.49602,380.59233,664.80893,906.65914,2783.08152,64.68564
2001年,1187.79758,3939.9341,386.27111,0.16019,126.03243,2387.82627,413.91918,1207.0744,232.60662,445.19477,39102.67,59.1294,91.54217,1890.08675,1006.69948,110.98497,388.17802,116.89126,134.64857,371.13776,1313.3077,153.32124,1258.76512,3694.28454,4109.33953,2112.72304,214.19977,978.12713,835.34766,1580.00426,254.66841,664.06109,559.83756,1353.58278,154.57311,425.95341,736.7234,978.78956,2894.54328,64.5396
2002年,1293.44454,4455.84685,405.55245,0.15744,132.65671,2510.48994,410.77098,1287.2707,240.41889,499.42475,41911.77,57.20287,107.82737,2040.80888,1020.26957,108.97055,388.73664,130.94428,135.34429,386.04578,1415.618,175.33929,1413.28864,3886.69187,4560.47465,2276.74155,233.21598,983.3475,850.20477,1623.64873,278.68288,698.36235,619.18347,1394.46284,160.47033,517.51974,837.31287,1022.93256,3004.01648,72.72757
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
