,专用设备制造业大中型工业企业工业销售产值(现价),交通运输设备制造业大中型工业企业工业销售产值(现价),仪器仪表及文化办公用机械制造业大中型工业企业工业销售产值(现价),其他矿采选业大中型工业企业工业销售产值(现价),其它制造业大中型工业企业工业销售产值(现价),化学原料及化学制品制造业大中型工业企业工业销售产值(现价),化学纤维制造业大中型工业企业工业销售产值(现价),医药制造业大中型工业企业工业销售产值(现价),印刷业、记录媒介的复制大中型工业企业工业销售产值(现价),塑料制品业大中型工业企业工业销售产值(现价),大中型工业企业工业销售产值(现价),家具制造业大中型工业企业工业销售产值(现价),文教体育用品制造业大中型工业企业工业销售产值(现价),普通机械制造业大中型工业企业工业销售产值(现价),有色金属冶炼及压延加工业大中型工业企业工业销售产值(现价),有色金属矿采选业大中型工业企业工业销售产值(现价),服装及其他纤维制品制造业大中型工业企业工业销售产值(现价),木材加工及竹、藤、棕、草制品业大中型工业企业工业销售产值(现价),木材及竹材采运业大中型工业企业工业销售产值(现价),橡胶制品业大中型工业企业工业销售产值(现价),烟草加工业大中型工业企业工业销售产值(现价),煤气生产和供应业大中型工业企业工业销售产值(现价),煤炭采选业大中型工业企业工业销售产值(现价),电力、蒸汽、热水的生产和供应业大中型工业企业工业销售产值(现价),电子及通信设备制造业大中型工业企业工业销售产值(现价),电气机械及器材制造业大中型工业企业工业销售产值(现价),皮革、毛皮、羽绒及其制品业大中型工业企业工业销售产值(现价),石油加工及炼焦业大中型工业企业工业销售产值(现价),石油和天然气开采业大中型工业企业工业销售产值(现价),纺织业大中型工业企业工业销售产值(现价),自来水的生产和供应业大中型工业企业工业销售产值(现价),造纸及纸制品业大中型工业企业工业销售产值(现价),金属制品业大中型工业企业工业销售产值(现价),非金属矿物制造业大中型工业企业工业销售产值(现价),非金属矿采选业大中型工业企业工业销售产值(现价),食品制造业大中型工业企业工业销售产值(现价),食品加工业大中型工业企业工业销售产值(现价),饮料制造业大中型工业企业工业销售产值(现价),黑色金属冶炼及压延加工业大中型工业企业工业销售产值(现价),黑色金属矿采选业大中型工业企业工业销售产值(现价)
2000年,1168.60086,3947.94331,385.63412,0.03941,157.52662,3357.77645,917.60752,1054.2171,225.98606,530.02971,48328.18851,53.3776,132.37151,1522.43816,1315.2604,151.64093,487.07773,168.81767,94.31147,426.8792,1313.29431,126.67332,947.02875,3458.3661,4336.54816,2481.73562,302.68025,3766.4273,3066.2283,2387.65735,197.84552,649.70298,634.40424,1292.26314,101.22468,622.50056,1367.27774,1198.36965,3702.07494,56.81072
2001年,1196.23552,4928.83645,503.28251,0.04487,219.79613,3701.29237,743.58177,1246.38202,296.73193,664.59158,56469.7235,71.21343,166.08786,1732.8286,1434.32021,151.79157,640.57759,196.24788,86.55216,516.85762,1561.85613,126.86248,1145.33772,3888.08592,6695.23233,3009.63243,399.77844,3968.80593,2708.41412,2485.65434,208.47845,873.36866,795.37121,1510.93887,113.07411,790.75431,1659.18151,1271.70442,4480.09108,60.52722
2002年,1414.08969,6375.3512,592.86556,0.02661,220.07041,4153.81805,794.45706,1454.42211,321.59211,779.95017,64511.70619,76.517,189.08533,2103.09409,1503.25398,167.74386,681.84537,217.85702,84.71616,582.48441,1920.88451,147.38984,1443.4253,4534.84584,8133.15767,3224.73384,428.04263,4087.44581,2699.36025,2694.88825,224.40363,985.54222,908.52313,1634.66824,128.46852,968.84049,1879.36437,1379.30924,5063.60606,67.54917
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
