,专用设备制造业大中型工业企业个人资本金,交通运输设备制造业大中型工业企业个人资本金,仪器仪表及文化办公用机械制造业大中型工业企业个人资本金,其他矿采选业大中型工业企业个人资本金,其它制造业大中型工业企业个人资本金,化学原料及化学制品制造业大中型工业企业个人资本金,化学纤维制造业大中型工业企业个人资本金,医药制造业大中型工业企业个人资本金,印刷业、记录媒介的复制大中型工业企业个人资本金,塑料制品业大中型工业企业个人资本金,大中型工业企业个人资本金,家具制造业大中型工业企业个人资本金,文教体育用品制造业大中型工业企业个人资本金,普通机械制造业大中型工业企业个人资本金,有色金属冶炼及压延加工业大中型工业企业个人资本金,有色金属矿采选业大中型工业企业个人资本金,服装及其他纤维制品制造业大中型工业企业个人资本金,木材加工及竹、藤、棕、草制品业大中型工业企业个人资本金,木材及竹材采运业大中型工业企业个人资本金,橡胶制品业大中型工业企业个人资本金,烟草加工业大中型工业企业个人资本金,煤气生产和供应业大中型工业企业个人资本金,煤炭采选业大中型工业企业个人资本金,电力、蒸汽、热水的生产和供应业大中型工业企业个人资本金,电子及通信设备制造业大中型工业企业个人资本金,电气机械及器材制造业大中型工业企业个人资本金,皮革、毛皮、羽绒及其制品业大中型工业企业个人资本金,石油加工及炼焦业大中型工业企业个人资本金,石油和天然气开采业大中型工业企业个人资本金,纺织业大中型工业企业个人资本金,自来水的生产和供应业大中型工业企业个人资本金,造纸及纸制品业大中型工业企业个人资本金,金属制品业大中型工业企业个人资本金,非金属矿物制造业大中型工业企业个人资本金,非金属矿采选业大中型工业企业个人资本金,食品制造业大中型工业企业个人资本金,食品加工业大中型工业企业个人资本金,饮料制造业大中型工业企业个人资本金,黑色金属冶炼及压延加工业大中型工业企业个人资本金,黑色金属矿采选业大中型工业企业个人资本金
2001年,44.5724,66.24244,11.91957,,5.65998,131.77689,36.22071,80.65885,13.91564,15.98537,1188.09317,4.99449,6.03135,66.08174,23.08026,2.27744,29.32736,5.65963,0.001,10.55665,0.14779,1.45136,3.47822,31.95184,67.59203,89.69147,9.17073,17.04317,4.81969,90.18606,2.44215,35.17952,28.04074,84.31137,2.61747,18.14367,34.99768,38.19587,70.82023,2.49034
2002年,53.13989,69.26106,19.81331,,5.3827,138.24811,43.96284,86.65149,12.58617,27.98024,1432.35619,3.57874,6.52525,77.96588,51.94867,1.88027,27.15666,8.26871,,13.75649,0.1478,1.78731,5.35154,39.7524,78.7171,110.26046,14.50516,18.58461,7.75418,109.31183,2.99222,36.85391,37.72168,103.42142,3.77055,28.86196,48.90294,48.03432,84.64962,2.32592
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
