,专用设备制造业大中型工业企业销售费用,交通运输设备制造业大中型工业企业销售费用,仪器仪表及文化办公用机械制造业大中型工业企业销售费用,其他矿采选业大中型工业企业销售费用,其它制造业大中型工业企业销售费用,化学原料及化学制品制造业大中型工业企业销售费用,化学纤维制造业大中型工业企业销售费用,医药制造业大中型工业企业销售费用,印刷业、记录媒介的复制大中型工业企业销售费用,塑料制品业大中型工业企业销售费用,大中型工业企业销售费用,家具制造业大中型工业企业销售费用,文教体育用品制造业大中型工业企业销售费用,普通机械制造业大中型工业企业销售费用,有色金属冶炼及压延加工业大中型工业企业销售费用,有色金属矿采选业大中型工业企业销售费用,服装及其他纤维制品制造业大中型工业企业销售费用,木材加工及竹、藤、棕、草制品业大中型工业企业销售费用,木材及竹材采运业大中型工业企业销售费用,橡胶制品业大中型工业企业销售费用,烟草加工业大中型工业企业销售费用,煤气生产和供应业大中型工业企业销售费用,煤炭采选业大中型工业企业销售费用,电力、蒸汽、热水的生产和供应业大中型工业企业销售费用,电子及通信设备制造业大中型工业企业销售费用,电气机械及器材制造业大中型工业企业销售费用,皮革、毛皮、羽绒及其制品业大中型工业企业销售费用,石油加工及炼焦业大中型工业企业销售费用,石油和天然气开采业大中型工业企业销售费用,纺织业大中型工业企业销售费用,自来水的生产和供应业大中型工业企业销售费用,造纸及纸制品业大中型工业企业销售费用,金属制品业大中型工业企业销售费用,非金属矿物制造业大中型工业企业销售费用,非金属矿采选业大中型工业企业销售费用,食品制造业大中型工业企业销售费用,食品加工业大中型工业企业销售费用,饮料制造业大中型工业企业销售费用,黑色金属冶炼及压延加工业大中型工业企业销售费用,黑色金属矿采选业大中型工业企业销售费用
2001年,45.77474,133.09105,20.30908,0.00266,7.87707,189.01134,10.43059,218.0905,7.34886,21.14806,2202.52404,4.59701,4.75761,76.93108,24.00067,5.07311,25.83891,5.9413,1.56094,21.71528,60.61578,7.91575,109.32466,16.57877,270.20552,225.35243,8.72012,33.41707,26.97383,44.93592,9.05134,36.11932,39.64076,81.73179,12.17923,91.28182,58.10435,175.87442,62.93504,4.08256
2002年,57.70127,187.95172,22.55795,0.00025,6.97464,224.45415,13.21141,252.25649,7.34602,23.65586,2505.09813,4.47183,6.92337,94.38536,27.78847,4.63015,30.88438,9.42078,1.75612,24.45949,64.15351,8.69662,119.98731,17.86574,316.48695,231.83478,8.97024,35.43722,19.83532,46.08515,10.92719,38.43115,38.06222,84.49269,14.19561,115.98516,61.2143,194.15903,70.24878,2.53032
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
