,专用设备制造业大中型工业企业主营业务收入,交通运输设备制造业大中型工业企业主营业务收入,仪器仪表及文化办公用机械制造业大中型工业企业主营业务收入,其他矿采选业大中型工业企业主营业务收入,其它制造业大中型工业企业主营业务收入,化学原料及化学制品制造业大中型工业企业主营业务收入,化学纤维制造业大中型工业企业主营业务收入,医药制造业大中型工业企业主营业务收入,印刷业、记录媒介的复制大中型工业企业主营业务收入,塑料制品业大中型工业企业主营业务收入,大中型工业企业主营业务收入,家具制造业大中型工业企业主营业务收入,文教体育用品制造业大中型工业企业主营业务收入,普通机械制造业大中型工业企业主营业务收入,有色金属冶炼及压延加工业大中型工业企业主营业务收入,有色金属矿采选业大中型工业企业主营业务收入,服装及其他纤维制品制造业大中型工业企业主营业务收入,木材加工及竹、藤、棕、草制品业大中型工业企业主营业务收入,木材及竹材采运业大中型工业企业主营业务收入,橡胶制品业大中型工业企业主营业务收入,烟草加工业大中型工业企业主营业务收入,煤气生产和供应业大中型工业企业主营业务收入,煤炭采选业大中型工业企业主营业务收入,电力、蒸汽、热水的生产和供应业大中型工业企业主营业务收入,电子及通信设备制造业大中型工业企业主营业务收入,电气机械及器材制造业大中型工业企业主营业务收入,皮革、毛皮、羽绒及其制品业大中型工业企业主营业务收入,石油加工及炼焦业大中型工业企业主营业务收入,石油和天然气开采业大中型工业企业主营业务收入,纺织业大中型工业企业主营业务收入,自来水的生产和供应业大中型工业企业主营业务收入,造纸及纸制品业大中型工业企业主营业务收入,金属制品业大中型工业企业主营业务收入,非金属矿物制造业大中型工业企业主营业务收入,非金属矿采选业大中型工业企业主营业务收入,食品制造业大中型工业企业主营业务收入,食品加工业大中型工业企业主营业务收入,饮料制造业大中型工业企业主营业务收入,黑色金属冶炼及压延加工业大中型工业企业主营业务收入,黑色金属矿采选业大中型工业企业主营业务收入
2000年,1120.30048,3900.77198,397.06788,0.01343,143.69404,3278.20411,907.10903,1069.00023,232.22366,538.67646,50120.3,55.38019,136.43607,1493.41852,1309.67818,144.49545,469.63797,169.38595,87.85595,398.81701,1306.38114,170.0796,917.04837,5523.1201,4351.15431,2407.83329,289.13448,3921.73497,2885.90307,2358.99229,191.58644,642.84222,628.55254,1260.36811,103.97833,623.81722,1375.37557,1178.59997,3862.36378,60.45778
2001年,1162.20649,4838.52121,521.54641,0.01124,205.88001,3702.15146,730.36966,1303.75757,295.24683,684.4465,58480.45,73.22409,164.29423,1677.11377,1427.34413,153.03326,620.86556,185.4097,76.15804,475.52041,1648.57264,185.16186,1144.27069,6308.19038,6706.67392,2891.64725,353.76654,4048.10104,2578.9245,2462.07805,201.44378,840.8601,766.61905,1480.46019,115.00401,762.92282,1675.15427,1261.01986,4471.52975,66.3863
2002年,1384.92746,6255.44183,592.53506,0.00054,210.41818,4189.12521,787.10753,1529.45728,312.82017,789.80511,66977.14,78.55569,187.57166,2077.17814,1533.91102,167.19074,666.84622,209.37419,78.69547,537.46596,1894.25408,229.60036,1475.83856,7392.66351,8002.06093,3136.20329,390.86276,4201.0427,2597.97921,2672.33146,220.59867,972.04176,890.53984,1609.10988,133.88319,931.32555,1898.11613,1354.00106,5071.70437,73.29762
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
