,专用设备制造业大中型工业企业流动负债合计,交通运输设备制造业大中型工业企业流动负债合计,仪器仪表及文化办公用机械制造业大中型工业企业流动负债合计,其他矿采选业大中型工业企业流动负债合计,其它制造业大中型工业企业流动负债合计,化学原料及化学制品制造业大中型工业企业流动负债合计,化学纤维制造业大中型工业企业流动负债合计,医药制造业大中型工业企业流动负债合计,印刷业、记录媒介的复制大中型工业企业流动负债合计,塑料制品业大中型工业企业流动负债合计,大中型工业企业流动负债合计,家具制造业大中型工业企业流动负债合计,文教体育用品制造业大中型工业企业流动负债合计,普通机械制造业大中型工业企业流动负债合计,有色金属冶炼及压延加工业大中型工业企业流动负债合计,有色金属矿采选业大中型工业企业流动负债合计,服装及其他纤维制品制造业大中型工业企业流动负债合计,木材加工及竹、藤、棕、草制品业大中型工业企业流动负债合计,木材及竹材采运业大中型工业企业流动负债合计,橡胶制品业大中型工业企业流动负债合计,烟草加工业大中型工业企业流动负债合计,煤气生产和供应业大中型工业企业流动负债合计,煤炭采选业大中型工业企业流动负债合计,电力、蒸汽、热水的生产和供应业大中型工业企业流动负债合计,电子及通信设备制造业大中型工业企业流动负债合计,电气机械及器材制造业大中型工业企业流动负债合计,皮革、毛皮、羽绒及其制品业大中型工业企业流动负债合计,石油加工及炼焦业大中型工业企业流动负债合计,石油和天然气开采业大中型工业企业流动负债合计,纺织业大中型工业企业流动负债合计,自来水的生产和供应业大中型工业企业流动负债合计,造纸及纸制品业大中型工业企业流动负债合计,金属制品业大中型工业企业流动负债合计,非金属矿物制造业大中型工业企业流动负债合计,非金属矿采选业大中型工业企业流动负债合计,食品制造业大中型工业企业流动负债合计,食品加工业大中型工业企业流动负债合计,饮料制造业大中型工业企业流动负债合计,黑色金属冶炼及压延加工业大中型工业企业流动负债合计,黑色金属矿采选业大中型工业企业流动负债合计
2000年,1167.9947,3216.77195,276.75792,0.16217,91.36606,2411.07599,487.58961,827.51937,172.78503,363.65669,33935.96739,43.2556,75.13178,1670.66169,918.89261,126.87184,289.04571,129.2875,180.67403,356.97298,635.07658,133.53491,1131.56553,2921.47578,2480.99073,1664.20197,194.70098,1135.80714,786.24488,1776.20387,185.27119,584.33663,490.76674,1349.37068,162.39894,402.24038,858.0091,895.4854,2909.34619,57.18523
2001年,1153.094,3670.31938,331.53515,0.15875,114.48035,2534.8322,452.45041,1000.6843,214.23142,416.84837,37602.82709,52.32875,71.12457,1747.54707,1042.86675,132.85561,335.56672,141.23992,177.63577,403.36744,984.13218,131.23968,1250.33088,3321.74358,3177.06809,1900.3352,210.93857,1192.62157,801.49771,1772.06667,207.19997,756.26109,558.41216,1477.36286,173.94772,458.26784,882.44828,933.56873,2987.84909,72.8518
2002年,1251.76349,4175.64674,346.07634,0.156,121.89118,2761.10239,461.97324,1125.27674,218.18341,486.54618,40870.31623,50.34535,90.92268,1887.34433,1122.14211,143.11363,347.43091,150.13429,183.32199,396.35264,991.45153,159.89296,1459.07745,3581.25064,3649.8008,2032.36582,212.06719,1145.47384,878.10774,1801.98714,238.14117,828.31162,597.79316,1567.037,184.22781,534.14745,968.17174,1002.28356,3266.81475,82.73318
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
