,专用设备制造业大中型工业企业累计折旧,交通运输设备制造业大中型工业企业累计折旧,仪器仪表及文化办公用机械制造业大中型工业企业累计折旧,其他矿采选业大中型工业企业累计折旧,其它制造业大中型工业企业累计折旧,化学原料及化学制品制造业大中型工业企业累计折旧,化学纤维制造业大中型工业企业累计折旧,医药制造业大中型工业企业累计折旧,印刷业、记录媒介的复制大中型工业企业累计折旧,塑料制品业大中型工业企业累计折旧,大中型工业企业累计折旧,家具制造业大中型工业企业累计折旧,文教体育用品制造业大中型工业企业累计折旧,普通机械制造业大中型工业企业累计折旧,有色金属冶炼及压延加工业大中型工业企业累计折旧,有色金属矿采选业大中型工业企业累计折旧,服装及其他纤维制品制造业大中型工业企业累计折旧,木材加工及竹、藤、棕、草制品业大中型工业企业累计折旧,木材及竹材采运业大中型工业企业累计折旧,橡胶制品业大中型工业企业累计折旧,烟草加工业大中型工业企业累计折旧,煤气生产和供应业大中型工业企业累计折旧,煤炭采选业大中型工业企业累计折旧,电力、蒸汽、热水的生产和供应业大中型工业企业累计折旧,电子及通信设备制造业大中型工业企业累计折旧,电气机械及器材制造业大中型工业企业累计折旧,皮革、毛皮、羽绒及其制品业大中型工业企业累计折旧,石油加工及炼焦业大中型工业企业累计折旧,石油和天然气开采业大中型工业企业累计折旧,纺织业大中型工业企业累计折旧,自来水的生产和供应业大中型工业企业累计折旧,造纸及纸制品业大中型工业企业累计折旧,金属制品业大中型工业企业累计折旧,非金属矿物制造业大中型工业企业累计折旧,非金属矿采选业大中型工业企业累计折旧,食品制造业大中型工业企业累计折旧,食品加工业大中型工业企业累计折旧,饮料制造业大中型工业企业累计折旧,黑色金属冶炼及压延加工业大中型工业企业累计折旧,黑色金属矿采选业大中型工业企业累计折旧
2001年,405.10859,1200.37161,112.73282,0.06003,33.47136,1712.95313,334.51474,269.24497,138.23191,182.10521,23743.27618,18.04164,26.76014,600.02589,563.91359,90.61596,93.35356,53.4774,57.15403,141.70768,337.11499,99.08285,994.42203,4830.14436,836.10335,553.78486,52.56848,1299.1555,2820.33817,773.29511,296.24899,252.80808,187.65911,743.23108,86.59586,184.06838,280.16426,356.04283,2550.01961,43.70029
2002年,411.43482,1282.37638,121.5569,0.06003,36.51518,1926.3635,357.67087,305.76059,150.38205,214.689,26461.32794,20.93025,32.08044,658.03246,618.24276,91.8327,104.28974,66.10961,59.75216,154.41517,385.6358,111.90756,1141.56648,5512.67249,1051.90614,600.34306,54.97166,1416.55752,3137.10866,831.20936,348.70582,308.00732,213.15048,819.65468,91.49036,223.52931,306.50225,409.30478,2695.25998,50.98451
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
