,专用设备制造业大中型工业企业应收帐款净额,交通运输设备制造业大中型工业企业应收帐款净额,仪器仪表及文化办公用机械制造业大中型工业企业应收帐款净额,其他矿采选业大中型工业企业应收帐款净额,其它制造业大中型工业企业应收帐款净额,化学原料及化学制品制造业大中型工业企业应收帐款净额,化学纤维制造业大中型工业企业应收帐款净额,医药制造业大中型工业企业应收帐款净额,印刷业、记录媒介的复制大中型工业企业应收帐款净额,塑料制品业大中型工业企业应收帐款净额,大中型工业企业应收帐款净额,家具制造业大中型工业企业应收帐款净额,文教体育用品制造业大中型工业企业应收帐款净额,普通机械制造业大中型工业企业应收帐款净额,有色金属冶炼及压延加工业大中型工业企业应收帐款净额,有色金属矿采选业大中型工业企业应收帐款净额,服装及其他纤维制品制造业大中型工业企业应收帐款净额,木材加工及竹、藤、棕、草制品业大中型工业企业应收帐款净额,木材及竹材采运业大中型工业企业应收帐款净额,橡胶制品业大中型工业企业应收帐款净额,烟草加工业大中型工业企业应收帐款净额,煤气生产和供应业大中型工业企业应收帐款净额,煤炭采选业大中型工业企业应收帐款净额,电力、蒸汽、热水的生产和供应业大中型工业企业应收帐款净额,电子及通信设备制造业大中型工业企业应收帐款净额,电气机械及器材制造业大中型工业企业应收帐款净额,皮革、毛皮、羽绒及其制品业大中型工业企业应收帐款净额,石油加工及炼焦业大中型工业企业应收帐款净额,石油和天然气开采业大中型工业企业应收帐款净额,纺织业大中型工业企业应收帐款净额,自来水的生产和供应业大中型工业企业应收帐款净额,造纸及纸制品业大中型工业企业应收帐款净额,金属制品业大中型工业企业应收帐款净额,非金属矿物制造业大中型工业企业应收帐款净额,非金属矿采选业大中型工业企业应收帐款净额,食品制造业大中型工业企业应收帐款净额,食品加工业大中型工业企业应收帐款净额,饮料制造业大中型工业企业应收帐款净额,黑色金属冶炼及压延加工业大中型工业企业应收帐款净额,黑色金属矿采选业大中型工业企业应收帐款净额
2000年,333.57141,844.16853,95.32965,0.00043,21.88244,601.21623,64.76405,312.15655,51.12538,98.48489,9238.2724,10.23575,23.86785,581.25816,173.55445,18.32775,66.63366,21.29358,24.15323,117.63223,139.72074,34.2044,444.38313,983.47154,1055.36695,556.7703,49.64496,240.48662,192.61507,282.41981,41.47387,152.53954,149.46422,357.45542,56.19471,90.72678,132.55071,158.15889,571.4022,23.28285
2001年,309.15266,833.79559,116.52339,0.07218,30.88527,530.16604,60.39698,337.76609,57.19926,114.3353,9499.84921,15.11951,26.84747,585.89398,174.5866,19.24965,79.06137,23.41479,20.70087,115.07294,184.01589,31.07656,381.93054,1080.19919,1416.42619,631.60177,61.34781,148.28209,87.60461,279.63586,44.93707,171.02513,155.50945,363.67614,54.53884,96.71893,121.46508,154.54294,505.83647,21.29997
2002年,311.67498,803.36769,139.8984,0.07121,34.20701,528.88341,53.7499,365.13137,60.79737,136.23314,9757.63763,12.59025,28.10524,599.93729,161.51471,16.35355,79.4788,26.60213,20.16005,108.31006,142.90507,28.61632,343.50202,1171.16514,1575.69359,674.10013,71.96162,122.75913,69.87497,300.34787,47.91782,182.47064,188.65127,386.85922,49.67763,115.26726,138.62602,154.46941,434.06104,19.97874
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
