,专用设备制造业大中型工业企业资产总计,交通运输设备制造业大中型工业企业资产总计,仪器仪表及文化办公用机械制造业大中型工业企业资产总计,其他矿采选业大中型工业企业资产总计,其它制造业大中型工业企业资产总计,化学原料及化学制品制造业大中型工业企业资产总计,化学纤维制造业大中型工业企业资产总计,医药制造业大中型工业企业资产总计,印刷业、记录媒介的复制大中型工业企业资产总计,塑料制品业大中型工业企业资产总计,大中型工业企业资产总计,家具制造业大中型工业企业资产总计,文教体育用品制造业大中型工业企业资产总计,普通机械制造业大中型工业企业资产总计,有色金属冶炼及压延加工业大中型工业企业资产总计,有色金属矿采选业大中型工业企业资产总计,服装及其他纤维制品制造业大中型工业企业资产总计,木材加工及竹、藤、棕、草制品业大中型工业企业资产总计,木材及竹材采运业大中型工业企业资产总计,橡胶制品业大中型工业企业资产总计,烟草加工业大中型工业企业资产总计,煤气生产和供应业大中型工业企业资产总计,煤炭采选业大中型工业企业资产总计,电力、蒸汽、热水的生产和供应业大中型工业企业资产总计,电子及通信设备制造业大中型工业企业资产总计,电气机械及器材制造业大中型工业企业资产总计,皮革、毛皮、羽绒及其制品业大中型工业企业资产总计,石油加工及炼焦业大中型工业企业资产总计,石油和天然气开采业大中型工业企业资产总计,纺织业大中型工业企业资产总计,自来水的生产和供应业大中型工业企业资产总计,造纸及纸制品业大中型工业企业资产总计,金属制品业大中型工业企业资产总计,非金属矿物制造业大中型工业企业资产总计,非金属矿采选业大中型工业企业资产总计,食品制造业大中型工业企业资产总计,食品加工业大中型工业企业资产总计,饮料制造业大中型工业企业资产总计,黑色金属冶炼及压延加工业大中型工业企业资产总计,黑色金属矿采选业大中型工业企业资产总计
2001年,2107.33984,7416.46247,659.8086,0.28295,223.15716,6596.66645,1302.49234,2299.37576,537.5593,969.88062,97372.22,116.99882,170.15635,3357.88392,2425.71572,331.2261,687.56249,326.31641,320.28435,793.58888,2259.92883,489.47614,3587.77818,16391.01598,6613.48014,3682.5609,351.14523,3317.95033,4060.69757,3534.34563,1104.58669,1880.16322,1091.6054,3465.4749,487.71073,992.54978,1602.55957,2136.71884,8781.45616,219.08946
2002年,2227.77103,8172.37934,684.60663,0.28021,232.78179,6995.72492,1250.37186,2551.02627,569.79741,1102.42045,103516.44,116.46828,191.34722,3529.38868,2564.01495,329.17283,717.61598,349.12656,324.94787,823.1149,2406.73964,544.90995,4153.43596,17957.94791,7405.84035,3850.36621,370.46001,3167.14935,4302.09337,3644.68054,1273.83021,1957.15874,1130.01781,3581.63598,500.90082,1168.25318,1750.53225,2222.29826,8439.62671,247.92483
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
