,中国对不丹承包工程派出人数,中国对东帝汶承包工程派出人数,中国对中国台湾承包工程派出人数,中国对中国澳门承包工程派出人数,中国对中国香港承包工程派出人数,中国对乌兹别克斯坦承包工程派出人数,中国对也门共和国承包工程派出人数,中国对亚洲其他国家承包工程派出人数,中国对亚洲承包工程派出人数,中国对以色列承包工程派出人数,中国对伊拉克承包工程派出人数,中国对伊朗承包工程派出人数,中国对卡塔尔承包工程派出人数,中国对印度尼西亚承包工程派出人数,中国对印度承包工程派出人数,中国对叙利亚承包工程派出人数,中国对吉尔吉斯斯坦承包工程派出人数,中国对哈萨克斯坦承包工程派出人数,中国对土库曼斯坦承包工程派出人数,中国对土耳其承包工程派出人数,中国对塔吉克斯坦承包工程派出人数,中国对塞浦路斯承包工程派出人数,中国对孟加拉国承包工程派出人数,中国对尼泊尔承包工程派出人数,中国对巴基斯坦承包工程派出人数,中国对巴林承包工程派出人数,中国对文莱承包工程派出人数,中国对斯里兰卡承包工程派出人数,中国对新加坡承包工程派出人数,中国对日本承包工程派出人数,中国对朝鲜承包工程派出人数,中国对柬埔寨承包工程派出人数,中国对沙特阿拉伯承包工程派出人数,中国对泰国承包工程派出人数,中国对科威特承包工程派出人数,中国对约旦承包工程派出人数,中国对缅甸承包工程派出人数,中国对老挝承包工程派出人数,中国对菲律宾承包工程派出人数,中国对蒙古承包工程派出人数,中国对越南承包工程派出人数,中国对阿富汗承包工程派出人数,中国对阿曼承包工程派出人数,中国对阿联酋承包工程派出人数,中国对韩国承包工程派出人数,中国对马尔代夫承包工程派出人数,中国对马来西亚承包工程派出人数,中国对黎巴嫩承包工程派出人数
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,527.0,38.0,54.0,2182.0,763.0,580.0,816.0,130283.0,,4777.0,1632.0,3379.0,21109.0,3666.0,444.0,1575.0,3455.0,497.0,1333.0,1060.0,39.0,3075.0,763.0,3606.0,23.0,188.0,2587.0,3756.0,26.0,1458.0,3433.0,16792.0,698.0,3151.0,85.0,6612.0,6531.0,669.0,10935.0,8752.0,318.0,907.0,4377.0,92.0,297.0,3225.0,1.0
2012年,,232.0,39.0,334.0,527.0,943.0,187.0,,117007.0,96.0,9069.0,1498.0,4385.0,3523.0,2294.0,10.0,3049.0,3394.0,822.0,1630.0,1199.0,,1492.0,793.0,4204.0,5.0,167.0,2575.0,2788.0,44.0,1250.0,4272.0,19100.0,1984.0,1503.0,19.0,7290.0,9109.0,1142.0,7896.0,5377.0,106.0,328.0,4360.0,77.0,161.0,3837.0,5.0
2013年,,98.0,11.0,447.0,367.0,2505.0,784.0,3848.0,130888.0,8.0,9826.0,1016.0,2594.0,7985.0,1628.0,,3258.0,7109.0,334.0,3398.0,2032.0,,1287.0,1277.0,3541.0,1.0,235.0,5223.0,2917.0,31.0,638.0,4060.0,19648.0,1561.0,3254.0,,2373.0,11203.0,519.0,7951.0,5746.0,93.0,368.0,5972.0,24.0,98.0,5615.0,5.0
2014年,,80.0,26.0,1116.0,351.0,1970.0,1027.0,3567.0,134534.0,7.0,7816.0,645.0,1188.0,15689.0,1036.0,,2153.0,9720.0,1877.0,3359.0,2033.0,,3690.0,1538.0,5122.0,,34.0,1550.0,1951.0,11.0,542.0,3575.0,17062.0,2411.0,1832.0,3.0,2988.0,11570.0,1182.0,6701.0,9878.0,35.0,35.0,1421.0,37.0,169.0,7536.0,1.0
