,中国实际利用丹麦外商直接投资金额,中国实际利用乌克兰外商直接投资金额,中国实际利用亚美尼亚外商直接投资金额,中国实际利用俄罗斯外商直接投资金额,中国实际利用保加利亚外商直接投资金额,中国实际利用克罗地亚外商直接投资金额,中国实际利用冰岛外商直接投资金额,中国实际利用列支敦士登外商直接投资金额,中国实际利用匈牙利外商直接投资金额,中国实际利用卢森堡外商直接投资金额,中国实际利用圣马力诺外商直接投资金额,中国实际利用奥地利外商直接投资金额,中国实际利用希腊外商直接投资金额,中国实际利用德国外商直接投资金额,中国实际利用意大利外商直接投资金额,中国实际利用拉脱维亚外商直接投资金额,中国实际利用挪威外商直接投资金额,中国实际利用捷克外商直接投资金额,中国实际利用摩纳哥外商直接投资金额,中国实际利用斯洛伐克外商直接投资金额,中国实际利用斯洛文尼亚外商直接投资金额,中国实际利用欧洲其他国家(地区)外商直接投资金额,中国实际利用欧洲外商直接投资金额,中国实际利用比利时外商直接投资金额,中国实际利用法国外商直接投资金额,中国实际利用波兰外商直接投资金额,中国实际利用爱尔兰外商直接投资金额,中国实际利用爱沙尼亚外商直接投资金额,中国实际利用瑞典外商直接投资金额,中国实际利用瑞士外商直接投资金额,中国实际利用白俄罗斯外商直接投资金额,中国实际利用立陶宛外商直接投资金额,中国实际利用罗马尼亚外商直接投资金额,中国实际利用芬兰外商直接投资金额,中国实际利用英国外商直接投资金额,中国实际利用荷兰外商直接投资金额,中国实际利用葡萄牙外商直接投资金额,中国实际利用西班牙外商直接投资金额,中国实际利用马耳他外商直接投资金额
1999年,8491,24,0,1954,10,0,1,416,1204,422,0,2317,3,137326,18744,0,1859,1407,0,10,0,0,479713,8322,88429,354,305,0,15580,24709,7,0,642,6765,104449,54168,831,1754,279
2000年,4946,24,0,1623,381,0,24,399,1065,2344,0,2259,1289,104149,20951,0,2410,975,0,46,0,0,476539,5616,85316,464,76,0,15924,19403,108,0,772,5983,116405,78948,340,3400,110
2001年,5638,238,0,2976,89,4,36,0,2153,2878,0,5778,731,121292,21998,0,622,487,0,1145,0,0,448398,2002,53246,367,129,0,8439,20544,0,0,1020,7371,105166,77611,2602,3389,228
2002年,7109,109,0,3865,214,2,28,0,2073,1353,0,6727,617,92796,17674,10,2899,1569,0,69,0,93,404891,12428,57560,367,1322,0,9980,19980,2,0,2059,6465,89576,57175,976,9224,133
2003年,4282,279,0,5430,234,4,0,229,2366,17543,450,9450,177,85697,31670,0,1861,1245,0,1175,0,177,427197,11059,60431,364,1061,0,12030,18134,83,0,1527,3239,74247,72549,415,9181,113
2004年,6571,1386,359,12638,577,0,50,4780,4996,2878,0,9761,2819,105848,28082,0,178,3363,188,207,0,1936,479830,8209,65674,318,456,0,12070,20312,0,364,3058,2801,79282,81056,3322,15075,73
2005年,10043,126,0,8199,23,2,15,286,4545,14200,0,7630,184,153004,32201,0,2624,552,4,97,83,604,564310,5384,61506,749,973,53,11145,20588,0,32,5710,2172,96475,104358,413,19690,10
2006年,19341,467,0,6720,311,131,220,28,3152,9466,177,14943,17,197871,34999,0,1319,1897,0,90,104,6,571156,7916,38269,825,2402,0,20447,19663,53,180,1779,5544,72610,84104,990,23517,27
2007年,12514,1855,0,5207,258,20,600,75,2109,8246,224,8234,235,73397,34792,0,3424,1490,0,109,285,379,436511,9584,45601,920,6103,42,12636,29932,35,14,3044,5589,83094,61666,823,21324,103
2008年,29376,409,0,5997,30,9,101,496,1748,13283,10,13255,1309,90049,49326,79,2409,3579,0,16,86,170,545937,5586,58775,1109,19829,63,13917,24259,0,21,3205,5410,91401,86216,829,20890,0
2009年,31552,462,0,3177,380,0,85,7,2026,16060,26,8857,897,121657,35168,15,3988,161,14,11,161,242,549529,5660,65365,1084,10125,83,32712,30169,0,24,385,5294,67902,74128,1175,30285,51
2010年,36537,790,0,3497,1837,50,6,212,2369,24550,211,12531,451,88840,39609,0,3847,748,4,32,69,2299,592183,3838,123820,1243,6638,22,16105,26130,10,39,404,6452,71032,91449,1058,25449,5
2011年,18021,622,24,3102,1441,15,4,200,1309,51450,0,10478,215,112896,38779,200,1290,732,0,486,410,231,587654,12101,76853,701,13091,4,17502,55474,664,30,517,5949,58152,76137,1334,27070,170
2012年,13048,280,0,2992,747,289,882,170,615,22702,389,21626,140,145095,24576,0,1751,2071,8,429,269,828,629050,3821,65242,357,11192,9,20250,87280,0,0,456,10891,40960,114358,48,34717,54
2013年,36960,552,1012,2208,165,21,755,183,311,43256,0,15341,158,207844,31685,0,2786,1099,24,845,86,78,689319,3451,75189,155,4324,0,20852,31468,19,8,135,8961,39194,127477,948,31197,3
2014年,29054,38,5,4088,219,2,0,259,45,12829,0,10625,147,207056,37200,2,2192,3371,0,360,6,6494,669165,10823,71207,219,40400,8,36194,33953,4,0,21,6722,73534,63873,444,17638,0
