,专用设备制造业规模以上工业企业亏损企业单位数,交通运输设备制造业规模以上工业企业亏损企业单位数,仪器仪表及文化办公用机械制造业规模以上工业企业亏损企业单位数,其他矿采选业规模以上工业企业亏损企业单位数,其它制造业规模以上工业企业亏损企业单位数,化学原料及化学制品制造业规模以上工业企业亏损企业单位数,化学纤维制造业规模以上工业企业亏损企业单位数,医药制造业规模以上工业企业亏损企业单位数,印刷业、记录媒介的复制规模以上工业企业亏损企业单位数,塑料制品业规模以上工业企业亏损企业单位数,家具制造业规模以上工业企业亏损企业单位数,文教体育用品制造业规模以上工业企业亏损企业单位数,普通机械制造业规模以上工业企业亏损企业单位数,有色金属冶炼及压延加工业规模以上工业企业亏损企业单位数,有色金属矿采选业规模以上工业企业亏损企业单位数,服装及其他纤维制品制造业规模以上工业企业亏损企业单位数,木材加工及竹、藤、棕、草制品业规模以上工业企业亏损企业单位数,木材及竹材采运业规模以上工业企业亏损企业单位数,橡胶制品业规模以上工业企业亏损企业单位数,烟草加工业规模以上工业企业亏损企业单位数,煤气生产和供应业规模以上工业企业亏损企业单位数,煤炭采选业规模以上工业企业亏损企业单位数,电力、蒸汽、热水的生产和供应业规模以上工业企业亏损企业单位数,电子及通信设备制造业规模以上工业企业亏损企业单位数,电气机械及器材制造业规模以上工业企业亏损企业单位数,皮革、毛皮、羽绒及其制品业规模以上工业企业亏损企业单位数,石油加工及炼焦业规模以上工业企业亏损企业单位数,石油和天然气开采业规模以上工业企业亏损企业单位数,纺织业规模以上工业企业亏损企业单位数,自来水的生产和供应业规模以上工业企业亏损企业单位数,规模以上工业企业亏损企业单位数,造纸及纸制品业规模以上工业企业亏损企业单位数,金属制品业规模以上工业企业亏损企业单位数,非金属矿物制造业规模以上工业企业亏损企业单位数,非金属矿采选业规模以上工业企业亏损企业单位数,食品制造业规模以上工业企业亏损企业单位数,食品加工业规模以上工业企业亏损企业单位数,饮料制造业规模以上工业企业亏损企业单位数,黑色金属冶炼及压延加工业规模以上工业企业亏损企业单位数,黑色金属矿采选业规模以上工业企业亏损企业单位数
2000年,1702.0,1760.0,450.0,3.0,634.0,2614.0,201.0,739.0,1024.0,1381.0,270.0,411.0,2003.0,597.0,226.0,1276.0,559.0,202.0,379.0,76.0,145.0,717.0,1175.0,1078.0,1569.0,606.0,216.0,10.0,2308.0,853.0,38042.0,995.0,1716.0,3623.0,298.0,1297.0,3030.0,981.0,755.0,94.0
2001年,1676.0,1722.0,519.0,1.0,697.0,2646.0,260.0,829.0,1044.0,1408.0,305.0,415.0,2084.0,719.0,245.0,1561.0,526.0,195.0,395.0,93.0,155.0,556.0,1279.0,1230.0,1733.0,626.0,229.0,7.0,2839.0,924.0,39346.0,1064.0,1742.0,3501.0,253.0,1211.0,2686.0,1001.0,813.0,94.0
2002年,1479.0,1594.0,484.0,3.0,696.0,2523.0,231.0,849.0,963.0,1373.0,301.0,418.0,1943.0,647.0,205.0,1686.0,541.0,152.0,344.0,63.0,141.0,441.0,1427.0,1310.0,1706.0,644.0,232.0,6.0,2654.0,1067.0,37782.0,974.0,1755.0,3412.0,277.0,1049.0,2371.0,894.0,764.0,118.0
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
