,专用设备制造业规模以上工业企业利息支出,交通运输设备制造业规模以上工业企业利息支出,仪器仪表及文化办公用机械制造业规模以上工业企业利息支出,其他矿采选业规模以上工业企业利息支出,其它制造业规模以上工业企业利息支出,化学原料及化学制品制造业规模以上工业企业利息支出,化学纤维制造业规模以上工业企业利息支出,医药制造业规模以上工业企业利息支出,印刷业、记录媒介的复制规模以上工业企业利息支出,塑料制品业规模以上工业企业利息支出,家具制造业规模以上工业企业利息支出,文教体育用品制造业规模以上工业企业利息支出,普通机械制造业规模以上工业企业利息支出,有色金属冶炼及压延加工业规模以上工业企业利息支出,有色金属矿采选业规模以上工业企业利息支出,服装及其他纤维制品制造业规模以上工业企业利息支出,木材加工及竹、藤、棕、草制品业规模以上工业企业利息支出,木材及竹材采运业规模以上工业企业利息支出,橡胶制品业规模以上工业企业利息支出,烟草加工业规模以上工业企业利息支出,煤气生产和供应业规模以上工业企业利息支出,煤炭采选业规模以上工业企业利息支出,电力、蒸汽、热水的生产和供应业规模以上工业企业利息支出,电子及通信设备制造业规模以上工业企业利息支出,电气机械及器材制造业规模以上工业企业利息支出,皮革、毛皮、羽绒及其制品业规模以上工业企业利息支出,石油加工及炼焦业规模以上工业企业利息支出,石油和天然气开采业规模以上工业企业利息支出,纺织业规模以上工业企业利息支出,自来水的生产和供应业规模以上工业企业利息支出,规模以上工业企业利息支出,造纸及纸制品业规模以上工业企业利息支出,金属制品业规模以上工业企业利息支出,非金属矿物制造业规模以上工业企业利息支出,非金属矿采选业规模以上工业企业利息支出,食品制造业规模以上工业企业利息支出,食品加工业规模以上工业企业利息支出,饮料制造业规模以上工业企业利息支出,黑色金属冶炼及压延加工业规模以上工业企业利息支出,黑色金属矿采选业规模以上工业企业利息支出
2001年,40.73734,92.20406,9.85771,0.02699,8.59481,122.62782,23.07625,39.88829,10.55134,26.28645,4.33286,4.46832,67.01293,51.45192,9.22198,19.13196,11.65312,3.94706,19.33427,30.58865,2.29522,44.67699,370.80185,69.68899,70.78686,11.56519,58.21313,29.14433,92.97323,10.82395,1757.89303,46.06107,33.95025,91.6197,7.98823,21.52177,51.2181,29.53075,106.25003,3.94774
2002年,39.21179,89.36553,9.18473,0.05314,7.80914,130.31363,23.77962,42.51342,10.5539,27.07865,5.09393,-2.20071,62.45772,55.33483,9.72859,19.07991,11.13558,4.10031,19.22668,28.33946,3.94356,56.53149,396.24903,68.33545,67.83115,11.51191,55.53287,23.79516,91.90398,13.8854,1793.40958,48.18943,32.3951,87.45715,7.51928,26.60993,51.35575,28.89273,114.91118,3.90925
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
