,专用设备制造业规模以上工业企业管理费用,交通运输设备制造业规模以上工业企业管理费用,仪器仪表及文化办公用机械制造业规模以上工业企业管理费用,其他矿采选业规模以上工业企业管理费用,其它制造业规模以上工业企业管理费用,化学原料及化学制品制造业规模以上工业企业管理费用,化学纤维制造业规模以上工业企业管理费用,医药制造业规模以上工业企业管理费用,印刷业、记录媒介的复制规模以上工业企业管理费用,塑料制品业规模以上工业企业管理费用,家具制造业规模以上工业企业管理费用,文教体育用品制造业规模以上工业企业管理费用,普通机械制造业规模以上工业企业管理费用,有色金属冶炼及压延加工业规模以上工业企业管理费用,有色金属矿采选业规模以上工业企业管理费用,服装及其他纤维制品制造业规模以上工业企业管理费用,木材加工及竹、藤、棕、草制品业规模以上工业企业管理费用,木材及竹材采运业规模以上工业企业管理费用,橡胶制品业规模以上工业企业管理费用,烟草加工业规模以上工业企业管理费用,煤气生产和供应业规模以上工业企业管理费用,煤炭采选业规模以上工业企业管理费用,电力、蒸汽、热水的生产和供应业规模以上工业企业管理费用,电子及通信设备制造业规模以上工业企业管理费用,电气机械及器材制造业规模以上工业企业管理费用,皮革、毛皮、羽绒及其制品业规模以上工业企业管理费用,石油加工及炼焦业规模以上工业企业管理费用,石油和天然气开采业规模以上工业企业管理费用,纺织业规模以上工业企业管理费用,自来水的生产和供应业规模以上工业企业管理费用,规模以上工业企业管理费用,造纸及纸制品业规模以上工业企业管理费用,金属制品业规模以上工业企业管理费用,非金属矿物制造业规模以上工业企业管理费用,非金属矿采选业规模以上工业企业管理费用,食品制造业规模以上工业企业管理费用,食品加工业规模以上工业企业管理费用,饮料制造业规模以上工业企业管理费用,黑色金属冶炼及压延加工业规模以上工业企业管理费用,黑色金属矿采选业规模以上工业企业管理费用
2001年,203.177,528.74379,80.37747,0.23498,47.36519,439.40845,40.80629,196.83327,64.61659,103.43048,20.89752,39.84223,293.53407,122.88418,41.78332,120.58712,28.78926,22.39012,51.10881,105.27195,22.24256,246.1112,282.80661,436.19986,325.32062,54.84148,184.52927,175.03365,242.43044,58.70177,5854.50094,90.76628,140.15901,267.34898,33.1759,87.05459,131.59416,121.72847,346.52586,16.00633
2002年,230.67009,626.61966,91.96069,0.14637,53.00707,464.06445,43.33645,225.29448,72.04668,118.90072,24.61546,44.76339,333.23677,120.72714,43.89414,133.17029,30.60154,22.33001,61.5038,130.99584,25.10696,316.00825,334.83363,548.33275,346.86208,63.62967,170.06406,174.88102,259.43982,64.78438,6563.81718,101.27308,155.16115,286.69954,33.92422,102.10331,141.30196,127.44384,376.6198,20.24675
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
