,专用设备制造业规模以上工业企业流动负债合计,交通运输设备制造业规模以上工业企业流动负债合计,仪器仪表及文化办公用机械制造业规模以上工业企业流动负债合计,其他矿采选业规模以上工业企业流动负债合计,其它制造业规模以上工业企业流动负债合计,化学原料及化学制品制造业规模以上工业企业流动负债合计,化学纤维制造业规模以上工业企业流动负债合计,医药制造业规模以上工业企业流动负债合计,印刷业、记录媒介的复制规模以上工业企业流动负债合计,塑料制品业规模以上工业企业流动负债合计,家具制造业规模以上工业企业流动负债合计,文教体育用品制造业规模以上工业企业流动负债合计,普通机械制造业规模以上工业企业流动负债合计,有色金属冶炼及压延加工业规模以上工业企业流动负债合计,有色金属矿采选业规模以上工业企业流动负债合计,服装及其他纤维制品制造业规模以上工业企业流动负债合计,木材加工及竹、藤、棕、草制品业规模以上工业企业流动负债合计,木材及竹材采运业规模以上工业企业流动负债合计,橡胶制品业规模以上工业企业流动负债合计,烟草加工业规模以上工业企业流动负债合计,煤气生产和供应业规模以上工业企业流动负债合计,煤炭采选业规模以上工业企业流动负债合计,电力、蒸汽、热水的生产和供应业规模以上工业企业流动负债合计,电子及通信设备制造业规模以上工业企业流动负债合计,电气机械及器材制造业规模以上工业企业流动负债合计,皮革、毛皮、羽绒及其制品业规模以上工业企业流动负债合计,石油加工及炼焦业规模以上工业企业流动负债合计,石油和天然气开采业规模以上工业企业流动负债合计,纺织业规模以上工业企业流动负债合计,自来水的生产和供应业规模以上工业企业流动负债合计,规模以上工业企业流动负债合计,造纸及纸制品业规模以上工业企业流动负债合计,金属制品业规模以上工业企业流动负债合计,非金属矿物制造业规模以上工业企业流动负债合计,非金属矿采选业规模以上工业企业流动负债合计,食品制造业规模以上工业企业流动负债合计,食品加工业规模以上工业企业流动负债合计,饮料制造业规模以上工业企业流动负债合计,黑色金属冶炼及压延加工业规模以上工业企业流动负债合计,黑色金属矿采选业规模以上工业企业流动负债合计
2000年,1772.16894,4047.61862,510.70289,1.97179,385.50937,3670.81301,632.8888,1269.41279,428.14268,955.06311,173.44209,261.5807,2505.94458,1285.03781,228.03811,923.43891,332.6822,214.356,545.62471,787.25451,179.84304,1439.86847,3958.24265,3836.59277,2821.75198,560.28545,1410.85076,805.0392,3253.10936,316.47865,53052.6403,1115.57385,1378.88197,2819.18258,259.33642,845.45218,1828.03794,1328.56502,3473.51607,112.16249
2001年,1803.76706,4451.06983,544.97105,1.77372,409.98479,3743.63266,563.78131,1447.74293,512.54575,1032.09541,187.34718,263.07398,2640.15762,1437.84207,232.60361,979.56781,345.9284,208.73802,592.2266,1117.86476,179.65985,1547.32597,4423.10178,4188.5485,3007.74961,582.36052,1450.04769,852.18459,3309.53604,352.88042,56138.72427,1177.61386,1438.8767,2850.60859,261.51148,880.7977,1766.02962,1325.53836,3524.63119,135.57904
2002年,2015.81306,5093.80236,601.68539,2.49224,447.52984,4083.80163,606.06492,1645.52862,503.64882,1167.87947,216.29752,320.50621,2878.835,1562.00804,246.13961,1064.23754,365.44167,215.16949,620.99417,1098.00391,222.77982,1773.87752,4809.09061,4983.14204,3306.26678,624.86604,1449.7656,906.2723,3479.33784,416.65751,61663.06316,1311.01259,1592.85531,3085.70124,274.08522,982.77447,1871.02003,1399.07444,3881.83708,158.06383
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
