,专用设备制造业规模以上工业企业主营业务税金及附加,交通运输设备制造业规模以上工业企业主营业务税金及附加,仪器仪表及文化办公用机械制造业规模以上工业企业主营业务税金及附加,其他矿采选业规模以上工业企业主营业务税金及附加,其它制造业规模以上工业企业主营业务税金及附加,化学原料及化学制品制造业规模以上工业企业主营业务税金及附加,化学纤维制造业规模以上工业企业主营业务税金及附加,医药制造业规模以上工业企业主营业务税金及附加,印刷业、记录媒介的复制规模以上工业企业主营业务税金及附加,塑料制品业规模以上工业企业主营业务税金及附加,家具制造业规模以上工业企业主营业务税金及附加,文教体育用品制造业规模以上工业企业主营业务税金及附加,普通机械制造业规模以上工业企业主营业务税金及附加,有色金属冶炼及压延加工业规模以上工业企业主营业务税金及附加,有色金属矿采选业规模以上工业企业主营业务税金及附加,服装及其他纤维制品制造业规模以上工业企业主营业务税金及附加,木材加工及竹、藤、棕、草制品业规模以上工业企业主营业务税金及附加,木材及竹材采运业规模以上工业企业主营业务税金及附加,橡胶制品业规模以上工业企业主营业务税金及附加,烟草加工业规模以上工业企业主营业务税金及附加,煤气生产和供应业规模以上工业企业主营业务税金及附加,煤炭采选业规模以上工业企业主营业务税金及附加,电力、蒸汽、热水的生产和供应业规模以上工业企业主营业务税金及附加,电子及通信设备制造业规模以上工业企业主营业务税金及附加,电气机械及器材制造业规模以上工业企业主营业务税金及附加,皮革、毛皮、羽绒及其制品业规模以上工业企业主营业务税金及附加,石油加工及炼焦业规模以上工业企业主营业务税金及附加,石油和天然气开采业规模以上工业企业主营业务税金及附加,纺织业规模以上工业企业主营业务税金及附加,自来水的生产和供应业规模以上工业企业主营业务税金及附加,规模以上工业企业主营业务税金及附加,造纸及纸制品业规模以上工业企业主营业务税金及附加,金属制品业规模以上工业企业主营业务税金及附加,非金属矿物制造业规模以上工业企业主营业务税金及附加,非金属矿采选业规模以上工业企业主营业务税金及附加,食品制造业规模以上工业企业主营业务税金及附加,食品加工业规模以上工业企业主营业务税金及附加,饮料制造业规模以上工业企业主营业务税金及附加,黑色金属冶炼及压延加工业规模以上工业企业主营业务税金及附加,黑色金属矿采选业规模以上工业企业主营业务税金及附加
2000年,10.78118,89.54066,2.71006,0.05967,7.43338,46.05101,9.42274,10.62161,3.31251,7.74982,2.29124,2.0709,16.06062,10.25883,3.90372,9.63027,4.08588,6.13028,20.23878,567.15821,0.85428,17.88916,39.90677,12.5368,17.35603,4.62055,180.90694,75.08828,23.52857,3.77289,1434.17,7.90385,11.95091,33.64335,7.51116,6.50837,14.03328,109.09829,32.18081,4.23276
2001年,11.64204,95.95427,3.11095,0.05529,7.87029,48.62951,3.70884,12.00997,3.61449,9.10821,2.52435,2.3733,16.57554,9.62381,4.12078,9.95925,4.40793,5.76805,14.05338,645.15655,1.07798,22.34049,46.79578,12.27238,19.14339,5.59071,195.07011,72.72854,24.29449,3.57889,1553.82,8.25079,14.50701,30.74207,7.73463,6.93086,17.52417,116.67062,33.07676,4.64303
2002年,12.58431,116.02083,3.20938,0.01754,8.4285,50.562,4.0803,14.20127,4.07849,10.10447,2.85743,2.19539,19.74912,10.41083,3.82682,11.42534,5.37256,5.06249,15.20492,767.321,1.32391,28.09744,50.70229,13.8601,19.83079,5.78214,203.90895,78.97265,26.80891,4.07566,1761.61,9.14768,15.17083,34.51442,8.5462,7.64732,17.99126,125.21794,37.56592,4.90861
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
