,专用设备制造业规模以上工业企业利润总额,交通运输设备制造业规模以上工业企业利润总额,仪器仪表及文化办公用机械制造业规模以上工业企业利润总额,其他矿采选业规模以上工业企业利润总额,其它制造业规模以上工业企业利润总额,化学原料及化学制品制造业规模以上工业企业利润总额,化学纤维制造业规模以上工业企业利润总额,医药制造业规模以上工业企业利润总额,印刷业、记录媒介的复制规模以上工业企业利润总额,塑料制品业规模以上工业企业利润总额,家具制造业规模以上工业企业利润总额,文教体育用品制造业规模以上工业企业利润总额,普通机械制造业规模以上工业企业利润总额,有色金属冶炼及压延加工业规模以上工业企业利润总额,有色金属矿采选业规模以上工业企业利润总额,服装及其他纤维制品制造业规模以上工业企业利润总额,木材加工及竹、藤、棕、草制品业规模以上工业企业利润总额,木材及竹材采运业规模以上工业企业利润总额,橡胶制品业规模以上工业企业利润总额,烟草加工业规模以上工业企业利润总额,煤气生产和供应业规模以上工业企业利润总额,煤炭采选业规模以上工业企业利润总额,电力、蒸汽、热水的生产和供应业规模以上工业企业利润总额,电子及通信设备制造业规模以上工业企业利润总额,电气机械及器材制造业规模以上工业企业利润总额,皮革、毛皮、羽绒及其制品业规模以上工业企业利润总额,石油加工及炼焦业规模以上工业企业利润总额,石油和天然气开采业规模以上工业企业利润总额,纺织业规模以上工业企业利润总额,自来水的生产和供应业规模以上工业企业利润总额,规模以上工业企业利润总额,造纸及纸制品业规模以上工业企业利润总额,金属制品业规模以上工业企业利润总额,非金属矿物制造业规模以上工业企业利润总额,非金属矿采选业规模以上工业企业利润总额,食品制造业规模以上工业企业利润总额,食品加工业规模以上工业企业利润总额,饮料制造业规模以上工业企业利润总额,黑色金属冶炼及压延加工业规模以上工业企业利润总额,黑色金属矿采选业规模以上工业企业利润总额
2001年,77.07909,298.40732,48.32581,0.13343,41.46248,159.7818,20.5425,168.05117,53.43823,91.61773,17.71748,25.66921,123.61952,68.81317,29.71784,100.68364,20.09146,2.05615,26.24602,176.80372,-0.75946,41.83245,529.97223,462.14568,235.31652,41.19915,-12.05499,978.14572,131.94813,9.08557,4733.0,62.04025,97.05818,125.76036,13.74607,66.17512,96.60408,103.10989,201.72375,8.99772
2002年,124.23741,490.75021,52.68851,0.05472,51.03247,279.04531,29.14121,201.41659,58.95018,112.36536,19.66375,31.34294,191.46316,81.67493,31.98475,111.19417,24.08348,2.7412,40.36846,212.7058,-1.04845,84.81353,576.29243,468.96822,285.04479,57.50055,50.94434,912.58039,184.7146,4.7403,5784.48,98.25257,123.29667,154.97464,15.7991,82.59621,115.31109,120.23957,294.76993,10.57216
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
