,专用设备制造业规模以上工业企业所有者权益合计,交通运输设备制造业规模以上工业企业所有者权益合计,仪器仪表及文化办公用机械制造业规模以上工业企业所有者权益合计,其他矿采选业规模以上工业企业所有者权益合计,其它制造业规模以上工业企业所有者权益合计,化学原料及化学制品制造业规模以上工业企业所有者权益合计,化学纤维制造业规模以上工业企业所有者权益合计,医药制造业规模以上工业企业所有者权益合计,印刷业、记录媒介的复制规模以上工业企业所有者权益合计,塑料制品业规模以上工业企业所有者权益合计,家具制造业规模以上工业企业所有者权益合计,文教体育用品制造业规模以上工业企业所有者权益合计,普通机械制造业规模以上工业企业所有者权益合计,有色金属冶炼及压延加工业规模以上工业企业所有者权益合计,有色金属矿采选业规模以上工业企业所有者权益合计,服装及其他纤维制品制造业规模以上工业企业所有者权益合计,木材加工及竹、藤、棕、草制品业规模以上工业企业所有者权益合计,木材及竹材采运业规模以上工业企业所有者权益合计,橡胶制品业规模以上工业企业所有者权益合计,烟草加工业规模以上工业企业所有者权益合计,煤气生产和供应业规模以上工业企业所有者权益合计,煤炭采选业规模以上工业企业所有者权益合计,电力、蒸汽、热水的生产和供应业规模以上工业企业所有者权益合计,电子及通信设备制造业规模以上工业企业所有者权益合计,电气机械及器材制造业规模以上工业企业所有者权益合计,皮革、毛皮、羽绒及其制品业规模以上工业企业所有者权益合计,石油加工及炼焦业规模以上工业企业所有者权益合计,石油和天然气开采业规模以上工业企业所有者权益合计,纺织业规模以上工业企业所有者权益合计,自来水的生产和供应业规模以上工业企业所有者权益合计,规模以上工业企业所有者权益合计,造纸及纸制品业规模以上工业企业所有者权益合计,金属制品业规模以上工业企业所有者权益合计,非金属矿物制造业规模以上工业企业所有者权益合计,非金属矿采选业规模以上工业企业所有者权益合计,食品制造业规模以上工业企业所有者权益合计,食品加工业规模以上工业企业所有者权益合计,饮料制造业规模以上工业企业所有者权益合计,黑色金属冶炼及压延加工业规模以上工业企业所有者权益合计,黑色金属矿采选业规模以上工业企业所有者权益合计
2000年,1137.09895,3022.89703,364.94462,0.85284,295.79771,3144.06098,773.74325,1204.3051,434.47346,838.93715,158.89482,226.12422,1736.56558,1003.2974,199.03313,735.30812,238.69068,129.18314,379.77857,1062.11974,331.90739,1341.34971,7363.60252,3026.30435,1979.47959,313.55366,1529.51018,2451.23476,1758.76934,926.31178,49406.88,852.43829,911.62715,2124.43576,258.86062,638.5878,851.61291,1089.01132,4203.0566,174.79702
2001年,1194.44213,3423.54699,428.59457,0.73953,357.71128,3490.91253,613.43276,1478.43366,494.19986,988.49277,176.68283,257.98977,1862.2628,1147.18029,201.29232,818.19801,289.50628,138.30972,409.40509,1208.8055,343.94868,1552.79331,8076.27027,3596.65765,2310.89013,361.11424,1717.39978,2693.26067,2014.30475,979.33683,55424.4,976.64329,1060.5366,2319.08694,339.86717,716.84396,995.42487,1227.80426,4788.28433,182.62979
2002年,1320.47182,3809.06032,500.23411,1.07025,401.92752,3977.83767,632.5834,1702.76327,557.26745,1138.37756,200.65268,289.24626,2016.75792,1238.03151,199.0276,902.43951,315.17509,138.19277,469.33981,1368.46221,373.76672,2045.23183,8587.1814,4058.28386,2547.71833,427.91334,1683.19067,2833.9216,2289.76944,1102.9724,60242.01,1066.86771,1169.91586,2514.3462,314.8184,869.08323,1183.16146,1324.58682,4249.52198,203.84691
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
