,专用设备制造业规模以上工业企业财务费用,交通运输设备制造业规模以上工业企业财务费用,仪器仪表及文化办公用机械制造业规模以上工业企业财务费用,其他矿采选业规模以上工业企业财务费用,其它制造业规模以上工业企业财务费用,化学原料及化学制品制造业规模以上工业企业财务费用,化学纤维制造业规模以上工业企业财务费用,医药制造业规模以上工业企业财务费用,印刷业、记录媒介的复制规模以上工业企业财务费用,塑料制品业规模以上工业企业财务费用,家具制造业规模以上工业企业财务费用,文教体育用品制造业规模以上工业企业财务费用,普通机械制造业规模以上工业企业财务费用,有色金属冶炼及压延加工业规模以上工业企业财务费用,有色金属矿采选业规模以上工业企业财务费用,服装及其他纤维制品制造业规模以上工业企业财务费用,木材加工及竹、藤、棕、草制品业规模以上工业企业财务费用,木材及竹材采运业规模以上工业企业财务费用,橡胶制品业规模以上工业企业财务费用,烟草加工业规模以上工业企业财务费用,煤气生产和供应业规模以上工业企业财务费用,煤炭采选业规模以上工业企业财务费用,电力、蒸汽、热水的生产和供应业规模以上工业企业财务费用,电子及通信设备制造业规模以上工业企业财务费用,电气机械及器材制造业规模以上工业企业财务费用,皮革、毛皮、羽绒及其制品业规模以上工业企业财务费用,石油加工及炼焦业规模以上工业企业财务费用,石油和天然气开采业规模以上工业企业财务费用,纺织业规模以上工业企业财务费用,自来水的生产和供应业规模以上工业企业财务费用,规模以上工业企业财务费用,造纸及纸制品业规模以上工业企业财务费用,金属制品业规模以上工业企业财务费用,非金属矿物制造业规模以上工业企业财务费用,非金属矿采选业规模以上工业企业财务费用,食品制造业规模以上工业企业财务费用,食品加工业规模以上工业企业财务费用,饮料制造业规模以上工业企业财务费用,黑色金属冶炼及压延加工业规模以上工业企业财务费用,黑色金属矿采选业规模以上工业企业财务费用
2001年,42.54187,102.88677,10.81403,0.05287,10.33316,135.8939,23.79306,44.45235,11.88497,32.49549,5.86034,6.16883,71.66417,56.49489,9.97997,24.99772,13.46791,4.06939,21.57856,31.28118,2.85587,47.26203,379.05768,77.87187,85.42172,14.88758,55.71266,27.41998,101.65698,12.42389,1904.59898,49.24024,42.187,100.69415,7.54203,25.65929,57.61524,31.964,109.51409,4.28544
2002年,43.26834,101.115,11.05428,0.05702,9.98747,140.86579,25.70812,48.02244,12.13276,32.37792,5.77859,6.20861,68.79051,59.68614,10.33243,24.06498,14.38843,4.27579,20.81913,28.63468,4.07478,57.9536,413.88918,92.7841,77.67884,14.8995,61.82767,25.38407,103.97596,15.45869,2000.76586,54.45118,40.0925,98.58789,8.35066,31.21618,59.66509,32.403,125.37901,4.34492
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
