,专用设备制造业规模以上工业企业销售费用,交通运输设备制造业规模以上工业企业销售费用,仪器仪表及文化办公用机械制造业规模以上工业企业销售费用,其他矿采选业规模以上工业企业销售费用,其它制造业规模以上工业企业销售费用,化学原料及化学制品制造业规模以上工业企业销售费用,化学纤维制造业规模以上工业企业销售费用,医药制造业规模以上工业企业销售费用,印刷业、记录媒介的复制规模以上工业企业销售费用,塑料制品业规模以上工业企业销售费用,家具制造业规模以上工业企业销售费用,文教体育用品制造业规模以上工业企业销售费用,普通机械制造业规模以上工业企业销售费用,有色金属冶炼及压延加工业规模以上工业企业销售费用,有色金属矿采选业规模以上工业企业销售费用,服装及其他纤维制品制造业规模以上工业企业销售费用,木材加工及竹、藤、棕、草制品业规模以上工业企业销售费用,木材及竹材采运业规模以上工业企业销售费用,橡胶制品业规模以上工业企业销售费用,烟草加工业规模以上工业企业销售费用,煤气生产和供应业规模以上工业企业销售费用,煤炭采选业规模以上工业企业销售费用,电力、蒸汽、热水的生产和供应业规模以上工业企业销售费用,电子及通信设备制造业规模以上工业企业销售费用,电气机械及器材制造业规模以上工业企业销售费用,皮革、毛皮、羽绒及其制品业规模以上工业企业销售费用,石油加工及炼焦业规模以上工业企业销售费用,石油和天然气开采业规模以上工业企业销售费用,纺织业规模以上工业企业销售费用,自来水的生产和供应业规模以上工业企业销售费用,规模以上工业企业销售费用,造纸及纸制品业规模以上工业企业销售费用,金属制品业规模以上工业企业销售费用,非金属矿物制造业规模以上工业企业销售费用,非金属矿采选业规模以上工业企业销售费用,食品制造业规模以上工业企业销售费用,食品加工业规模以上工业企业销售费用,饮料制造业规模以上工业企业销售费用,黑色金属冶炼及压延加工业规模以上工业企业销售费用,黑色金属矿采选业规模以上工业企业销售费用
2001年,89.6295,174.46403,39.2565,0.67253,37.30511,296.43339,14.41768,307.09898,19.00104,61.31902,19.61113,19.16201,135.83684,39.53303,13.62801,85.81322,23.25109,2.30065,36.15571,64.68164,10.71441,131.3216,35.36659,334.56024,318.96331,35.79099,57.93741,27.66156,95.55072,13.48563,3502.77497,62.78639,99.59861,172.04434,26.41566,150.16938,125.87465,217.97816,93.60756,9.36363
2002年,111.02043,240.82854,46.0559,0.349,39.63799,349.44208,17.65024,355.90753,20.504,68.73707,21.76203,24.07154,162.29094,45.86,12.95262,95.98579,29.57189,2.51249,41.83607,67.45987,12.24006,147.8208,39.35599,414.46028,333.08719,39.60641,70.08764,20.4779,107.18094,16.05362,4055.26311,71.08696,110.00785,190.92141,31.37726,189.14819,142.66024,242.05984,108.33699,10.14221
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
