,专用设备制造业规模以上工业亏损企业亏损总额,交通运输设备制造业规模以上工业亏损企业亏损总额,仪器仪表及文化办公用机械制造业规模以上工业亏损企业亏损总额,其他矿采选业规模以上工业亏损企业亏损总额,其它制造业规模以上工业亏损企业亏损总额,化学原料及化学制品制造业规模以上工业亏损企业亏损总额,化学纤维制造业规模以上工业亏损企业亏损总额,医药制造业规模以上工业亏损企业亏损总额,印刷业、记录媒介的复制规模以上工业亏损企业亏损总额,塑料制品业规模以上工业亏损企业亏损总额,家具制造业规模以上工业亏损企业亏损总额,文教体育用品制造业规模以上工业亏损企业亏损总额,普通机械制造业规模以上工业亏损企业亏损总额,有色金属冶炼及压延加工业规模以上工业亏损企业亏损总额,有色金属矿采选业规模以上工业亏损企业亏损总额,服装及其他纤维制品制造业规模以上工业亏损企业亏损总额,木材加工及竹、藤、棕、草制品业规模以上工业亏损企业亏损总额,木材及竹材采运业规模以上工业亏损企业亏损总额,橡胶制品业规模以上工业亏损企业亏损总额,烟草加工业规模以上工业亏损企业亏损总额,煤气生产和供应业规模以上工业亏损企业亏损总额,煤炭采选业规模以上工业亏损企业亏损总额,电力、蒸汽、热水的生产和供应业规模以上工业亏损企业亏损总额,电子及通信设备制造业规模以上工业亏损企业亏损总额,电气机械及器材制造业规模以上工业亏损企业亏损总额,皮革、毛皮、羽绒及其制品业规模以上工业亏损企业亏损总额,石油加工及炼焦业规模以上工业亏损企业亏损总额,石油和天然气开采业规模以上工业亏损企业亏损总额,纺织业规模以上工业亏损企业亏损总额,自来水的生产和供应业规模以上工业亏损企业亏损总额,规模以上工业亏损企业亏损总额,造纸及纸制品业规模以上工业亏损企业亏损总额,金属制品业规模以上工业亏损企业亏损总额,非金属矿物制造业规模以上工业亏损企业亏损总额,非金属矿采选业规模以上工业亏损企业亏损总额,食品制造业规模以上工业亏损企业亏损总额,食品加工业规模以上工业亏损企业亏损总额,饮料制造业规模以上工业亏损企业亏损总额,黑色金属冶炼及压延加工业规模以上工业亏损企业亏损总额,黑色金属矿采选业规模以上工业亏损企业亏损总额
2000年,43.18859,98.45642,10.03011,0.03176,6.42263,93.58305,10.34326,18.31859,8.88277,18.35423,3.32782,4.73669,53.57439,21.20154,4.21153,13.64023,11.23434,3.59279,16.51662,7.40194,9.64707,34.19773,100.55986,44.44509,52.11721,10.09958,59.41011,6.6193,48.20014,10.5657,1136.11552,23.77029,32.93635,76.57577,5.82854,30.35328,49.60861,34.7799,43.23628,1.97353
2001年,46.54806,80.95857,10.14362,0.00016,6.46711,130.99474,20.14768,21.11332,10.19221,20.35681,3.59251,5.8223,56.64156,23.69879,5.42326,16.51203,9.77512,2.71055,13.05802,16.8294,8.08682,17.66769,103.02485,82.3921,61.54136,12.07993,64.06608,4.1409,64.00319,11.99281,1211.0197,27.78936,27.53477,70.87094,4.6956,29.1378,41.01195,35.14369,32.27837,1.43795
2002年,40.25109,85.71509,12.63109,0.02332,6.33768,96.12778,17.33086,30.0642,8.74578,23.08722,4.78467,5.72746,49.09316,22.24036,7.91253,16.23176,11.62136,2.11108,12.34748,5.97071,10.17861,12.13606,99.58597,94.47924,49.7804,10.18552,45.88878,1.09107,57.5447,15.37726,1131.56552,23.64522,29.97959,71.00791,6.17481,35.54625,41.97946,33.66487,26.17116,2.07423
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
