,专用设备制造业私营工业企业利息支出,交通运输设备制造业私营工业企业利息支出,仪器仪表及文化、办公用机械制造业私营工业企业利息支出,其他采矿业私营工业企业利息支出,农副食品加工业私营工业企业利息支出,化学原料及化学制品制造业私营工业企业利息支出,化学纤维制造业私营工业企业利息支出,医药制造业私营工业企业利息支出,印刷业和记录媒介的复制私营工业企业利息支出,塑料制品业私营工业企业利息支出,家具制造业私营工业企业利息支出,工艺品及其他制造业私营工业企业利息支出,废弃资源和废旧材料回收加工业私营工业企业利息支出,文教体育用品制造业私营工业企业利息支出,有色金属冶炼及压延加工业私营工业企业利息支出,有色金属矿采选业私营工业企业利息支出,木材加工及木、竹、藤、棕、草制品业私营工业企业利息支出,橡胶制品业私营工业企业利息支出,水的生产和供应业私营工业企业利息支出,烟草制品业私营工业企业利息支出,煤炭开采和洗选业私营工业企业利息支出,燃气生产和供应业私营工业企业利息支出,电力、热力的生产和供应业私营工业企业利息支出,电气机械及器材制造业私营工业企业利息支出,皮革、毛皮、羽毛(绒)及其制品业私营工业企业利息支出,石油加工、炼焦及核燃料加工业私营工业企业利息支出,石油和天然气开采业私营工业企业利息支出,私营工业企业利息支出,纺织业私营工业企业利息支出,纺织服装、鞋、帽制造业私营工业企业利息支出,通信设备、计算机及其他电子设备制造私营工业企业利息支出,通用设备制造业私营工业企业利息支出,造纸及纸制品业私营工业企业利息支出,金属制品业私营工业企业利息支出,非金属矿物制品业私营工业企业利息支出,非金属矿采选业私营工业企业利息支出,食品制造业私营工业企业利息支出,饮料制造业私营工业企业利息支出,黑色金属冶炼及压延加工业私营工业企业利息支出,黑色金属矿采选业私营工业企业利息支出
2003年,5.65028,6.64443,0.99554,0.00433,11.39077,13.1496,2.72616,3.56458,1.77921,5.4175,1.76988,2.11027,0.05069,1.30829,6.23946,0.71593,3.52335,1.52342,0.09989,0.00952,1.69095,0.13945,2.18811,10.28958,3.32621,4.24997,,182.31695,23.69861,5.59147,2.29217,10.32143,6.09722,8.134,17.21407,0.82436,3.719,2.31648,10.26431,1.28646
2004年,7.38054,11.45807,1.67043,0.00416,20.36104,20.18741,5.08146,5.83717,2.83331,9.14178,2.72429,2.88503,0.2016,1.71006,10.08633,1.3268,5.43342,3.23935,0.23459,,3.65648,0.11608,4.30859,14.93599,4.65476,9.8859,0.02317,301.05,41.67677,6.39881,3.64963,17.44077,9.17199,12.78206,27.78774,1.54588,5.2155,3.76081,18.88576,3.35194
2005年,9.92243,15.97064,1.99149,0.01953,24.87823,26.75696,8.44689,7.67522,3.31122,12.38123,3.93209,4.79759,0.24603,2.24817,12.40387,1.64055,6.17736,3.34149,0.46735,0.0008,4.78787,0.20232,5.00454,18.79032,5.51898,11.58354,0.01492,390.54972,53.14017,9.50823,4.5977,25.42852,10.79343,16.51557,35.96601,1.84411,6.98076,4.47956,24.65975,4.12428
2006年,12.51893,20.18173,2.72415,0.01732,31.53121,35.37922,13.98152,9.78123,4.29556,15.52048,5.18877,6.44635,0.29392,2.97463,17.52015,2.44704,8.48458,4.43849,0.90388,0.00222,6.57844,0.2204,10.13027,27.31952,8.05295,14.49658,0.01022,520.69,67.69553,11.67459,6.66811,33.11642,13.94963,24.12428,45.22454,2.74395,9.16276,6.3527,32.53065,6.00464
2007年,18.19868,27.52887,4.7295,0.03658,46.97236,50.87386,22.72035,12.88933,6.45695,22.495,7.66961,8.6942,0.74251,4.06358,24.30731,3.29855,13.55841,6.32127,1.20751,0.02145,9.11003,0.79626,14.7874,45.52244,9.60412,20.92401,0.02762,746.55687,95.45507,15.08089,9.55189,48.41052,19.183,35.91033,57.76433,3.75756,13.68108,9.16465,46.09775,8.94204
2008年,31.30217,49.54177,9.7301,0.03492,69.55034,77.10496,21.79913,18.60744,9.53862,34.11323,11.78431,12.65206,2.3802,6.23219,40.3156,5.01009,21.51105,9.7464,1.74741,0.04756,16.27706,0.69602,19.71973,69.52217,16.29423,28.6565,0.49434,1119.67996,126.94865,24.61254,16.83864,79.26961,25.41978,53.79309,84.65487,5.77307,21.17172,14.76357,68.62146,13.40336
2009年,35.93867,61.27697,9.58332,0.02569,81.42357,84.92986,18.66981,20.44257,9.85739,33.96506,11.7147,14.25186,2.61702,5.73726,40.23143,5.67852,22.90744,11.12786,2.06511,0.07783,17.01243,0.82254,24.97594,69.25324,19.04565,28.75252,1.08528,1178.02829,131.80133,26.58518,16.51678,79.5975,24.45554,55.37429,92.43985,8.23021,22.0396,17.13048,55.91741,14.47058
2010年,46.54698,83.32055,10.12908,0.08503,104.83834,117.07915,19.92982,24.4112,12.50009,45.53604,16.24554,17.4247,4.18465,7.67457,60.84629,7.72444,28.54615,15.23116,2.0864,0.0736,30.21796,1.34401,30.16763,97.77903,24.14074,36.61849,0.9148,1535.3029,142.63776,31.1047,24.12785,103.79968,31.00111,72.42868,119.15029,9.47285,28.3794,21.37738,85.28982,20.93694
2011年,71.80446,114.42042,19.06699,0.11037,118.57943,146.97612,31.90046,31.64003,15.77059,54.69442,21.87056,21.66918,6.19767,8.26211,95.24597,10.21206,34.20074,19.807,2.2148,0.08949,50.22815,1.50244,25.9428,147.39597,35.09721,56.02938,0.99479,2026.77999,179.60167,36.57338,33.72569,134.40593,38.85182,94.33988,147.30819,10.96983,33.31824,23.68663,117.55707,34.51805
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
