,专用设备制造业私营工业企业主营业务收入,交通运输设备制造业私营工业企业主营业务收入,仪器仪表及文化、办公用机械制造业私营工业企业主营业务收入,其他采矿业私营工业企业主营业务收入,农副食品加工业私营工业企业主营业务收入,化学原料及化学制品制造业私营工业企业主营业务收入,化学纤维制造业私营工业企业主营业务收入,医药制造业私营工业企业主营业务收入,印刷业和记录媒介的复制私营工业企业主营业务收入,塑料制品业私营工业企业主营业务收入,家具制造业私营工业企业主营业务收入,工艺品及其他制造业私营工业企业主营业务收入,废弃资源和废旧材料回收加工业私营工业企业主营业务收入,文教体育用品制造业私营工业企业主营业务收入,有色金属冶炼及压延加工业私营工业企业主营业务收入,有色金属矿采选业私营工业企业主营业务收入,木材加工及木、竹、藤、棕、草制品业私营工业企业主营业务收入,橡胶制品业私营工业企业主营业务收入,水的生产和供应业私营工业企业主营业务收入,烟草制品业私营工业企业主营业务收入,煤炭开采和洗选业私营工业企业主营业务收入,燃气生产和供应业私营工业企业主营业务收入,电力、热力的生产和供应业私营工业企业主营业务收入,电气机械及器材制造业私营工业企业主营业务收入,皮革、毛皮、羽毛(绒)及其制品业私营工业企业主营业务收入,石油加工、炼焦及核燃料加工业私营工业企业主营业务收入,石油和天然气开采业私营工业企业主营业务收入,私营工业企业主营业务收入,纺织业私营工业企业主营业务收入,纺织服装、鞋、帽制造业私营工业企业主营业务收入,通信设备、计算机及其他电子设备制造私营工业企业主营业务收入,通用设备制造业私营工业企业主营业务收入,造纸及纸制品业私营工业企业主营业务收入,金属制品业私营工业企业主营业务收入,非金属矿物制品业私营工业企业主营业务收入,非金属矿采选业私营工业企业主营业务收入,食品制造业私营工业企业主营业务收入,饮料制造业私营工业企业主营业务收入,黑色金属冶炼及压延加工业私营工业企业主营业务收入,黑色金属矿采选业私营工业企业主营业务收入
2003年,602.18571,881.6271,128.49633,0.35423,1446.33266,1388.27924,284.37014,246.89369,162.51818,737.40764,201.63492,290.38087,16.51332,199.58091,666.49745,60.11834,400.28547,157.4098,3.1962,0.74918,117.3596,5.71175,42.50596,1226.63749,550.15698,288.04711,0.2378,19733.77,2177.86211,843.28863,368.81311,1185.11048,516.44918,1106.61013,1359.19254,118.57496,370.08409,202.85987,1277.44177,101.99859
2004年,954.95367,1415.88246,224.4755,0.70701,2397.83353,2243.1725,483.84248,366.00577,276.067,1131.21929,311.10467,458.72363,55.52642,292.57998,1285.97058,140.0611,620.62224,335.2078,7.31739,0.20923,354.99218,9.99926,58.55686,1965.9608,720.83617,642.86351,2.92634,33487.25,3753.42022,1058.95359,723.18266,2213.24958,850.57429,1637.19552,2284.10391,169.63954,532.45253,299.60156,2913.61989,293.63931
2005年,1276.01184,1834.17518,298.08003,1.02928,3302.18875,3143.70618,708.98787,590.21531,353.13496,1567.48538,450.23816,668.73081,105.04057,372.12784,1713.93024,222.16213,892.84666,374.40453,11.82236,1.1302,681.94005,15.4102,84.14684,2608.39556,923.9422,854.27768,4.57419,45801.43,4903.14742,1480.29652,904.07226,3038.85079,1086.02356,2225.61793,3073.15071,255.37219,796.39176,433.86419,4080.66228,463.84728
2006年,1805.20899,2562.06204,446.99406,2.39668,4589.60867,4545.95899,971.49493,891.638,471.1805,2183.78559,655.73227,894.30587,176.14539,449.10426,2874.15882,395.97929,1314.02718,558.38835,16.9308,0.72518,1030.3439,23.50912,167.60837,4027.68471,1263.23182,1200.1233,7.6822,64817.7,6516.78435,1957.81501,1161.15564,4458.96225,1474.19341,3242.13072,4381.74776,417.12738,1139.03998,665.99207,5156.62776,720.11141
2007年,2583.54722,3554.09404,622.23836,6.08958,6448.85686,6453.48641,1323.76073,1191.94699,635.74993,3075.45879,940.53226,1199.96881,330.71487,572.10927,4324.57022,602.53102,1966.05184,768.48151,24.60833,0.4264,1538.08828,45.28878,223.0183,5620.31603,1677.81869,1650.96171,13.04218,90277.81,8331.34705,2458.34956,1657.74897,6363.88538,1942.06628,4557.02061,6210.06576,597.86457,1598.38737,954.23426,7089.8093,1123.27068
2008年,4159.4176,5908.28345,970.93219,7.07411,9693.84711,9503.3559,1383.56068,1704.15523,988.8571,4193.92914,1384.64664,1679.4859,485.74416,748.86384,5752.84613,778.3876,3030.81956,1223.33889,34.23386,4.07352,2877.23598,76.19858,293.78469,8130.58428,2185.5228,2547.37592,34.5699,131525.4,10452.54751,3767.39636,2255.21056,9729.4861,2758.86277,6573.13594,9555.34815,926.59244,2308.71546,1447.81953,9930.79995,2038.361
2009年,5217.99976,7318.04829,1271.96545,11.47576,12287.09414,11600.41359,1416.22578,2152.33685,1178.88804,4955.31207,1692.46968,1997.36274,608.02209,881.95628,6422.90475,854.14867,3781.58483,1483.42415,52.9062,3.71315,3398.83294,111.31749,387.06453,9856.05215,2444.79558,2580.84446,81.56413,156603.57,12605.7561,4426.38884,2759.38889,11580.49387,3093.08747,7707.58192,11936.28296,1250.85815,2877.34607,1964.7158,10143.73187,2209.21074
2010年,7072.72407,10232.25992,1619.68408,22.06654,15946.44812,15397.64003,1727.50278,2902.84947,1502.4952,6615.74877,2230.85559,2498.59263,1063.60761,1115.78377,8901.89296,1244.23742,4909.32848,1986.66691,70.46718,4.53759,5032.17666,180.92061,562.98348,13412.39842,3112.25953,3511.58281,88.31895,207838.22,14818.24449,5455.60412,3993.9256,15595.07076,4064.13018,9981.88576,15707.69046,1741.94352,3971.72612,2605.44053,13519.32891,3417.20469
2011年,9053.23771,11519.44527,2004.08414,8.22104,19650.3116,18927.57085,2302.36511,3757.76682,1612.79917,7282.31955,2522.25589,3043.42168,1237.14828,1107.62021,10881.91418,1662.31582,5919.70803,2618.47401,76.62729,4.52208,6368.31547,185.11914,584.50261,16224.09491,3477.54484,4649.00354,70.03749,247277.89,16166.36943,5919.32009,4692.87671,17869.79314,4512.39202,11359.32753,19225.0946,2155.20681,4744.1477,3196.937,16261.38814,4424.291
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
