,专用设备制造业私营工业企业应付帐款,交通运输设备制造业私营工业企业应付帐款,仪器仪表及文化、办公用机械制造业私营工业企业应付帐款,其他采矿业私营工业企业应付帐款,农副食品加工业私营工业企业应付帐款,化学原料及化学制品制造业私营工业企业应付帐款,化学纤维制造业私营工业企业应付帐款,医药制造业私营工业企业应付帐款,印刷业和记录媒介的复制私营工业企业应付帐款,塑料制品业私营工业企业应付帐款,家具制造业私营工业企业应付帐款,工艺品及其他制造业私营工业企业应付帐款,废弃资源和废旧材料回收加工业私营工业企业应付帐款,文教体育用品制造业私营工业企业应付帐款,有色金属冶炼及压延加工业私营工业企业应付帐款,有色金属矿采选业私营工业企业应付帐款,木材加工及木、竹、藤、棕、草制品业私营工业企业应付帐款,橡胶制品业私营工业企业应付帐款,水的生产和供应业私营工业企业应付帐款,烟草制品业私营工业企业应付帐款,煤炭开采和洗选业私营工业企业应付帐款,燃气生产和供应业私营工业企业应付帐款,电力、热力的生产和供应业私营工业企业应付帐款,电气机械及器材制造业私营工业企业应付帐款,皮革、毛皮、羽毛(绒)及其制品业私营工业企业应付帐款,石油加工、炼焦及核燃料加工业私营工业企业应付帐款,石油和天然气开采业私营工业企业应付帐款,私营工业企业应付帐款,纺织业私营工业企业应付帐款,纺织服装、鞋、帽制造业私营工业企业应付帐款,通信设备、计算机及其他电子设备制造私营工业企业应付帐款,通用设备制造业私营工业企业应付帐款,造纸及纸制品业私营工业企业应付帐款,金属制品业私营工业企业应付帐款,非金属矿物制品业私营工业企业应付帐款,非金属矿采选业私营工业企业应付帐款,食品制造业私营工业企业应付帐款,饮料制造业私营工业企业应付帐款,黑色金属冶炼及压延加工业私营工业企业应付帐款,黑色金属矿采选业私营工业企业应付帐款
2003年,65.20723,112.96833,19.76646,0.007,72.65716,116.13238,14.43968,29.66266,22.41604,62.29685,13.94999,19.20681,0.47563,18.7767,50.12882,3.01367,20.76162,13.30668,0.14128,0.01432,9.19814,1.01364,7.75956,150.92657,37.55602,28.00093,0.07729,1725.3871,135.78549,68.32082,56.16341,140.54338,51.15149,92.15692,129.22862,6.92134,29.78622,19.97794,95.0595,10.43051
2004年,127.72915,186.1358,33.82107,0.04037,126.34143,199.69731,28.73192,44.7231,44.1404,99.50558,27.07678,36.0522,3.86232,30.53757,86.76138,9.88464,40.52901,28.9226,0.84118,0.00021,24.79078,0.81789,11.15427,255.47043,54.56695,82.30932,0.84434,3217.5,317.50961,103.50669,108.82335,259.45447,90.32212,149.47948,255.41404,12.86837,48.55065,28.38504,225.6205,32.28091
2005年,135.99939,205.92745,37.27176,0.05535,142.1631,236.7855,28.37691,55.91388,46.89036,122.33359,30.35317,41.16578,5.41424,33.17963,103.83311,10.8627,42.38507,28.03837,1.30171,0.13017,39.72417,1.30817,17.76972,313.96021,62.41779,92.25217,0.76229,3788.10034,334.03446,116.69532,137.89258,308.01155,97.58672,177.08161,303.48044,12.86983,62.78494,39.38361,320.98632,40.7172
2006年,176.49901,276.14314,51.05461,0.02489,180.0595,320.04472,45.37075,73.13088,57.54703,157.35535,45.80489,51.44866,9.4275,34.1324,159.78218,16.5589,56.00171,37.66656,2.30965,0.16273,58.84006,1.88427,36.4312,399.12453,91.71459,132.3267,2.86539,4909.03,429.79325,145.42565,165.83815,414.23359,115.35137,228.91827,367.21471,19.73288,66.04024,46.74326,379.38879,56.63573
2007年,244.64043,365.8569,75.91876,0.31088,203.22426,412.63666,64.52091,88.30188,75.02623,195.25924,56.59266,64.21561,20.47902,45.16943,231.29832,28.21846,78.55331,47.99373,2.24227,0.06509,86.26166,4.68228,43.46426,517.85424,102.34284,151.23031,3.46784,6280.82051,525.61284,170.87365,218.95344,519.57456,137.60433,312.46308,454.28376,25.25438,89.79708,59.28847,477.08627,80.20117
2008年,373.15642,563.11565,121.14501,0.1247,292.65027,560.34697,57.10857,119.38078,106.29203,277.90546,93.18401,82.87831,44.09751,53.24088,283.67605,38.98849,116.93664,88.86456,8.05753,0.36031,164.09412,4.89291,64.78816,718.66004,128.41198,222.13271,6.0073,8893.55857,655.76668,242.94286,282.10398,762.34625,192.3955,434.92688,687.74614,32.51143,121.71912,85.819,660.65715,144.12621
2009年,431.86108,692.90855,130.83296,0.29393,336.82631,639.29576,77.16875,131.66041,116.97281,295.0374,97.36653,95.16432,42.80833,58.16516,287.41753,43.28399,119.96483,83.31936,7.00418,0.41805,170.087,9.53277,83.81207,831.00258,128.81254,245.34766,6.75899,9837.22801,692.37465,264.53608,388.82038,823.41435,187.81455,497.75832,780.84131,37.41147,142.14391,99.87469,622.07391,137.04054
2010年,525.89251,948.27632,151.10953,0.69994,393.70739,752.70815,93.35319,153.42538,146.33175,356.27186,121.4556,121.14167,54.94915,63.77536,378.68318,41.31035,126.778,112.64815,7.15334,0.36883,251.12166,9.65482,109.11426,1073.74098,156.30456,352.43719,7.59903,11932.92164,694.92214,303.36802,476.14742,998.79476,230.06725,575.01705,919.11571,43.40345,161.63407,103.73307,763.66595,153.0406
2011年,581.57852,877.94553,185.67055,0.37912,450.24739,843.86695,110.24116,163.54985,110.05095,329.13156,114.60992,124.89591,56.50915,51.67263,423.01976,49.56332,125.49599,113.46146,7.63033,1.57814,306.57154,8.11461,86.73868,1163.4167,146.12404,361.48026,4.77999,12671.56579,655.92942,298.56989,495.10984,993.01208,224.37772,644.88591,1031.15977,45.54891,173.23196,99.14932,1010.48889,201.77807
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
