,专用设备制造业私营工业企业国家资本金,交通运输设备制造业私营工业企业国家资本金,仪器仪表及文化、办公用机械制造业私营工业企业国家资本金,其他采矿业私营工业企业国家资本金,农副食品加工业私营工业企业国家资本金,化学原料及化学制品制造业私营工业企业国家资本金,化学纤维制造业私营工业企业国家资本金,医药制造业私营工业企业国家资本金,印刷业和记录媒介的复制私营工业企业国家资本金,塑料制品业私营工业企业国家资本金,家具制造业私营工业企业国家资本金,工艺品及其他制造业私营工业企业国家资本金,废弃资源和废旧材料回收加工业私营工业企业国家资本金,文教体育用品制造业私营工业企业国家资本金,有色金属冶炼及压延加工业私营工业企业国家资本金,有色金属矿采选业私营工业企业国家资本金,木材加工及木、竹、藤、棕、草制品业私营工业企业国家资本金,橡胶制品业私营工业企业国家资本金,水的生产和供应业私营工业企业国家资本金,烟草制品业私营工业企业国家资本金,煤炭开采和洗选业私营工业企业国家资本金,燃气生产和供应业私营工业企业国家资本金,电力、热力的生产和供应业私营工业企业国家资本金,电气机械及器材制造业私营工业企业国家资本金,皮革、毛皮、羽毛(绒)及其制品业私营工业企业国家资本金,石油加工、炼焦及核燃料加工业私营工业企业国家资本金,石油和天然气开采业私营工业企业国家资本金,私营工业企业国家资本金,纺织业私营工业企业国家资本金,纺织服装、鞋、帽制造业私营工业企业国家资本金,通信设备、计算机及其他电子设备制造私营工业企业国家资本金,通用设备制造业私营工业企业国家资本金,造纸及纸制品业私营工业企业国家资本金,金属制品业私营工业企业国家资本金,非金属矿物制品业私营工业企业国家资本金,非金属矿采选业私营工业企业国家资本金,食品制造业私营工业企业国家资本金,饮料制造业私营工业企业国家资本金,黑色金属冶炼及压延加工业私营工业企业国家资本金,黑色金属矿采选业私营工业企业国家资本金
2003年,0.79553,0.55237,1.01206,,1.18216,1.90123,,0.50761,0.16224,0.16287,0.12122,,,0.0151,0.09002,0.14084,0.04625,0.15329,0.12713,,0.07528,,0.98307,0.20813,0.02,0.0003,,15.53924,0.84192,0.06096,0.16,0.60003,0.27919,0.15432,3.5813,0.02148,0.19749,0.09387,1.27198,0.02
2004年,0.92569,0.68979,0.27883,,1.48113,0.65338,0.0025,0.93651,0.03682,0.27563,0.07992,0.1924,,,0.25905,0.10621,0.26631,0.04793,,,0.59741,,0.39761,0.28643,0.04527,0.34668,,18.42,0.20627,0.05117,0.1197,0.94504,0.42428,0.23563,4.49125,0.17013,0.28676,0.93317,2.58425,0.06479
2005年,0.42337,1.36814,0.18128,,2.34149,1.85712,0.005,0.85601,0.27562,0.17438,0.07583,0.11778,,0.0721,0.687,0.10595,0.08211,0.104,1.44095,,0.70698,,0.35705,1.75985,0.09367,0.92971,,26.43487,1.28868,0.0267,0.18499,0.94434,0.33669,0.20788,2.61196,0.054,2.9564,0.80225,3.00559,
2006年,0.3144,0.72986,0.48434,,2.60329,1.24256,1.26347,0.2634,0.04956,0.22662,0.06127,0.00865,,0.0108,6.55626,0.64794,0.26345,0.01876,0.29854,,1.09625,0.012,0.91512,0.72359,0.0574,1.7291,,25.85,0.24373,0.00316,0.35313,0.72755,0.05557,0.10465,1.582,0.08652,0.83157,0.19241,2.04019,0.051
2007年,0.87449,0.35671,0.07302,,3.3334,1.36871,1.251,1.10522,0.18569,0.1688,0.06552,0.0509,,,0.45732,0.79482,0.29847,0.06625,0.28635,,1.65015,0.11895,4.22601,0.52839,0.0162,1.17528,,31.22013,2.47485,0.1258,0.16366,1.4685,0.89275,0.15941,1.77336,0.56896,1.21923,0.26358,3.65212,0.00626
2008年,2.26485,4.54758,0.57184,,9.86463,2.45386,1.27,2.12313,0.69226,0.3216,0.10222,0.30579,,0.038,0.12247,0.67702,0.56854,0.77567,1.32404,,1.14986,0.315,2.10136,1.54513,0.1635,0.0751,,50.25894,2.42189,0.63307,0.29994,1.38281,0.15325,0.99602,5.0058,0.9475,2.23345,0.80837,1.5184,0.48499
2009年,1.21935,6.61116,0.64246,,4.53869,14.0767,1.32962,1.87858,0.50046,1.09767,0.17872,0.27966,0.1505,0.24715,2.39927,0.71956,0.53932,0.25178,1.09137,,0.52449,0.515,2.68057,7.94145,0.03384,0.61445,,73.29882,2.5851,0.29951,1.29399,3.23614,0.54632,2.25727,8.19439,0.9286,1.61025,1.25385,0.99665,0.03493
2010年,2.94165,6.48388,0.60281,,6.04613,4.36591,1.25,1.62972,0.24966,0.84952,0.07672,0.1,0.052,1.86711,7.44038,0.88942,0.38831,0.0985,1.31781,,4.82933,,11.68968,5.08138,0.27325,0.56425,0.56636,86.98913,2.50627,0.12647,1.85061,4.80274,0.91028,1.70589,6.40056,2.7666,3.16215,1.20253,1.03165,0.8696
2011年,2.99552,3.24921,0.73719,,3.60422,5.52436,,6.53664,0.3192,2.51693,0.24283,0.19787,0.5,0.0913,3.46525,1.6512,0.57999,0.08866,0.9707,,3.33024,0.13568,11.86051,6.94753,0.328,0.1784,,87.33503,1.478,1.29409,2.7193,4.67106,1.15765,1.27136,9.83807,0.69179,1.05788,3.79544,2.07581,1.23315
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
