,专用设备制造业私营工业企业本年应交增值税,交通运输设备制造业私营工业企业本年应交增值税,仪器仪表及文化、办公用机械制造业私营工业企业本年应交增值税,其他采矿业私营工业企业本年应交增值税,农副食品加工业私营工业企业本年应交增值税,化学原料及化学制品制造业私营工业企业本年应交增值税,化学纤维制造业私营工业企业本年应交增值税,医药制造业私营工业企业本年应交增值税,印刷业和记录媒介的复制私营工业企业本年应交增值税,塑料制品业私营工业企业本年应交增值税,家具制造业私营工业企业本年应交增值税,工艺品及其他制造业私营工业企业本年应交增值税,废弃资源和废旧材料回收加工业私营工业企业本年应交增值税,文教体育用品制造业私营工业企业本年应交增值税,有色金属冶炼及压延加工业私营工业企业本年应交增值税,有色金属矿采选业私营工业企业本年应交增值税,木材加工及木、竹、藤、棕、草制品业私营工业企业本年应交增值税,橡胶制品业私营工业企业本年应交增值税,水的生产和供应业私营工业企业本年应交增值税,烟草制品业私营工业企业本年应交增值税,煤炭开采和洗选业私营工业企业本年应交增值税,燃气生产和供应业私营工业企业本年应交增值税,电力、热力的生产和供应业私营工业企业本年应交增值税,电气机械及器材制造业私营工业企业本年应交增值税,皮革、毛皮、羽毛(绒)及其制品业私营工业企业本年应交增值税,石油加工、炼焦及核燃料加工业私营工业企业本年应交增值税,石油和天然气开采业私营工业企业本年应交增值税,私营工业企业本年应交增值税,纺织业私营工业企业本年应交增值税,纺织服装、鞋、帽制造业私营工业企业本年应交增值税,通信设备、计算机及其他电子设备制造私营工业企业本年应交增值税,通用设备制造业私营工业企业本年应交增值税,造纸及纸制品业私营工业企业本年应交增值税,金属制品业私营工业企业本年应交增值税,非金属矿物制品业私营工业企业本年应交增值税,非金属矿采选业私营工业企业本年应交增值税,食品制造业私营工业企业本年应交增值税,饮料制造业私营工业企业本年应交增值税,黑色金属冶炼及压延加工业私营工业企业本年应交增值税,黑色金属矿采选业私营工业企业本年应交增值税
2003年,19.64894,24.46852,5.02217,0.01446,21.35987,40.96127,4.9856,11.52739,5.76844,21.06606,5.46751,9.36581,0.39833,5.71257,17.12141,2.2732,9.98423,5.99444,0.1758,0.05414,6.83073,0.07208,2.45195,35.75924,14.64983,16.06216,0.00268,589.24,56.18863,26.00707,13.78942,40.49483,16.22068,28.68076,59.92175,4.24185,10.23201,6.70895,34.88784,4.67071
2004年,31.51714,38.78519,8.25259,0.02711,32.4482,57.24826,7.79671,14.99786,9.21325,28.99268,8.12073,13.18498,1.08065,7.34086,36.84202,7.30495,15.80229,8.99677,0.28355,0.00741,21.18355,0.1451,3.14059,54.98435,18.17663,40.13162,0.11354,964.44,92.06591,30.31329,20.22275,68.86995,26.52515,41.07482,95.6109,6.79625,13.01178,9.86854,74.98933,18.97704
2005年,43.75471,48.38586,10.67059,0.05992,54.20309,85.11307,8.88058,22.9894,11.50845,39.51665,12.42846,19.58724,2.44733,9.96419,43.17954,12.10496,24.36997,12.2455,0.53514,0.00648,42.02778,0.36631,4.4511,71.40717,27.28545,46.50534,0.14855,1336.63,118.04035,40.4497,25.14411,99.40177,34.5632,59.92905,122.26795,11.34727,22.09906,15.10934,104.34404,29.79619
2006年,57.75386,67.50369,16.41687,0.09492,82.4632,122.91114,12.14986,32.97806,15.51705,53.02021,17.51605,25.5772,4.26701,12.40358,78.71442,23.77199,33.77652,17.66332,0.65447,0.02748,62.13756,0.87363,10.30699,99.68413,40.20627,54.31139,0.18134,1868.62,157.85465,54.65505,31.49274,139.77303,45.59704,82.43502,170.51971,15.88442,33.86387,21.39169,131.28432,40.98328
2007年,83.45159,95.70747,22.70391,0.16267,119.13852,184.70238,20.49569,44.42605,21.25542,75.80943,22.67572,33.16095,7.55088,16.02478,124.91137,37.99956,54.19764,23.86525,1.15759,0.00497,93.41312,1.57141,12.68872,144.7214,46.06795,76.88981,0.83161,2698.44,211.68956,71.80869,45.20556,198.36137,64.60641,122.49067,251.35998,22.45947,47.82231,32.08915,199.09648,65.86849
2008年,141.78995,175.32248,35.90411,0.20951,226.69445,313.30145,26.14207,72.05451,35.09048,119.01185,42.66304,46.11869,13.49664,24.01215,177.28421,40.55908,95.75411,41.71488,1.25413,0.08173,188.84563,2.80895,13.01055,253.2822,74.4178,122.12567,1.10568,4378.36,305.99144,113.84934,69.05716,337.62533,101.24493,194.50021,401.34474,37.63325,77.58255,54.71825,276.54486,124.20816
2009年,165.50708,191.59103,44.19783,0.22699,246.70419,316.03725,20.33528,82.69484,37.82122,126.86808,43.05574,52.97276,15.13315,24.38441,162.93376,35.05083,112.14109,43.5426,1.7406,0.12748,219.88282,3.16656,15.31671,269.02191,71.51203,83.93019,2.61901,4546.76,318.08904,123.83204,73.97341,350.35769,91.06022,198.32347,444.07963,46.10298,83.1455,67.7364,255.23102,106.31448
2010年,218.3099,276.02148,55.51005,0.63659,331.80018,417.89985,31.16221,111.92617,46.6546,165.94194,60.47361,67.11503,27.45678,31.21395,253.64457,49.87721,136.61023,58.27088,2.22679,0.12537,326.17035,5.515,19.99394,372.85488,89.67187,97.79985,1.81212,6063.91,384.39563,154.1005,104.23556,458.71746,116.52612,268.41294,570.61072,63.42629,113.86895,88.01698,308.69306,176.2081
2011年,259.68909,298.53268,67.77267,0.16062,401.89671,513.45553,54.23207,134.96959,48.23371,182.66988,69.26452,78.47743,34.77511,30.66837,282.93109,65.5828,165.75071,60.5985,1.91575,0.19941,387.13506,3.76469,18.08583,415.82161,104.98289,112.91614,3.01837,7023.82,420.66038,161.20833,123.60098,501.69041,125.97654,306.15134,683.39969,76.07965,139.2225,98.09657,353.92075,236.3082
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
