,专用设备制造业私营工业企业单位数,交通运输设备制造业私营工业企业单位数,仪器仪表及文化、办公用机械制造业私营工业企业单位数,其他采矿业私营工业企业单位数,农副食品加工业私营工业企业单位数,化学原料及化学制品制造业私营工业企业单位数,化学纤维制造业私营工业企业单位数,医药制造业私营工业企业单位数,印刷业和记录媒介的复制私营工业企业单位数,塑料制品业私营工业企业单位数,家具制造业私营工业企业单位数,工艺品及其他制造业私营工业企业单位数,废弃资源和废旧材料回收加工业私营工业企业单位数,文教体育用品制造业私营工业企业单位数,有色金属冶炼及压延加工业私营工业企业单位数,有色金属矿采选业私营工业企业单位数,木材加工及木、竹、藤、棕、草制品业私营工业企业单位数,橡胶制品业私营工业企业单位数,水的生产和供应业私营工业企业单位数,烟草制品业私营工业企业单位数,煤炭开采和洗选业私营工业企业单位数,燃气生产和供应业私营工业企业单位数,电力、热力的生产和供应业私营工业企业单位数,电气机械及器材制造业私营工业企业单位数,皮革、毛皮、羽毛(绒)及其制品业私营工业企业单位数,石油加工、炼焦及核燃料加工业私营工业企业单位数,石油和天然气开采业私营工业企业单位数,私营工业企业单位数,纺织业私营工业企业单位数,纺织服装、鞋、帽制造业私营工业企业单位数,通信设备、计算机及其他电子设备制造私营工业企业单位数,通用设备制造业私营工业企业单位数,造纸及纸制品业私营工业企业单位数,金属制品业私营工业企业单位数,非金属矿物制品业私营工业企业单位数,非金属矿采选业私营工业企业单位数,食品制造业私营工业企业单位数,饮料制造业私营工业企业单位数,黑色金属冶炼及压延加工业私营工业企业单位数,黑色金属矿采选业私营工业企业单位数
2004年,4442.0,4494.0,1177.0,5.0,6742.0,7930.0,862.0,1357.0,1759.0,5564.0,1441.0,2154.0,142.0,1341.0,2568.0,537.0,3010.0,1279.0,56.0,2.0,1714.0,44.0,257.0,6652.0,2800.0,967.0,12.0,119357.0,13783.0,5086.0,2370.0,9863.0,3665.0,7123.0,8932.0,903.0,2040.0,1265.0,4028.0,991.0
2005年,4396.0,4713.0,1184.0,3.0,7615.0,8525.0,711.0,1573.0,1828.0,5689.0,1532.0,2274.0,203.0,1345.0,2577.0,625.0,3426.0,1258.0,67.0,2.0,2217.0,46.0,328.0,6609.0,2758.0,981.0,14.0,123820.0,12879.0,5053.0,2265.0,10244.0,3836.0,7230.0,9669.0,1074.0,2307.0,1486.0,3900.0,1378.0
2006年,5408.0,5644.0,1424.0,8.0,9256.0,10375.0,820.0,1940.0,2111.0,6983.0,1901.0,2760.0,257.0,1563.0,3081.0,881.0,4312.0,1592.0,92.0,3.0,2991.0,59.0,465.0,7859.0,3318.0,1086.0,21.0,149736.0,15491.0,5925.0,2653.0,12842.0,4359.0,8673.0,11534.0,1405.0,2757.0,1819.0,4300.0,1768.0
2007年,6641.0,6733.0,1741.0,16.0,10783.0,12108.0,964.0,2198.0,2514.0,8292.0,2257.0,3245.0,372.0,1888.0,3719.0,1093.0,5580.0,1879.0,99.0,1.0,3601.0,84.0,591.0,9505.0,3742.0,1112.0,22.0,177080.0,17716.0,6882.0,3356.0,15850.0,4786.0,10428.0,13515.0,1754.0,3240.0,2209.0,4460.0,2104.0
2008年,10334.0,10089.0,2551.0,13.0,14774.0,16017.0,1393.0,2669.0,3615.0,11601.0,3158.0,4225.0,626.0,2286.0,4891.0,1327.0,7789.0,2679.0,180.0,6.0,5181.0,181.0,859.0,13980.0,4826.0,1335.0,78.0,245850.0,22559.0,9469.0,4982.0,23755.0,6191.0,15290.0,18694.0,2574.0,4371.0,3029.0,5318.0,2955.0
2009年,10884.0,10595.0,2708.0,17.0,16169.0,16726.0,1369.0,2911.0,3808.0,12000.0,3396.0,4418.0,701.0,2351.0,4929.0,1308.0,8211.0,2750.0,191.0,8.0,5206.0,214.0,1012.0,14737.0,4880.0,1320.0,103.0,256031.0,22201.0,9764.0,5173.0,24300.0,6250.0,15752.0,20427.0,2832.0,4825.0,3387.0,5197.0,3001.0
2010年,11798.0,11638.0,2869.0,25.0,17114.0,17162.0,1362.0,3118.0,4083.0,13017.0,3661.0,4626.0,794.0,2500.0,5065.0,1346.0,8741.0,2953.0,223.0,8.0,5531.0,242.0,1092.0,15838.0,5273.0,1302.0,80.0,273259.0,23268.0,10359.0,5629.0,26385.0,6582.0,16679.0,22228.0,3174.0,5188.0,3729.0,5302.0,3275.0
2011年,7461.0,7463.0,1703.0,10.0,13130.0,12089.0,1208.0,2436.0,1978.0,7471.0,2485.0,2629.0,603.0,1354.0,3926.0,1058.0,6065.0,1847.0,104.0,5.0,4420.0,171.0,547.0,10638.0,3273.0,1015.0,46.0,180612.0,14883.0,6060.0,3667.0,15851.0,4182.0,9982.0,15779.0,2094.0,3658.0,2539.0,4246.0,2536.0
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
