,专用设备制造业私营工业企业集体资本金,交通运输设备制造业私营工业企业集体资本金,仪器仪表及文化、办公用机械制造业私营工业企业集体资本金,其他采矿业私营工业企业集体资本金,农副食品加工业私营工业企业集体资本金,化学原料及化学制品制造业私营工业企业集体资本金,化学纤维制造业私营工业企业集体资本金,医药制造业私营工业企业集体资本金,印刷业和记录媒介的复制私营工业企业集体资本金,塑料制品业私营工业企业集体资本金,家具制造业私营工业企业集体资本金,工艺品及其他制造业私营工业企业集体资本金,废弃资源和废旧材料回收加工业私营工业企业集体资本金,文教体育用品制造业私营工业企业集体资本金,有色金属冶炼及压延加工业私营工业企业集体资本金,有色金属矿采选业私营工业企业集体资本金,木材加工及木、竹、藤、棕、草制品业私营工业企业集体资本金,橡胶制品业私营工业企业集体资本金,水的生产和供应业私营工业企业集体资本金,烟草制品业私营工业企业集体资本金,煤炭开采和洗选业私营工业企业集体资本金,燃气生产和供应业私营工业企业集体资本金,电力、热力的生产和供应业私营工业企业集体资本金,电气机械及器材制造业私营工业企业集体资本金,皮革、毛皮、羽毛(绒)及其制品业私营工业企业集体资本金,石油加工、炼焦及核燃料加工业私营工业企业集体资本金,石油和天然气开采业私营工业企业集体资本金,私营工业企业集体资本金,纺织业私营工业企业集体资本金,纺织服装、鞋、帽制造业私营工业企业集体资本金,通信设备、计算机及其他电子设备制造私营工业企业集体资本金,通用设备制造业私营工业企业集体资本金,造纸及纸制品业私营工业企业集体资本金,金属制品业私营工业企业集体资本金,非金属矿物制品业私营工业企业集体资本金,非金属矿采选业私营工业企业集体资本金,食品制造业私营工业企业集体资本金,饮料制造业私营工业企业集体资本金,黑色金属冶炼及压延加工业私营工业企业集体资本金,黑色金属矿采选业私营工业企业集体资本金
2003年,2.31909,3.48342,0.18816,0.02,2.64968,8.20767,1.71324,1.80929,0.68145,2.63987,0.24945,0.5002,,0.1227,2.2237,0.71426,3.0641,0.49613,0.0618,,0.91742,,0.63763,5.06528,1.26569,0.59972,,81.41445,5.79923,2.6892,2.15604,4.22559,3.55702,4.12923,11.33782,0.92332,1.73859,1.04142,3.93568,0.25136
2004年,1.45575,1.81089,0.19804,,4.18589,4.57339,0.3354,3.02788,0.62094,1.61013,0.52869,0.30756,0.2,0.1704,1.76664,1.68471,0.87282,0.13274,0.49739,0.04625,3.14752,0.08035,0.63841,3.34413,0.45134,1.82861,,61.94,4.03834,1.18139,0.67967,3.74119,2.76184,3.40949,6.44922,0.58748,1.98668,0.50118,2.59773,0.49
2005年,1.8203,1.84504,1.09978,,5.95562,6.23386,1.1734,1.55365,0.58976,3.4902,0.68646,0.6996,0.0075,0.58844,4.82058,0.97856,1.19342,1.19093,0.11221,0.04625,2.8159,0.06796,0.9811,6.11583,1.4725,3.38646,0.36698,89.37496,5.64688,1.08236,1.34262,5.3646,2.71105,2.8505,10.42425,1.36307,1.48409,1.50265,5.69079,0.61981
2006年,1.26087,1.10786,0.16435,,4.12231,2.1042,0.11519,0.66024,0.63743,1.06892,0.14898,0.59811,0.02311,0.04793,3.84255,0.86978,0.78112,0.04173,0.16364,0.04625,0.93552,0.05596,0.34115,3.21731,0.19005,14.93508,,60.64,4.86403,0.4264,0.14003,4.06419,0.74055,1.28111,5.55258,0.97408,0.58806,1.49666,2.65208,0.38441
2007年,2.2889,2.61554,0.44979,,6.7687,6.91036,0.58938,2.27527,0.5325,0.91614,0.54394,0.39033,0.08437,0.30605,2.42973,2.90742,0.61784,0.75876,0.27422,,3.59741,,2.84845,8.33569,0.31429,0.09703,,81.83626,7.71384,1.05084,1.03636,2.59096,1.84208,1.76368,7.87585,1.39753,2.08677,3.66353,3.6715,0.29121
2008年,6.16087,4.17659,0.74323,,11.38068,16.33295,1.05415,2.7343,1.71649,3.28781,0.20658,0.19992,0.04685,0.17797,1.12196,1.0323,5.97889,1.36757,2.5946,,2.73778,0.05,1.51595,4.37237,0.52292,1.13048,,135.0747,4.52232,1.653,3.51442,4.28289,1.31028,7.97586,26.45473,2.28655,2.67691,2.85689,5.76303,1.13461
2009年,5.49267,4.53362,1.52016,,8.11862,10.41151,3.2628,1.41974,0.74738,1.93896,0.68215,2.74774,0.24349,0.33931,2.97859,0.85125,2.06074,1.10363,0.12,,4.61686,0.1262,2.77744,22.62634,0.22843,1.71162,1.4178,154.14506,12.96214,2.59733,5.77177,7.54755,1.5959,5.26306,22.59477,2.69766,2.9935,2.31981,3.79856,1.92596
2010年,4.50419,4.96298,1.31729,,18.04695,19.5667,8.27744,4.17488,2.16541,4.1071,1.00362,1.12786,1.03305,1.07843,8.54471,1.02191,1.8573,10.37053,0.2185,,6.02711,0.32,5.21858,10.80772,1.64873,1.85573,0.06,184.25961,7.96606,3.22651,2.52589,9.55697,1.92906,6.82071,18.70156,3.08194,1.7821,3.14315,3.99701,2.21193
2011年,4.2262,25.54606,2.26976,,5.8202,17.86763,7.2545,9.16433,2.90167,5.66198,0.63516,1.54567,0.1488,0.2984,8.49669,4.85096,1.52609,4.89971,0.34144,,11.66546,0.208,3.80634,10.19773,1.9096,2.47561,0.06,213.11872,10.45601,1.91776,4.90411,9.76872,3.30697,7.79638,18.22902,3.18418,3.6258,2.04414,12.12218,1.98546
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
