,专用设备制造业私营工业企业累计折旧,交通运输设备制造业私营工业企业累计折旧,仪器仪表及文化、办公用机械制造业私营工业企业累计折旧,其他采矿业私营工业企业累计折旧,农副食品加工业私营工业企业累计折旧,化学原料及化学制品制造业私营工业企业累计折旧,化学纤维制造业私营工业企业累计折旧,医药制造业私营工业企业累计折旧,印刷业和记录媒介的复制私营工业企业累计折旧,塑料制品业私营工业企业累计折旧,家具制造业私营工业企业累计折旧,工艺品及其他制造业私营工业企业累计折旧,废弃资源和废旧材料回收加工业私营工业企业累计折旧,文教体育用品制造业私营工业企业累计折旧,有色金属冶炼及压延加工业私营工业企业累计折旧,有色金属矿采选业私营工业企业累计折旧,木材加工及木、竹、藤、棕、草制品业私营工业企业累计折旧,橡胶制品业私营工业企业累计折旧,水的生产和供应业私营工业企业累计折旧,烟草制品业私营工业企业累计折旧,煤炭开采和洗选业私营工业企业累计折旧,燃气生产和供应业私营工业企业累计折旧,电力、热力的生产和供应业私营工业企业累计折旧,电气机械及器材制造业私营工业企业累计折旧,皮革、毛皮、羽毛(绒)及其制品业私营工业企业累计折旧,石油加工、炼焦及核燃料加工业私营工业企业累计折旧,石油和天然气开采业私营工业企业累计折旧,私营工业企业累计折旧,纺织业私营工业企业累计折旧,纺织服装、鞋、帽制造业私营工业企业累计折旧,通信设备、计算机及其他电子设备制造私营工业企业累计折旧,通用设备制造业私营工业企业累计折旧,造纸及纸制品业私营工业企业累计折旧,金属制品业私营工业企业累计折旧,非金属矿物制品业私营工业企业累计折旧,非金属矿采选业私营工业企业累计折旧,食品制造业私营工业企业累计折旧,饮料制造业私营工业企业累计折旧,黑色金属冶炼及压延加工业私营工业企业累计折旧,黑色金属矿采选业私营工业企业累计折旧
2003年,48.31403,57.35213,9.19081,0.01687,61.0855,119.97069,24.096,23.92846,21.79116,55.64197,14.15979,13.09911,0.27966,10.48567,38.1811,7.09865,21.27657,13.64074,2.17981,0.05719,12.81209,1.14964,22.29792,77.5825,20.39382,21.4506,0.04004,1531.69409,213.3327,44.92289,22.19524,111.01874,48.31454,67.04808,203.53834,8.49561,25.87832,20.49808,61.13777,7.74126
2004年,70.99872,92.92068,13.00683,0.0381,102.83188,176.22701,33.9603,41.1508,38.11785,81.14139,18.95784,20.85525,1.50808,15.77135,56.93148,13.73041,35.26076,25.0086,4.42273,0.01965,25.04806,1.79806,31.70161,103.26894,26.64481,41.38789,0.85674,2359.68,336.20853,56.47349,38.34938,165.038,78.60824,90.44218,311.11063,13.95251,42.53724,31.24673,105.61158,16.53343
2005年,92.76685,122.36929,18.55297,0.06014,139.23189,231.31226,56.58121,59.33795,52.94048,118.64062,25.92047,30.86631,3.10321,20.66192,96.07767,17.24343,45.70818,27.93542,8.22547,0.03641,36.26244,1.86349,38.11045,145.23669,36.56104,58.01376,1.88059,3241.98278,434.57901,79.20683,51.40791,228.53447,98.39795,138.88511,391.51559,18.46907,56.64891,40.53424,190.08138,28.2217
2006年,125.27996,174.56543,26.75508,0.11212,198.99866,336.20967,75.52172,87.84307,67.40549,159.84551,35.75316,41.66467,4.44594,23.56307,119.89079,26.05151,61.62702,38.68479,11.8688,0.04854,58.48522,2.91166,71.28452,203.97395,47.72849,87.13133,1.50926,4491.24,566.17052,108.86716,75.22354,308.90438,130.84855,210.30082,517.69579,28.29045,75.79426,54.11953,281.25066,44.61747
2007年,170.43117,228.73277,37.40247,0.46493,310.53854,459.01596,124.38776,121.26665,81.93963,208.05269,49.34766,54.88053,8.74673,30.83876,156.7555,36.77667,96.82411,49.69037,11.675,0.68304,95.89173,6.41568,96.23231,279.81092,61.647,112.77946,4.04064,6026.03504,696.37166,127.99361,99.28371,406.40514,162.57054,273.16512,687.41463,45.35459,104.35092,77.01502,355.62791,95.21351
2008年,305.83038,401.34524,68.81098,0.30853,506.20508,722.49576,143.29192,210.57841,147.4914,345.86238,85.99649,79.45943,19.65878,50.39096,306.01389,69.53665,183.84565,79.82766,16.26123,1.14186,159.32246,7.54857,140.173,482.01741,97.20649,156.04387,9.8643,9757.65787,1017.279,245.44388,185.4606,718.43544,247.01961,497.21299,1001.12301,77.76308,170.31064,109.71016,560.35902,131.01166
2009年,421.81436,490.53734,91.09254,2.59072,749.3811,876.23525,162.7787,242.65098,169.45448,432.28429,119.23627,102.63429,20.87546,59.09872,369.59279,53.97695,239.08141,101.06491,17.06095,1.24215,224.7501,10.81011,205.62596,670.79808,132.73043,198.34011,11.13278,12318.92661,1277.65895,286.58635,230.42937,875.3125,303.02997,576.45756,1255.87889,82.1825,220.06831,166.95712,709.93179,157.56207
2010年,600.6888,769.80584,131.68875,7.13614,1334.55778,1363.7286,190.41211,351.6937,210.18718,602.54256,163.13389,139.89433,38.99658,69.88586,551.84719,81.77808,339.72431,160.12989,19.39933,1.30193,600.9342,19.81781,244.31636,1116.8485,177.97058,392.16009,10.84784,18217.63423,1469.44252,341.1631,329.62525,1394.84212,389.55758,851.08194,1539.58958,139.65735,316.94998,241.47378,1299.13931,213.68349
2011年,934.44091,1207.92695,180.83539,1.70741,2258.72409,2262.45273,288.35385,425.81083,204.25209,749.40906,183.99027,201.22127,76.52268,82.2124,781.96448,108.72764,488.62954,325.63383,17.99291,0.59506,507.85962,20.64251,235.22317,1531.36013,235.28131,504.88142,42.41179,25473.61004,1749.04799,417.08301,440.94456,1887.21022,480.45382,1152.75135,2331.18658,244.83735,422.25388,309.00714,1872.39693,307.37387
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
