,专用设备制造业私营工业企业资产总计,交通运输设备制造业私营工业企业资产总计,仪器仪表及文化、办公用机械制造业私营工业企业资产总计,其他采矿业私营工业企业资产总计,农副食品加工业私营工业企业资产总计,化学原料及化学制品制造业私营工业企业资产总计,化学纤维制造业私营工业企业资产总计,医药制造业私营工业企业资产总计,印刷业和记录媒介的复制私营工业企业资产总计,塑料制品业私营工业企业资产总计,家具制造业私营工业企业资产总计,工艺品及其他制造业私营工业企业资产总计,废弃资源和废旧材料回收加工业私营工业企业资产总计,文教体育用品制造业私营工业企业资产总计,有色金属冶炼及压延加工业私营工业企业资产总计,有色金属矿采选业私营工业企业资产总计,木材加工及木、竹、藤、棕、草制品业私营工业企业资产总计,橡胶制品业私营工业企业资产总计,水的生产和供应业私营工业企业资产总计,烟草制品业私营工业企业资产总计,煤炭开采和洗选业私营工业企业资产总计,燃气生产和供应业私营工业企业资产总计,电力、热力的生产和供应业私营工业企业资产总计,电气机械及器材制造业私营工业企业资产总计,皮革、毛皮、羽毛(绒)及其制品业私营工业企业资产总计,石油加工、炼焦及核燃料加工业私营工业企业资产总计,石油和天然气开采业私营工业企业资产总计,私营工业企业资产总计,纺织业私营工业企业资产总计,纺织服装、鞋、帽制造业私营工业企业资产总计,通信设备、计算机及其他电子设备制造私营工业企业资产总计,通用设备制造业私营工业企业资产总计,造纸及纸制品业私营工业企业资产总计,金属制品业私营工业企业资产总计,非金属矿物制品业私营工业企业资产总计,非金属矿采选业私营工业企业资产总计,食品制造业私营工业企业资产总计,饮料制造业私营工业企业资产总计,黑色金属冶炼及压延加工业私营工业企业资产总计,黑色金属矿采选业私营工业企业资产总计
2003年,494.99089,648.03533,130.7326,0.18256,745.38609,993.33524,162.56341,315.38226,148.8716,497.25486,137.93176,166.57491,6.14013,122.36849,437.54387,42.96629,229.08504,115.95278,10.38208,1.52438,114.19371,7.53872,129.06581,940.76764,268.73818,256.56343,0.66315,14525.29,1634.34498,497.20212,329.36323,968.42293,420.27753,737.76843,1263.99331,71.53469,280.77523,204.73994,903.80357,88.3287
2004年,797.29546,1067.3106,197.40984,0.32618,1203.63065,1549.50423,339.15053,470.33519,271.59743,764.04059,218.07188,258.88588,21.92746,177.29507,677.47074,97.97558,390.19479,225.06695,22.55487,0.19516,254.49687,12.7239,209.26844,1417.56341,354.32832,606.10591,3.36452,23724.8,2729.66804,633.88835,547.14424,1617.9801,675.27304,1126.00983,2094.11574,110.11656,408.20616,309.48268,1648.74057,216.0805
2005年,946.93005,1340.83377,258.7664,0.32622,1516.10776,1941.62719,463.77116,626.50589,330.26377,1031.00251,281.39632,359.97068,35.4418,210.296,917.45147,138.318,455.51309,244.45314,34.54188,0.23972,412.27064,16.26918,293.95579,1781.85855,442.0337,740.35893,6.27452,30325.12,3354.95768,812.77334,649.98609,2123.28181,788.18197,1409.28815,2563.95462,150.78376,562.99457,402.23943,2298.47317,381.4283
2006年,1263.68772,1755.01172,356.60764,0.42769,2038.02618,2747.74414,596.86112,857.55938,421.03761,1338.64811,396.07672,473.56791,51.36493,245.50381,1289.86624,264.01697,630.30227,349.64352,48.64272,0.33507,624.18606,24.5091,536.94133,2488.86271,585.86794,979.04459,8.88831,40514.83,4243.5321,1037.34934,830.90909,2867.77731,1040.2896,1968.96723,3227.14056,234.95267,752.03194,514.83248,2925.25012,498.56695
2007年,1778.37232,2547.75583,499.42988,1.82666,2720.74381,3707.88848,982.15971,1049.14089,535.58943,1730.53044,532.37827,584.35381,88.85832,321.4345,1722.40751,405.01406,866.09494,430.65414,57.92272,3.88576,954.71641,50.3764,684.46384,3277.5759,712.54953,1179.95954,14.84925,53304.95,5228.51602,1235.18268,1181.45242,3833.75308,1214.89039,2666.27588,4153.08628,303.53688,955.53953,698.26809,3673.43481,720.07926
2008年,2834.52968,4096.57708,838.25489,2.34865,3864.95237,5337.02651,939.34726,1323.98274,805.35513,2424.49801,765.40182,824.52563,172.64715,406.94091,2351.86842,549.3682,1369.2141,701.46044,103.05,9.57358,1745.12607,64.72575,967.26902,4874.15609,960.46437,1630.27763,43.30398,75879.59,6434.44614,1929.70832,1623.69309,5818.14967,1604.4072,3769.68915,6017.40528,475.32648,1353.77103,1017.77459,4564.84043,1264.13033
2009年,3389.50139,4945.65176,1018.19148,3.95891,4893.29326,6497.10994,999.18988,1681.93595,912.98727,2776.93845,905.756,997.00928,238.36544,445.91966,2858.59412,604.89684,1543.29473,799.45142,121.75607,9.24824,2205.03339,98.34478,1263.90235,6178.08299,1079.52321,2090.82694,80.6849,91175.6,7696.24837,2149.76526,2006.27269,6782.16702,1844.39947,4473.57131,7289.59484,568.27833,1569.05265,1261.16102,5407.90667,1487.73486
2010年,4435.44447,6934.8413,1210.93688,9.80123,6074.21859,8337.29706,1197.50369,1990.98227,1110.45485,3531.40445,1184.83499,1204.2505,351.51255,560.20332,3907.42019,781.61529,1926.15266,1069.02238,133.68092,9.3241,3164.45941,137.17015,1629.19904,8455.64394,1316.80368,2520.64786,70.66592,116867.83,8369.30794,2670.34702,2867.84331,9304.68065,2246.40589,5659.97347,9124.23151,744.78461,2092.87617,1525.26607,7119.35095,1887.27126
2011年,5013.48021,7264.90636,1441.87966,7.21619,6826.48103,9328.81505,1467.09875,2283.95986,1028.49711,3538.34058,1302.70422,1332.19872,529.16417,517.36031,4558.36205,805.7341,1971.0684,1297.16026,113.89923,7.16175,3771.61973,127.43448,1349.97363,9678.49063,1384.74325,3029.61601,62.7925,127749.86,8560.78599,2816.18262,3100.94495,9034.9621,2235.58704,6808.87554,10091.53081,745.41085,2318.32572,1624.17134,8127.67513,2245.24698
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
