,专用设备制造业私营工业企业产成品,交通运输设备制造业私营工业企业产成品,仪器仪表及文化、办公用机械制造业私营工业企业产成品,其他采矿业私营工业企业产成品,农副食品加工业私营工业企业产成品,化学原料及化学制品制造业私营工业企业产成品,化学纤维制造业私营工业企业产成品,医药制造业私营工业企业产成品,印刷业和记录媒介的复制私营工业企业产成品,塑料制品业私营工业企业产成品,家具制造业私营工业企业产成品,工艺品及其他制造业私营工业企业产成品,废弃资源和废旧材料回收加工业私营工业企业产成品,文教体育用品制造业私营工业企业产成品,有色金属冶炼及压延加工业私营工业企业产成品,有色金属矿采选业私营工业企业产成品,木材加工及木、竹、藤、棕、草制品业私营工业企业产成品,橡胶制品业私营工业企业产成品,水的生产和供应业私营工业企业产成品,烟草制品业私营工业企业产成品,煤炭开采和洗选业私营工业企业产成品,燃气生产和供应业私营工业企业产成品,电力、热力的生产和供应业私营工业企业产成品,电气机械及器材制造业私营工业企业产成品,皮革、毛皮、羽毛(绒)及其制品业私营工业企业产成品,石油加工、炼焦及核燃料加工业私营工业企业产成品,石油和天然气开采业私营工业企业产成品,私营工业企业产成品,纺织业私营工业企业产成品,纺织服装、鞋、帽制造业私营工业企业产成品,通信设备、计算机及其他电子设备制造私营工业企业产成品,通用设备制造业私营工业企业产成品,造纸及纸制品业私营工业企业产成品,金属制品业私营工业企业产成品,非金属矿物制品业私营工业企业产成品,非金属矿采选业私营工业企业产成品,食品制造业私营工业企业产成品,饮料制造业私营工业企业产成品,黑色金属冶炼及压延加工业私营工业企业产成品,黑色金属矿采选业私营工业企业产成品
2003年,42.8852,44.25871,7.28926,0.0045,68.47374,77.49604,9.93383,22.57055,7.02122,35.31082,11.03274,12.47091,0.56197,9.18099,34.36376,2.03375,18.14444,10.26933,0.0174,0.01639,4.26524,0.0958,0.54231,73.80406,23.69694,19.12003,,1082.2266,120.39876,44.88377,23.22297,76.34855,26.49451,61.35122,85.26269,5.31005,20.45325,17.11744,61.06458,5.45888
2004年,62.36526,63.76504,11.82086,0.0254,96.35692,113.97979,20.54293,30.98695,9.72446,49.33287,15.39584,18.86221,1.6916,11.82587,54.86482,5.3443,32.21539,16.76772,0.05099,0.008,11.68336,0.12995,0.05688,94.43452,26.53172,42.29905,0.01742,1671.5,209.98814,56.40877,34.38724,125.51028,42.08841,79.44203,134.81334,7.37212,26.52605,25.31628,125.74406,12.81844
2005年,70.60212,85.82852,15.68356,0.02437,135.03762,147.28926,23.91101,43.37737,13.17638,68.54149,20.1179,30.30101,2.63605,15.07777,74.2256,7.94513,40.26232,17.93719,0.06427,0.01612,20.5878,0.58094,0.7369,122.01047,32.16074,60.44274,0.01826,2198.27046,259.84071,80.44335,41.62725,162.47673,51.70446,108.25565,160.16039,9.66149,38.58678,34.3464,177.72264,24.8517
2006年,89.91217,115.63319,19.76007,0.01215,184.84813,195.90438,31.34058,59.42003,17.94991,87.36285,29.65477,44.73163,4.95739,17.42432,111.181,13.59722,58.84837,24.83606,0.17793,0.01753,26.81318,0.37237,0.96167,168.35986,46.16005,75.18765,0.03946,2877.73,341.34824,99.48159,57.24388,203.41409,66.1913,139.86611,200.54118,14.52386,48.54842,42.5838,203.95564,34.56387
2007年,121.4791,159.24531,27.00507,0.11133,250.71915,253.98616,54.18109,70.19964,22.94548,110.72491,42.2546,51.89869,11.09313,20.2799,159.747,21.72567,77.7101,29.30615,0.12223,0.03625,41.97039,1.30571,0.76982,220.81839,51.84961,76.98141,0.08771,3762.25384,420.63891,111.14819,91.55372,272.81132,70.69121,193.46517,256.21127,19.16878,63.75238,63.08479,284.7861,36.388
2008年,182.97729,253.53146,43.5754,0.10065,326.6274,359.51239,50.29432,86.45999,31.81819,148.84638,53.40611,74.44541,15.28916,26.88075,162.89419,30.61707,112.82229,49.47452,0.56743,0.09172,64.80444,1.12281,1.67267,300.50355,59.58926,127.72232,0.91008,5115.35427,492.61702,171.40835,101.72351,401.95884,100.63836,250.59071,364.33117,24.2822,93.88205,84.89796,379.01288,83.45397
2009年,211.6818,304.16143,56.54002,0.14118,386.03413,406.13125,58.42647,100.03041,37.6256,167.2511,61.98275,95.20797,23.2751,31.205,215.88817,36.59811,124.55961,48.41393,1.03448,0.26304,84.15023,1.34798,3.65288,379.67275,66.4442,136.33377,0.47959,5876.1211,541.05779,185.36415,121.0945,442.92012,106.8037,301.57295,414.53737,34.01259,109.19778,101.79894,392.86358,86.36468
2010年,243.01853,339.8772,56.95888,1.65391,444.82391,452.54098,64.58652,115.0685,39.26345,194.42793,79.88245,126.73594,26.35332,32.67593,268.83009,39.73185,130.33285,64.27823,1.28801,0.2871,102.67801,1.9581,2.48749,449.95731,74.30226,158.83234,0.44898,6601.1743,560.22331,196.82468,136.12498,484.63332,109.81594,323.96269,437.06636,36.03684,127.85112,118.14988,459.90288,97.30223
2011年,271.70307,353.19223,75.70085,0.38043,513.94916,526.76526,100.42233,115.10342,38.47214,194.39502,81.22326,147.75606,45.98831,32.14893,333.03337,42.18961,127.339,73.3216,1.29019,0.15818,142.8491,2.67738,17.37036,540.73423,81.7264,184.32836,1.08548,7388.26305,612.78562,222.54783,170.18811,498.66008,112.12923,335.08274,470.79436,35.13463,137.34148,123.48929,516.9586,107.84735
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
