,专用设备制造业私营工业企业利润总额,交通运输设备制造业私营工业企业利润总额,仪器仪表及文化、办公用机械制造业私营工业企业利润总额,其他采矿业私营工业企业利润总额,农副食品加工业私营工业企业利润总额,化学原料及化学制品制造业私营工业企业利润总额,化学纤维制造业私营工业企业利润总额,医药制造业私营工业企业利润总额,印刷业和记录媒介的复制私营工业企业利润总额,塑料制品业私营工业企业利润总额,家具制造业私营工业企业利润总额,工艺品及其他制造业私营工业企业利润总额,废弃资源和废旧材料回收加工业私营工业企业利润总额,文教体育用品制造业私营工业企业利润总额,有色金属冶炼及压延加工业私营工业企业利润总额,有色金属矿采选业私营工业企业利润总额,木材加工及木、竹、藤、棕、草制品业私营工业企业利润总额,橡胶制品业私营工业企业利润总额,水的生产和供应业私营工业企业利润总额,烟草制品业私营工业企业利润总额,煤炭开采和洗选业私营工业企业利润总额,燃气生产和供应业私营工业企业利润总额,电力、热力的生产和供应业私营工业企业利润总额,电气机械及器材制造业私营工业企业利润总额,皮革、毛皮、羽毛(绒)及其制品业私营工业企业利润总额,石油加工、炼焦及核燃料加工业私营工业企业利润总额,石油和天然气开采业私营工业企业利润总额,私营工业企业利润总额,纺织业私营工业企业利润总额,纺织服装、鞋、帽制造业私营工业企业利润总额,通信设备、计算机及其他电子设备制造私营工业企业利润总额,通用设备制造业私营工业企业利润总额,造纸及纸制品业私营工业企业利润总额,金属制品业私营工业企业利润总额,非金属矿物制品业私营工业企业利润总额,非金属矿采选业私营工业企业利润总额,食品制造业私营工业企业利润总额,饮料制造业私营工业企业利润总额,黑色金属冶炼及压延加工业私营工业企业利润总额,黑色金属矿采选业私营工业企业利润总额
2003年,31.67651,38.85877,9.92397,0.01893,40.67569,61.52649,9.5512,15.04682,7.32455,29.932,9.26587,12.03214,0.278,8.67415,17.27419,4.50903,16.58312,8.37533,0.37372,-0.04229,9.21774,0.05721,2.10789,58.72426,25.49679,16.5634,0.01164,859.64,80.14581,32.08673,25.60268,60.34705,19.22286,46.44944,77.05439,6.31201,14.39647,8.68554,44.88113,10.41958
2004年,48.24711,60.47024,15.15939,0.03768,80.23619,101.78933,10.10354,22.02045,12.35382,45.85947,13.27354,21.34177,1.5741,12.24161,34.68753,17.55244,27.71847,15.59652,0.60695,-0.00308,31.29748,0.63799,2.46427,87.43161,32.00586,31.95369,0.04701,1429.74,108.5385,35.68877,38.94449,106.76464,31.20045,64.14214,132.26259,9.63958,21.78305,15.53583,92.91204,45.62733
2005年,75.44876,85.77384,18.95849,0.0395,138.14052,145.94907,21.38116,37.22311,15.35227,71.57429,22.62938,30.5413,2.70789,16.52075,48.45355,31.72898,47.26517,22.65594,0.90806,0.07142,65.68776,0.45711,5.56997,127.50779,43.55978,26.25739,0.3043,2120.65,179.12035,58.51913,45.12684,162.26543,44.14518,99.73488,165.00873,19.21018,40.64906,23.83676,121.16576,59.20216
2006年,109.68791,118.94875,32.68432,0.15122,214.48043,234.92292,29.33437,57.8681,22.83161,99.35744,31.24031,40.14424,4.8269,18.58665,109.40933,63.08076,71.03943,32.39479,1.18302,0.00765,103.9006,0.5793,15.97642,173.51191,63.82347,53.69753,0.77664,3191.05,247.41361,82.39112,57.74162,240.96657,67.74358,148.7739,250.19885,31.26566,63.9199,40.79836,162.82526,92.56866
2007年,172.49583,187.37611,46.91119,0.2474,349.42075,379.56306,47.97548,83.39742,32.94257,162.09807,48.83065,57.79953,9.64695,23.95053,170.00256,96.8454,116.84025,48.34506,0.98304,0.01963,149.14649,2.80622,18.41933,281.92993,97.09111,104.60859,1.44097,5053.74,344.07416,103.51647,91.30777,360.07457,102.44949,225.81643,437.17117,44.79719,97.40931,65.06547,304.46786,186.45772
2008年,303.66027,342.89701,66.15834,0.40115,577.01658,639.91715,59.90712,135.71498,58.5402,232.35754,80.28427,93.44478,15.47041,36.15062,247.06022,97.75348,209.97393,76.37047,3.59154,0.42509,404.61842,6.09801,16.42622,476.54537,139.95707,154.87052,6.15837,8302.06,500.16481,205.7011,130.73155,612.00424,165.22208,362.34176,738.66688,77.45425,160.17285,113.4014,402.64714,351.78516
2009年,372.19806,416.53384,96.23674,0.49849,718.06892,722.32671,56.68163,174.99504,74.14444,274.44822,100.05592,115.8561,24.86265,44.51852,274.49386,79.52723,247.82662,104.26696,4.19106,0.44532,405.48127,11.7477,28.25096,575.61753,157.57157,128.66796,13.26283,9677.69,634.37533,239.13543,170.07407,715.79934,193.18625,421.90598,890.70945,96.67512,203.73778,145.42624,480.71578,263.17249
2010年,578.72102,708.86123,122.30182,0.71266,1102.83346,1135.56918,90.77386,260.00805,110.51436,437.9206,152.18923,160.72634,63.09244,72.50253,485.7405,143.0393,357.49125,147.89051,6.08678,0.57248,682.2541,15.0996,45.58345,919.32303,245.41573,206.42778,16.88923,15102.5,875.5231,339.99183,289.59268,1115.91337,278.18444,641.96905,1347.59261,148.09921,329.74829,235.36118,742.95082,489.03628
2011年,731.06405,767.86701,149.47165,0.79095,1355.64348,1425.46682,104.90902,347.66494,125.52992,494.91002,191.41807,194.10527,71.31347,77.9641,647.90034,186.91123,445.28825,197.14289,7.13632,0.36979,782.821,13.18486,36.75444,1113.17072,269.13783,257.04445,4.73976,18155.52,982.61576,390.60663,330.42615,1321.50833,309.51938,765.77717,1643.7693,186.08842,393.96599,287.59868,861.92971,681.99555
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
