,专用设备制造业大中型工业企业集体资本金,仪器仪表制造业大中型工业企业集体资本金,其他制造业大中型工业企业集体资本金,其他采矿业大中型工业企业集体资本金,农副食品加工业大中型工业企业集体资本金,化学原料和化学制品制造业大中型工业企业集体资本金,化学纤维制造业大中型工业企业集体资本金,医药制造业大中型工业企业集体资本金,印刷和记录媒介复制业大中型工业企业集体资本金,大中型工业企业集体资本金,家具制造业大中型工业企业集体资本金,废弃资源综合利用业大中型工业企业集体资本金,开采辅助活动大中型工业企业集体资本金,文教、工美、体育和娱乐用品制造业大中型工业企业集体资本金,有色金属冶炼和压延加工业大中型工业企业集体资本金,有色金属矿采选业大中型工业企业集体资本金,木材加工和木、竹、藤、棕、草制品业大中型工业企业集体资本金,橡胶和塑料制品业大中型工业企业集体资本金,水的生产和供应业大中型工业企业集体资本金,汽车制造业大中型工业企业集体资本金,烟草制品业大中型工业企业集体资本金,煤炭开采和洗选业大中型工业企业集体资本金,燃气生产和供应业大中型工业企业集体资本金,电力、热力生产和供应业大中型工业企业集体资本金,电气机械和器材制造业大中型工业企业集体资本金,皮革、毛皮、羽毛及其制品和制鞋业大中型工业企业集体资本金,石油加工、炼焦和核燃料加工业大中型工业企业集体资本金,石油和天然气开采业大中型工业企业集体资本金,纺织业大中型工业企业集体资本金,纺织服装、服饰业大中型工业企业集体资本金,计算机、通信和其他电子设备制造业大中型工业企业集体资本金,通用设备制造业大中型工业企业集体资本金,造纸和纸制品业大中型工业企业集体资本金,酒、饮料和精制茶制造业大中型工业企业集体资本金,金属制品、机械和设备修理业大中型工业企业集体资本金,金属制品业大中型工业企业集体资本金,铁路、船舶、航空航天和其他运输设备大中型工业企业集体资本金,非金属矿物制品业大中型工业企业集体资本金,非金属矿采选业大中型工业企业集体资本金,食品制造业大中型工业企业集体资本金,黑色金属冶炼和压延加工业大中型工业企业集体资本金,黑色金属矿采选业大中型工业企业集体资本金
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,23.36749,6.76126,0.55434,0.005,47.04113,100.9267,16.58462,62.0799,8.21046,1836.70846,2.74091,9.11838,13.57527,8.09411,58.29981,43.60215,7.85387,20.44751,6.82459,54.13145,2.08376,295.12803,8.52208,60.75433,130.90101,8.20886,25.17272,0.29957,39.89285,13.42633,54.69684,56.01651,51.06688,27.12227,7.50915,15.00929,21.39815,109.31896,5.83144,18.16075,389.47041,6.49932
2013年,44.74,3.63,0.79,0.0,67.8,191.46,4.89,71.84,9.15,1924.6,4.97,5.1,13.82,7.8,38.74,32.65,4.1,32.21,14.95,49.36,2.1,197.1,9.86,41.36,117.75,13.98,45.36,0.29,38.69,11.52,50.17,73.67,56.68,24.94,7.58,39.79,18.45,108.78,6.81,30.12,417.42,14.14
2014年,102.74,8.41,0.75,0.0,68.56,169.64,7.65,42.01,9.92,1980.31,5.33,13.13,13.63,16.66,56.94,25.85,2.24,54.11,3.81,75.85,2.0,151.59,8.83,64.4,71.55,7.0,82.14,0.3,31.22,12.26,54.05,57.08,44.53,21.21,7.26,46.68,21.39,124.46,10.17,52.32,420.93,11.72
