,专用设备制造业大中型工业企业财务费用,仪器仪表制造业大中型工业企业财务费用,其他制造业大中型工业企业财务费用,其他采矿业大中型工业企业财务费用,农副食品加工业大中型工业企业财务费用,化学原料和化学制品制造业大中型工业企业财务费用,化学纤维制造业大中型工业企业财务费用,医药制造业大中型工业企业财务费用,印刷和记录媒介复制业大中型工业企业财务费用,大中型工业企业财务费用,家具制造业大中型工业企业财务费用,废弃资源综合利用业大中型工业企业财务费用,开采辅助活动大中型工业企业财务费用,文教、工美、体育和娱乐用品制造业大中型工业企业财务费用,有色金属冶炼和压延加工业大中型工业企业财务费用,有色金属矿采选业大中型工业企业财务费用,木材加工和木、竹、藤、棕、草制品业大中型工业企业财务费用,橡胶和塑料制品业大中型工业企业财务费用,水的生产和供应业大中型工业企业财务费用,汽车制造业大中型工业企业财务费用,烟草制品业大中型工业企业财务费用,煤炭开采和洗选业大中型工业企业财务费用,燃气生产和供应业大中型工业企业财务费用,电力、热力生产和供应业大中型工业企业财务费用,电气机械和器材制造业大中型工业企业财务费用,皮革、毛皮、羽毛及其制品和制鞋业大中型工业企业财务费用,石油加工、炼焦和核燃料加工业大中型工业企业财务费用,石油和天然气开采业大中型工业企业财务费用,纺织业大中型工业企业财务费用,纺织服装、服饰业大中型工业企业财务费用,计算机、通信和其他电子设备制造业大中型工业企业财务费用,通用设备制造业大中型工业企业财务费用,造纸和纸制品业大中型工业企业财务费用,酒、饮料和精制茶制造业大中型工业企业财务费用,金属制品、机械和设备修理业大中型工业企业财务费用,金属制品业大中型工业企业财务费用,铁路、船舶、航空航天和其他运输设备大中型工业企业财务费用,非金属矿物制品业大中型工业企业财务费用,非金属矿采选业大中型工业企业财务费用,食品制造业大中型工业企业财务费用,黑色金属冶炼和压延加工业大中型工业企业财务费用,黑色金属矿采选业大中型工业企业财务费用
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,198.3572,29.92424,10.08192,0.02321,219.93593,635.89775,98.48328,106.84476,13.967,7784.71969,26.91347,4.72146,12.78725,44.26267,445.63975,32.44579,33.29713,136.92596,49.12585,195.314,-10.27015,544.16585,18.80379,1484.43012,367.6482,63.71601,324.5588,103.31637,284.55457,85.76999,179.87531,185.70614,171.91097,50.4461,7.09724,134.19524,77.86376,329.15366,17.26755,58.33464,934.63005,76.59686
2013年,190.54,30.16,9.87,0.02,248.79,701.13,84.37,126.02,18.69,7998.09,34.17,3.33,15.71,52.01,462.37,33.98,40.49,138.68,43.68,132.3,-10.43,691.5,18.0,1435.34,379.9,62.88,341.72,137.73,315.19,89.63,123.86,192.9,147.14,52.0,6.96,155.19,90.33,359.27,18.89,56.95,871.52,95.33
2014年,212.81,32.63,9.16,0.03,266.27,874.27,97.95,151.72,19.45,9013.25,31.07,8.39,17.94,52.44,564.39,46.56,43.87,147.13,53.18,135.85,-17.35,788.29,27.22,1478.5,374.0,62.61,431.52,154.62,321.97,85.45,156.73,216.02,172.19,67.47,7.42,159.29,140.85,384.19,21.52,67.59,1026.12,121.95
